# colors_mcd20.0_mld2_nc6_cvd100.0_minj40_maxj90_ns10000
# Python 3.6.6 |Anaconda custom (64-bit)| (default, Jun 28 2018, 17:14:51) [GCC 7.2.0]
# NumPy 1.15.1, Numba 0.40.0, Joblib 0.12.3
c3311f 4dd02c 0047fa cec8ef 844d8d de7193
43a10e 23ea09 4656c9 82748c e0abc7 963246
c1be92 7d770e 23edf7 6942db de53a5 9b1b65
c5d6c1 23ef2f 498e8c af8ee9 8b3aa0 f3353b
c36e67 71570e a1c91f 23efb7 2b7fec 60617a
755f58 c5702c b0dc58 23f1f8 4550db a388c0
d7806d 6f5c38 d3ea5e 23f2dc 677bef c2027f
b9cf07 5f9351 23f3a6 9856d4 ae3574 db88b1
f9dd13 51b055 23f4aa 2d58c4 da80b8 b62559
977d39 b0d225 23f5b0 2ca6d4 8332d5 a01860
23f95a 3fa2e2 d7dce0 603cda a26b80 bc070b
ae0101 ee4f25 23fb96 99abb8 7a39d9 885873
23fd62 6799ff d9c8e4 9f2a47 e88496 f80d14
f55c46 23fda6 a1b5e5 8b6db8 7215f0 b4214c
da836a b5df29 23fde1 6a738a 940cc4 c10715
aed536 64835d 23fed0 9a28e9 e585e0 913272
924734 a39239 a3e132 23feee 5035f8 ff48c0
e5d07d 426829 23fef0 8d27fb b377c4 f64f78
b4d5aa 23ff1f 958dec 5136f7 8d427f e51854
a31c00 c2d315 76885e 23ffaf 961ba5 d65cbc
949830 62fb36 2446f7 929cf3 b6548a ecc2d4
a66e4e e1b54e 3affd2 8babde 244ff7 b2126e
ad5f45 96db39 2451de 5e6284 a28afc dfabad
c5491f c1b0aa 98e64e 5aa1eb 2451fc 873887
955945 f29003 6ec891 2452f9 8b87a7 d4c1e3
ebd13a bacbd4 5399e8 2457e4 af1977 f6647e
b87870 a43d06 b2ba39 6de0ca 2459d0 817ea7
3da043 43fd9c 245afe a590f8 6d508a c39cb2
f3d80e a2a213 70c8d4 2463df 7583a9 b33d57
fad181 70a99b 24656c cdbbf8 9861cb c6081f
2eae11 47f145 2465f2 aeabf0 ebd0d8 a35369
fe7b09 8ec791 2465f7 c79fe6 a26792 ab214d
d2d38e 668e04 24665f 5ceefc 8d20ce dd56d3
70863f 9ac375 246660 41b0fe 8b3ba9 e8d3ee
805b3b 31d526 c2e2db 246676 a3a1be ce30e1
f8a08d ec3507 40f3e5 246a69 7d8fad 9d2ede
b45f3d d2a417 bfe9a7 46d6d3 246a6d 924fcf
9c8c57 675905 dfd917 56e9c4 246a98 7199f2
fec29e fa7b0f 35adbe 246c81 c015f5 c3262f
8fad1c 246d07 82f87f 48aba2 9b33d5 ac0a6b
d1e895 52c80f 246e00 9702fc eb9fc8 c15b80
ca8a7d e4d533 246e1c 29e6e4 a09bff a624c6
874e0d f4d133 35d0be 246f83 c68dfe 9821f9
f6ac11 247018 5ee6ad ac8df4 a207ea e9028f
7da608 a0e710 24711b 41cff6 864edc b47a83
ef9650 dae1bc 247131 8fc4e0 9f01f0 c23a8b
dc3c08 d8c791 7f9682 247178 7f29c7 fa78de
b07474 e8afaa bde855 247315 6abaf5 7358ac
e79757 247410 c5d2e7 8b97fd 7513f1 924a96
72ed58 247613 7e35f9 a176c0 eba4bb fc325e
c6b00b 24762b b2dad2 8d36f2 e063c5 9f1e7f
dbc282 247634 40c5f0 859195 7606f8 99459b
be9b94 d13412 72fe29 247676 cec2f5 a33ad1
f4b0a1 84b809 247743 4ec4f0 761ff2 905a9d
f92818 82eb5f 247784 b415f2 f59cc3 aa0e33
ffa618 bfddb3 2ec6c9 2477c1 932d62 e22c54
7a820e a1c847 3fba94 247865 90288e cf6cc8
f21313 b6d512 868c80 3aface 2479be a1086a
b3c07b 487616 8af2fb 84acda 247afb a35777
247d07 55e932 c023f4 a7036a e84b81 e5c3c7
dd2203 dbde05 71c3be 247e89 7635cc ea56f8
e6cbc4 758b4e 27d803 248380 7c3bdc ee6ad2
b5b562 24841c cad8f1 822ee7 83425d de77a1
ef7053 edde3b 86e9cd 2484f6 958fa1 625763
caa873 806331 cfeb40 2fefcd 248582 9c6be8
f9be45 a3b997 248592 36bed2 930cd3 b82439
e4d2c0 a9f70f 3dc553 24864f a873de 754b83
a9cf36 248702 a0e9fe aa7eff 7f09e2 e31197
d73a00 f3d54e 248863 53d5b5 6c1efa 954fa1
566f29 31f633 9ea6a2 2489cd e3ccf7 972575
eaa58f 248b1f 84f1ea 8ca3ef 8d03fd 7a4768
84a90e b9ee59 248c53 4cdbdb 9755f9 ab2a84
a6110c e06305 65ee7a 248c72 a337b8 e28fe1
bd382b e5d3b3 e0990b 62c7d3 248cb0 7234f4
d0ec30 248d46 57cd80 801bee ae8db4 9c1375
9ebb07 39efe6 248ed3 632afb 9e587d e3879f
a3ca15 24900d 6ae1aa 6534fb 7f649c f1caf4
a15425 f1de46 99b275 249292 30e0ee 7504fa
755218 99a22d c6eb1c 249779 5cc9f0 b935e0
24982d 6ef882 4d5e5a 9a30dc d95daf f9b7e0
f4de03 249a21 92c5b9 5f6078 9f02e9 d381f6
6afd8f 249c55 7d43df c87bb4 a22166 edbfd5
ce8600 fdd713 4e794c 75e8fb 249dc8 6d4c86
dddc92 24a039 a672f7 7a10f3 e00096 fa9cd9
ed2e02 b9c46a 24a185 8e1af7 923982 f587d0
705c4d 5be23e 24a236 f213c6 9e0175 f1b2d5
c7cabb 62f20c 276b0b 24a5f0 7e33ce fa2863
f2d5d2 ad7b17 36f41b 24a6dd 8602ca cd1d7a
f4d6b5 9cc90e 778a56 24a7e4 873cfd b0167e
815034 ccd87b 24a80e 61d9f2 d10f8e e08298
cbaf1f a5edc2 24a99b 6a27ff f24df0 b2434a
24ab0a 39e96e d8dce7 7a2cf0 b39abf 844560
e80800 efc149 41f4cc 24ac98 b3b6ed bb13a6
c16d4d cdb209 24adee d0cede 8146b2 a6175a
9a5b58 b6c898 64fe04 24ae09 3d5aa6 d884c1
dac2a5 24b01e 5ce5f4 9849ef 9d2281 b17685
816008 b2b142 5a7b69 29fdca 24b6ab c81dbf
5b612d a2a595 24b70e 7df672 fca2f6 994790
afd356 317c41 24bcaf 2bfcf7 b414d8 6c586c
c81108 b8c773 a5eede 24bdf0 6e69d7 ba6a8e
de7e75 426515 98ea47 24bfda 902aca ab3a70
a6ee03 24c0ae 663dc7 c67cf1 834972 ca434f
b31d02 987368 24c33c 99f4c4 3670cf d7a0d2
ffa424 d7cfb2 24c3f9 93909a 871fdd cd2539
836814 b0bc54 3e6254 24c6ad d87cfd c80aa2
e8af24 578952 b3e7bd 24c7fc 7533ee c651a1
afdf38 24d3e1 3f8bd9 8b3e76 d87a94 de1e37
fe4b1d 844735 cae548 24d69e ce3bd2 e7a8de
f1b84e 649191 24d6e9 7220fe a670fc bc1342
d55d2c b9dd42 24d8a2 721ae6 c78df8 974f88
e87675 e1d813 24ddf7 5f91f7 9206be c60920
bfbf3c 64998e 24e5d6 8f24f3 fb52fd e01013
6ea249 24e820 2595f3 7632c2 f9b3d1 b03d6c
a35757 ee4402 a9aa9a 24e852 3568c8 ccd9fd
d04503 e5a860 717372 24e9de b483ea 961ad8
a1a61d 51792d 24ebba 8825db da5cf3 982b71
e59b16 496a51 24ecf0 5264fb 77467c 9f9b9e
aa4d16 24ed07 c9cecd 486561 8a13fb ff0aa2
6f5e27 b4ec29 70ab33 24eec2 2b8ff9 b6678a
24f067 705bff ae99ff eed0f5 c7879f a82e37
de1410 24f548 a190fd 6e4fef 734e6e cc91a7
27b602 24f577 783dfb 714983 e87bf0 b1131f
d01703 fec13c 7a827d 24f7dc ff1cce 883576
24fa15 9595e9 6f26f8 8c5f85 dea0a5 d02835
a16b56 d0a81f 24fcd8 ccb7fd 6e13fb e924b1
e18a68 a7ec23 24fedd 4bacb0 8112e6 be1b60
ad8056 e7cd27 ade3cf 6688b8 2545f8 a4346b
8d8336 d3ec0e 61d681 2549f8 c895fc b13989
e39891 ca5205 96e8de 3c9af3 254ff4 674f7b
a37226 b0cd58 52b0ac a5ecf2 636c83 2553df
bae889 2a6f06 3ba96b 2558ff 905c96 f3bcef
d99a8a 96643e b9ee65 4bb3ca 646b74 255bae
efc59a 8d683a 9af0f3 4bb1f7 255bbc 757785
c94029 ff8548 7ff1f3 255bf4 a299d7 766684
efb948 4efecd 35a1ad 255ca4 cfd2fe de2e46
73564d ea5727 d2d421 b1e5bf 2dc1d9 255fea
cc5517 eeaa5b c1d4e4 66a2fb 2561e2 8c7072
b9e728 778884 59ddce 2562b0 e07df6 d22d3d
675c28 7b9700 bce510 2564e5 aa1f70 ff8fb4
8c5b1b acad12 a9d9c0 256662 688ad2 782aeb
a72d08 e2af49 809179 256663 78eefd c051c6
a76f2d 2cd573 256673 7e94b4 7c18fa edd2f1
e2a79f e36801 3bf942 256841 98a2cb a84ed4
ce1507 cba17a a7e92a 25685b 32e1d8 8f1ed4
ee8e06 5bebbe 256970 7f99b1 9e27e8 d60d15
f3da9b 55a7a7 256c6d cdd2f4 d036f7 e71529
dda715 256d0a b3d8a8 6d997e 2cd4ff 7b4ebb
909c2a 256d1a 33fda2 9d2bfb fc97da d51181
e0deb6 849236 90d624 256e6e bd3cc9 ff8dcb
b3391e ffb42a 80a987 256e7f bbe2ec 9667eb
953b27 e7881a 968771 e6dd82 55bcd9 256ec7
cda39b b16a2a aee623 26e1e9 256fa3 a50f4e
cb8c88 cae909 4e7b1d 49ced4 256ff6 6d5b64
98bb68 5ef4d0 257070 a801eb cf8be6 a90718
d2552e b9e818 25726d b48fd2 972deb fecae1
5e5d13 c0da62 71ab75 2573e2 b20978 fda6db
a12a12 869c0f 46f636 257472 8974f9 eaadeb
d12007 5bd706 257763 7a2fd6 f0d3f3 bd63ba
d21009 f98e1b 9beeb2 55b1a6 25787c bf4de0
6c5523 dbd038 90c6a2 257972 3af4fe ea17dc
65b306 9af269 257b0f dcaaf6 9416bb cd6a93
f69961 257c2d a2d5ca 6b42c6 ad79bc 9c3a6b
7c5b3a dab37e 257c87 75e2f0 7d10ec f742f1
c66c1e eab82f cae4bf 25818d 66c1d5 991fe0
a0540c a3a817 cfed21 37e5a1 258494 ff92ee
f4b3af a7b92e 258536 7ac5ff 8d09d4 bb6aa8
407613 3aff8e 2586e5 a8a5b6 a50362 f26271
c9a91f 63772d c8e0ab 5ae0e7 2587ba af2973
a19631 b4ec51 49ead0 258c7d 98a3eb a323c2
e59f8e c3e51c 258d20 a1edee 8e07f2 da3598
d52f16 85f118 487367 258df8 991891 d69ec5
c24529 ea9618 a6e3ab 258fad 7627f6 e7b9e6
52ef09 259355 b8bbc4 5230fe 7c66ae dc8afc
cbb59e 59ed1b 259440 979cbd 7504f8 8f4095
7f7217 4de462 259cf7 d1dbfb 8109ef c6579c
6f7458 5ae884 259fa9 2a6375 d7cff8 c809f8
e58b70 cddb26 4ef6f0 32646e 259fc7 a50efe
e4bca6 25a539 9ddaf1 7602f8 c75fe8 a43878
c1d58e 25a60c 664caf ba6fff fd85bf 984456
ca690a 5cfb34 386b58 25a697 be82f0 9b23d2
cadf4b 25a96d 80f0f4 9d0cc1 f24ceb a62526
aa8150 71ef45 25a9d5 384fd0 685a75 dcd5d9
818913 65f523 25ab90 4555ed fc7be1 a60b5d
c8eb53 25ac16 6d3cc9 8b6081 c59fb7 ad2c45
25ac38 27f379 a28ff4 8c38e8 ffcaed d02979
4b6932 25ac3a ace7dd d694f6 a528a9 897984
de3d0e 86fa1a 25ac9a 686a90 4440fa d385f7
bbbc13 5d6142 25ad73 97d2f7 7831f7 c5499c
a8c811 71efc4 25ad90 7c28fd be6eca a91739
fdb952 aba58a 70701c cae0d9 25adf0 b44f85
989b92 72f110 25af0a 8e46b6 db90ef 962c4f
b90f02 dcb420 74f9dc 25b1eb 5358a3 ed5d70
f82e23 dedd93 9ca88b 25b2c2 4465a5 a84560
eba80b 7f845e c5d1bd 25b2cb 890dfb 945581
97da25 25b36a 2b7558 50f8e9 7a0df5 b562d0
844943 928f21 87ee7f 25b391 4d6e98 f89ae0
6b5a17 c9d78c 25b717 738473 70ecfa c4149e
d6c5a5 25b830 49e9f4 a992fa a703de d0246a
e7d689 91a61e 25bbcb 3276c9 cd7187 913948
dab217 37830a a3cea3 25bbcf b248e7 ab1573
c83b02 efa500 97f1e7 25bcc8 5d6577 9721fb
ae1e0b dd7826 c3eb86 25bd9f 2d739d f5a9ef
f4bf95 388d1b a9ecf1 25bdfa a195a2 b90ab4
f02016 9adc01 25bea8 3b737a d15bff a51d3d
d6301c c0e357 25c3e4 822eed a34b73 f27a95
cd610e abf42b 86aa89 25c9d3 b066f9 8731a4
a9250f 25ca3a c2dad0 8862dd cc98f6 cc6e96
ed6247 bfe91b 25ccc0 7802e7 ac5ada a71a4f
efb3a9 c4e82c 25ccea 6a8c96 8930b8 e1035b
bc350e f5c655 25d9c3 3b9892 8110d8 da4ef8
b9ef59 558f54 25dbb3 b88ff5 5d5a61 ab03dc
b09531 addb93 25def3 4379f9 7d5484 af4d5a
aa1602 a0b20d 25dfa8 689588 a13cc6 f8cdf7
c7c019 629e67 25dfc2 9f2ef9 fd78fa b64b95
8cac25 bbf21c 25e3a7 6728f4 aa64ca d30259
bf7a09 25e472 d3e2db c0a4d5 9009d2 cc2060
eb7b79 d5290f 25e5d5 3992ae 6f40df 834950
f4d5bd 25e614 c8d7f4 9996a8 7649ed cf4e66
ddc8b9 25e701 aa86d1 8607d5 963c7b d72745
3e6e1e 25e876 318ff1 7b14d9 c9b3c9 964f83
dc6c3d 686561 ffc75d 25e8ca bc8cd4 a00e8b
4ea140 25e97e cde1f8 772ad1 de5af7 8d4a68
775f41 abf05e 33b432 25eaf3 f01beb 9e0396
b79721 d9e070 25ebe1 3d9293 a89afc 8a1daf
25ee1d b2bcbb 3268c0 d28ef3 ae054d f25c62
96cb0d 738654 25eeb0 4b8df9 eccaf6 c60592
e2c102 25eecd 5e797c bf74fd 8933a2 e50b1d
dcbf55 25eff0 4a57d0 a198f9 665772 c25f60
dc5325 bfc2ae 25f024 7425fb 81629a ef86d9
aef358 5da115 25f0ed b980fd 873fb7 c34979
c7ed28 63ad07 25f2fd a042fb c51c7c cb939a
72644b 9cb18d 25f542 7c08e5 e5d0f5 de65d8
d9b4b1 5d874a 25f727 d0d3fd fd28ce a30665
cf2d14 f9a62c 76a283 25f7b4 ce97f9 c421e6
9c9c05 25f807 969bff 9447e0 ffa4c4 ca395f
e23b0d 91ad7c 25f84f 5a5aad dad6fd bb85e5
8faa14 5d6854 25f8f7 7387ee 83467d db9ca6
8eb240 527323 25fab6 8f04c3 f4cffd c581ab
526207 25fb0b 722cfb c79df3 ab2f84 fd5469
a4302f cdc020 25fdf5 71b0f2 984be7 c87580
477204 8edd7e 2649eb be8edd fd0295 fecae2
d0451c cade2a 29e1b3 264ee3 ce7fe7 88577d
88725c 40d80d c4e4c1 264ff2 d9aed7 af3684
e8b804 7f8a43 c4e4ad 78d6fe 2653ee a1456f
62d063 777d88 2657d3 edd3f0 de7ee1 9c4247
a53119 a0a254 8cf04e 4ea1e9 2659f7 f1d4e0
877a0f 60d60b 2c92f9 265bb6 cdbedf e2858f
c2413f dce74b a6d1c5 708b90 265cb3 dd8bfb
cbe750 59e9e3 265f9f 7886fb f0768a e11628
ffc7c3 aad608 2fb7e2 265fd9 80627d fd063c
9a431e fc863a c7e0d6 265fec cd89eb 8b668d
867402 9df4a0 31b97b 2663d4 dfabd7 a11b4f
745b0b 30e13c 2664e1 9f0e6a f9a6d8 f43b80
8a613b d4c3ae 67fc45 266569 9663f0 e67fbc
95563b c9a345 718c8b 349efc 2665b8 dbd1d5
d54611 bfcc80 33c3e8 2665fb 5f5687 ba7a85
964d44 fba058 49b6ff 26669f 85858c d1bac6
e98050 7eff57 26695f 798cb7 a314e0 d6cacd
c1d817 266a0c 76cbbd ad94eb a81bde f05b71
f5ccc2 a7e603 266a1c 53a949 ad0ab4 e56abf
fbca33 61a565 266a54 65f7cf 9701d0 cc76c9
aa5f45 acaa02 7cf798 266a7a 7f3aef ed88bf
c1da44 70a03d 266b06 35d8a9 f56fdf ae4499
a8ce15 266b09 8db6ff 9027b5 e92171 f3bdc7
a55302 89a97b 555e52 6ae752 266ba4 e696e7
c73321 5eee50 748179 266be4 bfb1c2 724a72
a26c0b ccde29 52bc82 266d60 36fae6 ab6cf6
885246 6ea708 58f75e 2670b1 dabdfd e994a3
92918f 61b641 26723e 70f6c3 9d3acd ec78ef
af7356 c8d94a 3fdfc1 7e93a9 2672eb 5f5b62
fdc2c0 a6c607 679030 5fb6fa 2675f2 b6748e
cded50 267716 7bc083 dfa0ee d830f0 856d88
a3391e 49c018 79f7d3 267776 ab4cec ee86cd
a9200e eb7209 b0ed84 26795f 32c3b0 9d51db
c1d328 abedcb 2fc3ee 267ad3 a07a83 b92b30
725533 3ac364 bfdfc9 7c8185 267bcd e0a7e3
de7b75 c02a0b edc93b 98c4cd 267cce 63566a
e8761f f2e01e 95cfad 267fb6 9f727b ab1318
bbbc60 268002 bde7e1 59b7ef a60db9 d9718e
f7d5ae 49ce2a 26803d 695574 bb3fef f96cae
c8463c dbd870 268381 79c2d9 644cb2 9d7dfa
dddfbf 506722 85a152 67eb18 268586 d949eb
f2d3c5 268602 50df47 b7a0e9 a516d5 d1337d
e7b967 6e631a 26877a 41ecd9 a99ddf aa46f3
b64a27 cbd307 67efe7 2689d9 989399 72586c
8f5001 c7da5a 92bac0 268be9 7210f5 e95975
ff2102 dfb47a 268d78 76daeb 8b5db8 af0521
a42d2a 5ce839 268de5 dcdaf7 6a2ddf d96f91
b4ea9d 268f3c 93999b 8e3f9c e863e4 f7b6eb
fed709 a49544 32681e 47eaa3 268fe7 c52889
ea1f0b b4b1af fbb11f 2de5fc 268fee a55d6a
b14332 bb988d 64f843 2690e8 dcdbf8 6335ec
edb80d d9dec9 26912f 85dbfc 938b93 de0ac9
b0c89f 6dfd3a 269350 990dff f37cf5 d20c8d
dc6d20 4a6245 47f3a6 269388 b7b3cd af1ff3
4ef01d 269652 8338de d861ba 9e2070 bfb6b8
81ae8b 32e6da 2699fc 6242e2 9e5478 e71019
aaca15 269a3f 54615c 55fbd3 ac0497 fd75d4
a61203 51ed93 269c67 516365 f49efe b148b9
5af37a 269dfc 6e4ba1 e7cefb c896a8 e50f54
2d7404 6ce655 269fe1 d6d2fc 98228d 9c7577
83605c 26a10f 35f876 5137fe eeb5ff e353ba
c7aaa8 92e217 26a316 7e30d9 f454fc 914b6f
b97216 6feb1a 26a39b 50549d bc7af9 e2d4dc
9dc532 587c31 26a493 28e2d3 8701c9 f758f9
d52803 98c31a 5bfcda 26a5bb 5f4bdd 844364
ac3721 ef850d 31f898 26a897 a24ac7 e3b9ed
dcaa9b 5a8003 ace4ec 26a8c2 8b28eb d6137e
c9e723 43ecab 26aa7f 6f51c4 f387d8 cc1527
894c13 cbc589 a1d7e4 26aaeb 4a59f9 ec1770
dd6740 e0e26f a1cbc2 5c828e 26aef3 762cc7
f7d400 8a944a b2c7a8 516b66 26b0e3 ab00e7
a67a26 94de1c 26b190 4e68b4 ef97e8 b2185c
93813b 7efc87 26b396 49605d c7a6e3 c021aa
e62c05 d0bb80 aae2e5 26b4fb 784096 bc787e
814f1c e4d7a7 26b50e b5c0fc 9417e8 eb3098
6f7701 a7f58f 26b5f3 9f1cd9 a32963 c18d90
91560f aef647 26b651 738084 364efc ddafc1
c72420 aabe2e 26b7e5 4e5ca7 8e5163 d18495
b24920 efa634 26b89e a7eaf0 6063a3 c390f8
b2813e c1e461 26b9f7 7d03ea d82e98 e2b6c0
4e6308 aded14 26bf51 3466e8 8c6b85 e7b7d8
a32220 90f79d 26c13a 7551e2 d4b6d9 c67493
668724 a2f354 26c885 681ef9 b757c3 e0cadc
913a0d b98961 b6f40d 616460 26cbd0 a10cd9
a3f70a 26cc6e 6616ff 8d5ab6 e2a0e2 a23457
db7239 adec45 26cecb 9d8aff 7e28d8 915173
f9d972 b18d02 497b6d 26cfec 7855ae b40008
edd303 26d6cc 5646f4 ab77db e37e83 c50b0e
807361 dcc746 26dab2 cdc8f8 7219f3 d144ac
9c5402 d4a510 c5ec97 588067 26ddd8 9357ed
d9e13f 3f6a10 26ddda 9e16f0 aa326b eb7785
e0cfca 3e822a 26e105 a820ad f651f7 9d939b
bb4e18 26e12c 317668 ab97dd 713cc4 e7baca
f9dd01 65893a 26e292 d5cdf4 d832b8 89445c
f17574 e7cc1c 26e2c9 7c2cf9 9c599b a90616
c00b02 d1cfb1 799565 26e403 842eb4 f686d0
5c9c18 d6e0d2 26e854 8149f3 cd9deb d54186
b7a19b 608c19 bbea7c 26e8f3 cc39f2 aa0352
7d6501 26ea52 d3d8d5 8719f0 c988e6 cf407e
26ec2c 49788e ada2e6 8a18cd ba013b fac0c8
c75c05 e7ba0a 26edb9 505ccf 9198df 7e686c
c1ed36 67ac82 26edfb 7d51ff b176b7 a21c43
9d740e 98ca26 26eec2 5693e3 3846f7 c30486
bb8973 e8d728 5f740a 26eed0 5c75db a42a65
4c6042 26f438 5aa465 364bf5 d74197 e9adc2
aa4504 b1da2f 26f5bd 3f9284 8a16df d964df
ecc641 8a832f 26f7e3 49a0f2 7516f2 fd0299
c91d18 b3c52b 32b2a1 26f7fd a779dc 943a68
c14c1d a89186 26f8a1 6d87c0 6e24ea 7e5463
c1b12f 78781c 26f8de 969fb8 4976fc a60b6a
ded8d3 5ead02 2f6b16 26fb0c e13bc0 a17982
d21607 26fb50 30896b b096b8 cb1de1 f7ccdd
af3317 65b328 26fb7d a420fe e5bdff f642ac
f0cd3a 70641a 8ab687 26fcea 3e5bb8 b592c4
e3b413 26fdae 90b1c4 a41ff2 95366b eb3a5f
a9351d 70b31c 42605f 26fdf9 be01fc 998b94
caa093 97d223 4e6f18 26fef4 ad2b93 fb58c7
db9793 937833 68ed1c 6c9bfc 2742fd 9d2482
539e14 9cf181 274ff4 bc86f5 b21270 d47195
7ea962 83f06f 2751f9 756a78 ce9dc7 9b2838
7e644b ebc38a 63b00f 74eced 2753dd 9f80da
796353 bc6608 bdbd0f 74ded6 275adf 9091e6
b2ba3e 406a25 a2e7da 33a9df 275fdc cd707b
e3d6d5 95c145 2763fe 6e6072 d47dbb a11d24
aa5005 f4c548 678872 8ec0c2 2766d7 704d75
bd780a bfd970 8cf4e3 62a5c1 2766e3 a22526
cac517 729737 93e1bd 27685b b904b5 f77bd1
a12420 f5da31 27698e 2ba2fc b1d9f9 bb7678
ded3a1 47a13e 276a2d 97cedc 930cd6 ca5df8
7ed20f 276a42 9e7bfa 8b0eef f60e7b fe9dc8
ce8c1f dae933 276a56 3ca5a4 6deefd 9c4bea
70a84a 74f91d 276b2b 4085ff b73194 f39fcb
777338 59e95e 276b68 d2cfe3 9915c7 e658b3
d62d23 72ef5c 276cd7 d7b3fe b57f9c 8c3962
36bd40 276d30 29fbe9 9519fb ee43b2 ad0a71
e7dd72 9aab0f 276e1e 69d0df 8b82fd 9c4990
a89929 b5e484 276f50 689e91 39e4d7 d421cb
6eb603 27701f 63f685 9e57fa c42187 d595bc
dfb333 277032 7f988f 88d4d8 f934e6 b0018e
a6a896 277304 6fda4d cc4efe 91149c f7a4fd
77f74a 277423 45ac94 cecae6 de70f6 aa36b2
e05756 f5b421 7ca5a2 bddbf5 2775c5 9c215d
d0d095 27760c 90a9a5 46c9f9 cb17ec 7b6b7d
40c51a bfe8b5 277640 826ebe e1b6dd e57791
9ebc50 277921 3cf6e6 ad04f5 ab016b ec6a9c
e4c84b 356b51 82a3bd cedff6 277bf8 b3158d
bdee38 278238 6dbb9d f1c0f6 f50acd 685764
785143 da6306 caed3e 5dd0a6 2782b6 e5acf4
37fe28 2782d9 d8deeb 814069 af122b e38689
fe7548 43fdae 2784d6 d7b7d3 9d2970 b07783
44de3a 278539 88a195 d0d4d8 d855e0 833b87
818820 5de379 27867c cacee7 9309a1 fb3ed6
99a756 c4f00e 5c7430 278890 9341e7 f8b0d3
cd2c01 89ee0b 8fa97a 278a91 d8a8e5 d53bf9
7ddd32 278c55 6a03fe d04de0 9f1b88 cfc4c9
ba8f2c 81ff0f 278fc0 7529e1 efc6ee af4a52
f4b803 279317 8cdfc3 6e33d5 fe48c2 9c416e
855d26 d58c0a dfdb73 2797c6 a1cfe3 821ce4
767775 72ee0f 279800 ac98fe 9833ac e6aab9
87d95c 27984f 7513ff f5c9fe f354c1 ad2376
f3d5c2 28eb12 27985f afb3cc 8667a7 a8080c
fc9405 b8d9d2 27989a 37d2ff 921cdc c9425e
956816 e1d874 279a9a 63d1fb 724bda a80159
dbc698 279c34 c1d9fc f01ff4 958694 942d7c
f2c160 279c7b 6ddac5 db36ff 8e288d c0061f
c5cfb5 8afa59 279e0b 9245a1 d871e6 ad0949
f5d5cf f16f22 279eaf 2bd9fe 633ae0 c70053
c09b31 2dfdad 279ef6 bab7cd 6932f8 a34577
d7ea0a 27a151 95d9b1 5c5b6d a14fe4 f593e1
dfcb02 27a155 70da9d 7825d2 f049f1 a53077
b8ea48 27a231 55eab3 6d46d3 f49ce3 93364e
9b3801 e9c983 ab9321 27a293 78d6ee cc0fe7
84f005 27a317 dab0f3 b715eb c1286a e6899a
b1a201 e7e16e 5c640d 96c3a5 27a4e9 a83487
e7d236 5b6310 27a568 94cccc 9912c2 f851fa
a5a69b b0f13d 27a61f f8adf7 cf0f9c 81444d
8d4801 ada70b 7ee5c8 27a8ac 9157f1 e21e72
c0500a 33f37e 3c7362 27a8c5 8903e4 f2d0de
9bb204 54f2aa 27a8c6 2f52ef dfd8f6 9a474f
c90400 94b215 636460 a9ecd3 27a8e6 4652b5
815e36 82f62a 27b856 45666c afb8ba e83ed7
2a7d09 27b87c 6cfcc3 b946c7 725a6f e0aad5
655c28 7dfa21 27ba16 ba07f7 f4b5f8 f147aa
c55e40 bbc96c 27bca9 aee2fc 6863b2 7c495f
d4e4a8 467928 27c431 ba27e1 f9b6e7 f25994
a9f231 27c561 41674f 8b3fdf ca77dc dec6dd
d47823 dfd723 3f684a 27c792 7a3adb a07fb5
dbb910 5c5d0b 27c8a4 4059ef d9d4fd a61c76
7d5307 caa30a add59f 27cbda 7644e4 dc4486
ccc517 5a7f10 27cde0 3a53f2 9d0f76 dc7c96
5c5d06 b5f248 27ceae 931fb7 ea50f6 e71d64
468430 27d30c 9a79c9 d2b3e1 933769 e57b8b
70674b b8b20b b8e8c2 27d5f9 5f7ba3 7e0eef
ebcb1e 27d7bd 2f5aca b68cda af5f84 c20234
716e04 27da09 9595cd 8600e4 bf2e72 c1a7ab
cc1f13 c0d4b2 27db15 7a9685 6935e1 986cb5
a53d25 e2cebf 27dd0f 744feb 744778 cc80be
c7db36 7d9539 27ddc7 e18bff c330ce 78495d
7d8346 27df4c 4f80a6 850bf2 a40d60 efb6c4
df9788 c8ef1e 419401 27e0f2 a27dcb 89437f
27e285 2d5ad9 838dd4 e2ccde c46870 e00002
f2b6b5 27e315 8d93a6 d333fa 84348e b5124f
fa2e15 9ec28a 27e4fa 5e89d4 741ef5 a86c77
ac322c f27140 fed27d 27e6df 908aab be3afa
965f46 df7a0a 27eb8e 2d97a8 d3c7fc 7647ae
8b694f aff55a 48b207 27ecf9 7656c3 ee819a
a33017 c7a01a 27eecb 41a2d4 4b3fe7 6e6283
8b744f 27f02e 7270ff d4d3ee c02299 d2949c
df6313 27f170 9f33b9 f7a4f7 aa055e a79499
b18e8d 9c4831 d9ea07 27f5b4 67a5e6 7120fe
eecdcb bb6f60 27f705 3b9fe7 506a84 8004ee
de937b 805d3f 27f708 cadae5 7255f5 8f7fac
bd941e 27f7a1 c9bcee 9775ed 8b06c9 e3246d
f3be84 95a107 497420 27f8f8 9c0096 ee61d5
b61010 93b032 27face 6c76d9 dcaef6 a85d77
