# colors_mcd18.0_mld2_nc8_cvd100.0_minj40_maxj90_ns10000
# Python 3.6.6 |Anaconda custom (64-bit)| (default, Jun 28 2018, 17:14:51) [GCC 7.2.0]
# NumPy 1.15.1, Numba 0.40.0, Joblib 0.12.3
e69f97 af3108 a7ae0d 447c62 a0edfd 004ffa 9593e5 f81ca2
6a5547 4d890d 1eec3f 9477f4 7c06fa da99d3 e0dcdf d04f8c
a90400 b38106 e7bf34 1eecc0 d2d7fe b597db 8f14cc e7167f
fe4c1a dfe28f 84a677 23796c 1eecee 8b15af dd40d7 ac1828
edd55e 97aa83 458a37 1eedda 40a0f7 9c10c3 e147ab 9f185b
b9dbae 1eee0d 529e72 4f6b63 9a01b5 f8d0ef db8bc5 df050b
f3a9a9 597438 2aaf01 1eee2c cde0fe aaa4d3 760ff1 b241a9
a2600e aaf644 57c357 508769 1ef0ff 802dda b967fe fc8eb9
a4240a d0c1bd 1ef56d 264ffd 938d9e e268f0 9d3f92 ef1455
f5913e 9f5607 b2dba7 1ef6f1 a891ed 6c47d8 694e79 a7888d
856303 eddc2c aba83b 1ef7a9 69a3ba b15afd 850cd6 dc177f
676504 959b14 c9d63c 1ef7be 6563df a5a2e4 a1085e b97579
8b5f46 d4d50f 39b553 1ef7d2 728184 3c54e4 b8b4f7 675186
b0cf86 4b9f57 1ef7ef 6d09fa 894db0 ee71ec b294a4 9c3158
884b24 d0b338 1ef8af c7e4ee 88b2d3 5a26fc 8465c8 f5296a
9d5914 2bba1e 1ef92f c8d9ff 852db8 f161df eb2377 dbb8bc
a6958b 686e2a 98e20c 48ac12 1ef9c7 7807eb e368eb b10e70
cda42d 537422 c2d7a5 5da089 1ef9fc a991e2 bd0cf7 78556e
878078 6aa428 b0d4af 1efa52 6569ce d4b5db 993976 af0028
f2a197 99922a a5e914 486829 1efae1 5ca3d1 8759e3 e62d83
f55c10 1efb58 4ea380 5e53af 8d799d d880fc fccfe8 c20312
d1db2c 1efbc2 69b1e4 5e6180 b116fc 9f1d46 bb8a8e f2222d
abe601 6fb455 3c6f2c 1efcb5 b02ae7 9d1568 f0a4d0 de5694
aa8c82 d1d673 84ae17 27773a 1efcdb 631bfc f594f3 df1fb7
f80d05 a7846a 1eff18 d3def8 9691bf 9337d5 91316c e6adaf
bb2417 e9a001 979367 4bd3b3 1f43fd 6b72c4 d1d4fb 6a5969
eb6c4d e1c8a1 82fa1e 47bffe 627dc5 1f4bf2 a7a2b0 b62573
d67d37 7b5b06 d8da56 83f7c2 81a6b6 1f4de8 ab73f2 b22669
baad8d baf14f 3be0ea 1f4ef5 6a75bc 867f8a b70451 ff070f
8c710f dccf1c 2a684d 30faac 1f50f7 b6b8ef 7c7dd9 dc8193
f07706 eed8bc 58ae76 62dced 1f54f1 b67db3 834170 c4242e
816147 acaa1e d2eb16 a6d3e2 1f55e7 6989f4 9c156c e1649d
d01614 b7a53d dce56e 27a4d3 acd3e5 1f58c3 c96588 fc9ca5
c3ea58 48cd9d 4d907e 1f5ad4 dd7cda f1c1e6 922775 d60322
c6c43a 36690b 28b398 a9e1df 1f5cd0 715e80 e27afc eb184b
774f48 eae319 6d811e 98c07f 62e8de 4aa1c2 1f60d4 e3377f
9c3f2c bccb03 75a648 1f656d 94e2f5 43a7f4 8d44d4 d48aa4
e72407 b4bb24 738e7f 2cf9a1 1f6765 abcccf f16cfd c914b4
fcb7b2 b8593a a3c409 269a9a 1f6768 c7e0fe 862fdc b870ed
fc1c03 f5b62f 9bb391 32fad8 24a3fd 1f69e0 b4678b ae1e39
b42f1b 96a605 b6e068 54b4ee 1f69f7 854294 eed1e5 c46d6e
ebd3c2 b49018 a4de4b 1f6b3b 6c937e 4cd1f8 c019c2 7a5372
c28963 edd8b6 abd535 1f6c04 32c9c8 4885cf 8404fd bc087a
1f6c04 45bb21 b6e8be 898b9d 7a19f5 c99ff9 aa5cdb d12669
77de5c 1f6c13 289e4d 8508ea c756e1 ff8dfa c42882 c0abb7
a9827e aa2107 f46926 e0db76 46d7cf 1f6dc1 616272 a4a2fd
fdbe71 a5a092 6d6a0b 1f705a 88f4f1 69b5de ce0bfc 931d88
f3d1b5 e29834 655a0b 6e875c 1f706f 25eef6 6ba4f9 ad01c6
b89861 ced968 1f734f afe6e1 8a999b 5c8aea 6d20fb b1208e
8af402 1f7405 3da91f 8f83aa 8136f9 9d0877 fab6ce 945f69
f3c118 cce6b1 1f740a 80d3d3 6b98bf 9755fc 9b0085 eb2970
a71f05 be8647 e0dd39 2ede9b 1f745c c4cfff aa90ce aa2ea4
9e3127 fcbead b8ea3f 79af57 1f756c 40e2f2 815cb7 ac8bae
af1414 ead4b5 a4997b 63cc05 1f75fd c5cee6 cf6ea8 8b5264
9aa88e 71fe13 3fae1b 1f761d 717276 631efe b940b4 ef78d5
a19493 c1d244 7af1fb 1f7892 9399e1 844bfd a01858 e4082b
eeb235 1f7a41 4aae79 47e8d2 928fa4 6c07fc d53de3 8a3f86
e70402 becf61 a4d6ec 7c9fc0 1f7ade 6b6d82 a90452 e27c86
e73c2f 4cf25a 1f7b74 ab9dff 8310ff 9f55bd c4adbe a51c40
a2ed01 1f7d17 3bc141 35fccb 899094 f76fff bd1ba4 7d515d
7d5547 f09f7b 858701 d0ea0d 6ee5c9 1f7d8c a2a3dd 6e0df7
8eb110 1f8019 58fd8c dec2fd a771db 7c08df b10f79 e491af
645d5b d0a81f e6d9ac 1f8111 3ab2a6 aad3f3 9008f7 b346a5
89716f 1f8808 65eb48 b2bcb6 7138f2 f6c6fb da5edf a13d8e
f8672c b5e50e 4be597 1f887d a19cfa af2cc5 f0caef af2032
9b2c28 f6c609 7c9630 69ccaf 1f89fa ddccf3 ae85ac 715c64
db7d1a b5bab6 44ec7a 1f8a7e a76ceb 8b309b f89fff be0d21
f6cccb a63703 899a2e 82dd61 1f8c72 ac65f6 7b08ed df88cb
cedcc8 25d411 1f8d30 899f9a 6049b2 efb8fe b96ebf 804f6e
eaa48b 89ef18 4e8c25 1f8fff 9a9aa7 7b08e4 ebccf4 844f93
bbbf4c 1f9214 bfe9d6 6fbaca 5041fc 9e85fc 70619c 8f6869
70a53d 5f7056 66fe62 1f92d9 c5c7e2 4739f6 a70b7e ce8da1
c3693e fad802 58e29d 1f93ff 494ccf b1a8bf 9669a2 b20957
d8d6cc 5b5c33 90d33c 1f9612 2bddff b109ed b60f73 df6e9c
ef3c10 ada581 5d5c4c 8bd603 4bf5f2 1f9699 e77dfd ac13c6
e99595 b4ec34 1f9815 721afa dfc0fd a90b90 fb2ec7 916375
b02518 c2ba72 c0f215 1f9b7c 92daf5 8932ff 79488d d56bc7
a52e1f e2683f fab644 9bb29d 41fadf 1f9bae 8d34f3 9c636b
d0d1c9 93a289 1fa012 79f67b 750af5 9c5baf e493d6 b22c52
aa4b20 f6c70a ae9c2e 1fa079 64d0b9 2c5cd9 8f8ed1 64517e
d51e09 fb7c1a 8c7f6b 49e19b 1fa1d7 cddafb 8a08f5 7c4568
e2e710 1fa1e3 a9d5f6 4b4cc2 736c8f b4114e c49baa fd0623
d33d28 c7be60 afe6d3 8ca8b9 1fa6fe 9d2efd 774972 af777b
a96700 96b80d 62f59f 1fa7a7 346a7f 844ae4 f8a7fa a60a3c
b8e611 617a5b 1fa811 5ee59c 9c5df7 7101f4 d09dfe ba66a1
eed6cb 7d4d0a 1fab02 25ef04 c3d2fb a58cb7 c105fc d60366
c14442 c19f87 6cfd2d 638699 1fabf7 bbc9d7 69509f 7e455c
ea772f e6d91d 2cf0a1 1fac98 7644f2 cb83ec 9c2384 d00c44
a70e07 51f48b 1fad8e 266cbe b5bed4 c388fe 923f5d fa3036
746e46 729e02 91d878 1faf8a 3c4ee1 e170f1 b20a7d f0cae0
ae4f49 c8ee23 88b836 70f4a8 1faf8f 616a9d 2c43f8 e58eef
d84012 dfce33 1fb079 59f7bd b2bacc 4648e5 755b7d e660ed
9ba195 1fb11c 4be77b 3e637c d0ddef e38cf2 ca36da af373a
bcb0a4 7f807c b2ed42 1fb135 7f51f3 8b5490 fd9de3 aa013b
b75f55 eba40b 90eccd 1fb1a7 3c7986 d2bcf2 aa6aed 7b2acb
926861 9b2c0f 1fb20d 67ea69 425dbe a38bfa e7cfeb f67fab
6d5e30 d6d44d 869540 89efe3 1fb4db 7652ec d0127e ee92a1
d80600 e1ab1f c5e8bc 2b935f 1fb4f3 919aa3 9420b1 655563
a8170d eaa62d 616863 5dfcc3 1fb685 b6bee7 9574df 7e4a8b
d09d0d e2e466 32f5d7 1fb6a6 2552f0 9d8add 93277c cf2c56
9d2d0d 8b815b b8bd04 bde2b8 5ef9fc 1fb6df 4c7b9e 831bee
c07d7a e2401b 9ed00c 65f9b0 1fb8de 605bf5 904282 a2143c
e0360e e9ad6d 9ba19c ade1d5 1fbad8 644cda 675080 9e5966
e6c2af d88b30 8a5708 b0f432 636e6a 1fbdfe 4256be 9f94ad
d50d00 e58821 ffd061 65815c b2b9bb 1fbffd c41ee7 8d3462
c63d0d 6a574d 84fe2a 1fc07d ced3d1 286ddc fc91ea af6988
f31707 ecad48 82a5a3 acdde2 1fc0f4 4354e9 8670a5 996164
bbd3b7 62fd4d 418845 1fc252 7815fa 6c4988 9c76a3 e29fe4
94978d 1fc34a 50fe82 617583 2f5dff d3cafc ca7bce 972b49
eede2b 909a80 a8dcad 2d7575 1fc3d3 9c51d7 9e2231 f20c0f
c5de13 277611 1fc56a a0eac6 8d8a9e 68546c c712db f5a2f0
866161 3e8c16 1fca52 94aa9e 7c2ae1 e3d8ec d86edb 981a77
997b79 f45c02 c3c5a4 97f318 1fccf2 6473f8 a14189 b10411
e6bfb7 835434 86956f 1fd039 537072 d4d7f4 7924d2 ef5abf
d82b1e eadaa2 1fd134 b7d7de 5c87c7 7234f2 605b5d d27b8e
dccbac 6f8d00 1fd313 b1b8e1 5241ee 9f73db bf1a58 cc7f93
ac6727 87a883 1fd52f 38828d 7c09e7 bf69ef d5bed8 bf0961
b64003 6f776f 1fd957 cbe1e8 8b88f7 5542ed 784577 bd9dae
778201 a7d452 1fdabe 4d9795 7b06f1 ab55ed de94ef b81255
9e918d 33961e 1fdc3c 5253f4 f678f1 bf0d8b dcc0d2 824b52
93561f bda066 e4d8ad 9ee417 1fe1ee 8489e5 7b26ed d51075
95481f d28e14 f3c974 c2e6d0 1fe2f6 736bdf a591ac f72577
efa8a2 b1f038 5d8f06 1fe2fb 7599f0 784ade ad528f a9044c
aa9793 c97815 d3e13c 1fe4dc 5892b5 722ef7 7d666d a70a15
ada508 d8e56f 64720e 91b598 1fe4f1 28a3af 9c51f9 843b87
c4a5a4 74783a 94cc45 1fe5e6 6894f8 7f22f5 f616b1 a40c61
d4b905 bfe8d5 73a491 1fe5f9 8f1ff9 cb58cd 8a366b c22b37
5e7138 1fe82e 65a680 c0aafa 8f4de8 893770 c466a6 f4c8ce
fdcec4 357a03 80a765 1feb45 c3b8e4 7317ee a45bd8 bc3580
c56042 e3c8b6 1fec27 839295 43a3d8 c9d6fb 6142f5 78448e
f0aba9 6f8336 1fed2a ddc4fa 770ce5 eb2ed6 953873 ac7488
96957f 588307 1fed70 794df9 fac9f7 a11d82 eb6dbe 7d5c5e
d46958 98360d 1fee6f c9e5d5 96ada4 4752db d0adfc 816683
da3a0c dededa 9ca27a 1fef41 639aa3 7915f6 f668fe 756768
eadab2 a2c223 1feff1 6067e0 b08bc8 e48693 93585f e6021a
ca837d 4e6826 1ff07a c3ded6 2483b5 672de0 d0a1f9 b61875
b6a4a2 6e572a 9add7d 2ba83a 1ff1ee 9f2cf7 c05fba a52872
cc5d2e dbdad2 1ff26d 66ac8e 6256e2 666271 db90d0 a3162e
8ea927 50640c 1ff27d c3dff0 2059e0 f863c7 b64c76 c9a2a4
a51e07 e24f1e c6b27a 7f8572 aef129 1ff2d9 36aafb 993acd
faadad 4ab300 1ff512 878a8b b4b5ea 8f15f8 a45ba8 c5364b
cea34a e7e403 1ff5c5 63998f b7c6e8 5e57b6 b08cf7 aa1837
e21918 e4e350 9bb46c 5f9282 1ff5d6 3450df 7b5987 f284e9
b1dd42 607d29 1ff5f6 39aee8 3264dc 9b257a a87a92 f1a4b2
656730 87d76f 1ff6fd afafb4 8f31f4 cf86ec 952d6f ef3e73
efa821 bdc8a4 249a79 1ff7f3 7b39ff ab0c93 f64ab9 d3042c
e2a33b 2b6f26 1ff8a7 74ae9e 6d06f9 d4bbe7 c927aa 805a6a
a7400e bc8b3b 1ffa20 2f806e b495fd 6728f0 8569b8 fdadd1
c6c5c5 f56333 1ffa32 2556c2 a676fe eda1f3 b0708c b42049
ba9221 bddd08 446d33 838b83 1ffaae 2db3d3 a00ce6 a00b7b
fe3529 c5e4b3 1ffb31 344bfc a781f9 c69ab6 af5a6d a90810
905e34 3fbe49 1ffb9c 8c9391 cfe2e5 2d52f1 c8a2dd 615960
ffac59 9c7f36 1ffbbc 4e8ffb 9ba0bf 5c34ea fbcdfc b23b83
6eb300 1ffc09 c7e5c5 a085f3 7941e4 edb6e9 e33b77 ac071b
cd9581 d4490f c2e6c8 1ffc4b 43756c 559efc a8aabc 9012e0
34b731 1ffcbc b6d4ec 4d50e3 897797 e771f3 82444f c1030c
9c3314 edca1a 78973c 3b7061 1ffdd5 c1b9ec c32fef f33a95
6f6362 c0a594 5c942f a8e97d 1ffde2 6d16f8 fc58f1 b03ba8
94c583 1fff14 3b8447 d1b3ef 7b11e0 9068af aa0a6a c789a4
f9362e b5d116 22dbb3 c0e5f9 96a6d3 2047f9 816dbc ac3e52
f1df1d 667d04 2eba5b 88eabd 204bf1 c4baee b46cc4 ac2873
ce4135 eb8f5d dee237 9fc4b6 22c8ee 4b90a5 204df8 934968
af9689 f89c4c 756f4c e1dcb5 a0c9cf 2199de 2052f3 c74e94
f9b7a3 a77f39 6fd80a 2495ff 2053e3 71719a bba9cf b6145e
feab03 ab7f13 95a185 4df1d1 5695ed 2055e3 b8c5fb c12d7b
965a2d 9fad08 cbe4b2 769095 2056dd 6f5988 e47feb eec7e3
a86c40 e59802 c7e79e 7fe0e1 2a9bfe 2056f2 7d7195 a70a5e
7d760b 89aa6c 62e952 346744 6d8eee 2056f6 a9347f f99dc7
eeae8e 99a309 d2e228 4f7a20 5db9fe 205cf9 7d3f8d bb747e
f2cf09 97bc7f 47fbf3 4da5df 205de0 6a4c81 9a5866 f6072d
c50200 c8745b d8e36f 53959b 8bc8d1 205edf a087f9 9a3252
ce4b32 cbe2b9 64ce38 5b7c85 205ee6 b18bf7 deb1d2 8d434f
b70c0b e26617 d6d213 91f0a4 2061a1 558bf1 bfb9f4 a3636a
b90404 fe5119 27eb7d 639a7c 2063e4 c0abf9 89337e f3cee2
c18463 fed233 4b6138 70e0b5 6e999e 2067e9 b5afec a22572
a74b20 d9980b 799373 7ee48f 2da4db 2068a7 e0d4e6 605a5c
af831c e0b832 8ddda6 206937 479583 d6c7fd 8e348f ff08ef
deaa62 7a8411 206a40 8ef3d2 908bd5 cfcafe a329f4 e51d8d
b4c4a0 7cf502 206b01 3fa914 9516b0 eeb7ee e35fc1 dd0b6f
e1c24d 657c18 baebbb a8adaa 206b53 3beef6 8d0cf4 9f5eb0
f7740d 8af828 206c34 20a587 8901f5 d3c5dc bd79e7 bb2f94
a64d41 f8d470 b7a110 56c6ba 206cb5 a89ef1 685669 ea6780
83492e c99730 dddc3c 81d39b 578475 206cfd b7abeb 705d98
d39b2f d3d4ae a2f701 206e00 55989b 58ccde b601ab ef0873
fdd0b0 a9b452 206f14 78a795 a4d8e2 874ffd d67ddf b82585
7d891d afc050 206f50 2fefb7 c8dbf4 397af5 9c0584 af6e9d
e37b24 edd671 67b2b1 2aeafd 206f80 9c70e1 8e03cc b73b48
6e645f 829e51 207100 68ea50 cde1ce dbb3ef b12fda f06ca4
dec9aa 898a7b 91dd2f 4da723 207288 ba0ff5 e782c6 a12d32
d8dbc8 7ca63b 75f160 207713 756afe caa2c3 a1116e c55e81
e3c69a 576f26 5fff09 2ac418 2078a5 a9b8d2 7c00f8 af8a8d
c98832 6ef705 6d7f78 2078d8 8ea6e1 8d3177 c0072a b7aaab
ff8d03 b2c48f 20790c 7ee9fb 38b3cc 9a62f8 784096 bb798b
d7a425 207929 68e5b4 31a89a a993eb b218da f5cdfd 725174
e55143 ffa53f aaa59e 7cf8cf 207d85 6ba9d5 890cfb 7d4750
fe9363 208005 8ad7e0 86828b 8302f3 cf8afc ad4fbe 8f3550
c57713 ccde19 aeecbb 208166 66bcd1 7a759e 852fba a80511
616115 9b9d0a 7ef93a 5eb78f 208770 9824bb f49ff9 d756b1
785003 d29605 d6cda5 20885e 9cc2df 6f35ea b97afb b4288a
a1230e e6470e d2c022 7f837f aed8d2 2089ab 4abaf1 6d33ea
8d8b8b 77f908 84b971 208ab4 8a00f8 dbc3e2 95366d cf2946
cbad4b 81aa97 7dddd8 208be7 6539d5 6a5a7e 975d5e c6080b
cfc0a5 be8e2f 99f444 838f7f 208dab 83b3ff 6242bf 993e42
aa4311 ebe203 7dad25 60736b 79eec7 208de2 5c40eb 714983
6c6358 ae6c04 ab9a77 24f37e 728992 2091f8 b6bceb 4850bb
5e5e1a d3e632 95b548 8de5b8 20926c 8031f3 da70e4 bf3294
e52a07 fb9604 cfd39b 82a08c 2de3de 2094da 523de6 905277
9e621a 9f957a d8d7c8 7dd760 5a625e 2096ad 5042d7 faa6fe
baa1a0 b36857 fb920d c0e9cf 4bd9e7 2098ba 714efd 6c566a
bfa27c d1e032 209a14 5dd2fa 8876fc 6c34db a32d7a d769a0
e3d4ad 85bc0e 209b55 4d665a 61c2f2 7004f8 ac0f91 988394
9b7f25 9dbd74 8af53c 209d97 a210ec dd60fa e5c2e9 94335a
944509 eb9a08 c7eb8a 73d2bf 209e97 7657e4 ba92ef e13a69
b29d12 5e6737 89e47c 209f7b b637fc f579e1 b03390 e6cbdf
c50801 8c6558 ebd3a2 a29b5f 20a29d b6cbe5 4943ee 635d83
e72b22 c1d30e 20a376 3df5d7 acb5ef 6157ca 8b7090 9c2e57
f5c6a7 5fda00 20a389 d0dfe9 b7a4d2 5e5764 c20ec5 b8002e
bf611c 79736c fda801 7fb689 70f8ce 20a3fe 4c67a1 d3c9f5
97693c c3f059 7db00c 5ef3e1 20a4e0 8b26ea 9f1b75 da9093
976f4c a8a627 63fa20 9bb8ae 2a7899 20a5fd 840ae4 f6cef3
7c5317 b7d351 20a645 38f0db 8a32fd ad0589 ee45bc 807577
fb2f2b cbd419 37f6f0 20a7f1 5b4de1 9c6499 8e3a52 da8198
ab0e00 7a5f5a dfcb92 20a943 b9e6e7 615fec e082d6 a29b9c
ad0e0d f85f0e ffd939 c6d5b5 20aa7a 61dbec 2e5dd9 7c7d97
a5231e d95f3e b7c900 9ee2dc 20ace2 9a1bb9 756774 da9497
868e14 53633e c3dbbd 3eec2d 20ad7d 6a4eee 8f487c df81c0
71fa27 426749 20ae48 828d8d dcc4ed a430ec e070ec a02c82
f7944c d1ddb4 20aead 2fe9ff a091ff 7e53e0 942771 e9244c
eba196 8cfc26 557243 20b01c a6ade5 cc29d7 ded1de 896283
d4df1b 20b03c a3edf4 a297f2 6b00fe 9650c4 a53c5e e893a9
6d590a 6df05d 20b12a 8d88c8 6a4ec9 d7bcf2 c42071 fe8da8
6c7813 8bd011 20b29a 30eccf 6a07fd c899ea be49f0 b21d7f
ef0200 e29d63 f4de45 77efbf 20b2e6 445cdd b45678 ab0731
f5847a 756613 e0e34d 77e7d9 20b3bb 2d4cfd 7063a6 a0185a
8f5a10 33f147 20b63e 256d5c acb8fe 791fd6 bc53ec c4adb3
797368 b1cf74 20bba5 9aebee 246882 e194fd c820e1 ca1a1b
f5d36d 6f6d57 a9a31d 20c19a 76f9da c4c4fd 7b32f7 bf63ba
bf2504 ecc994 20c613 c5dbff 959bb4 5a68e9 6d5087 a36566
e75252 d2e259 b8e9ec 20ccfc 2c7aec 6c6f92 a41c5b cf9ead
f75323 c2a888 c2ec37 5e9095 20cef8 b31fc5 6f4c6f b21f3d
b8f109 509039 20cf63 9504ff e0c5e5 ed50d4 704f67 9b7e89
9b5f0d d9e39c 788f71 20d015 41615a b6d7fa 2256ec cd74e0
c7442e 20d05d 618975 b2e5cc 781de1 d2abe7 785287 d853ef
efd4c7 646c0b b7e159 7b9b65 20d4f1 2c77fa 960993 b785a6
318521 20d55b 9da7aa d6dee5 9050fd e0adfe ab7dc6 a20464
ab1110 c1c4b6 679943 20d71b 5547ee ce6cdf fcb1f6 925562
ee991f 8b772c b8e797 7ba286 20dacc 2d8184 a57be7 8c0acd
954540 898808 20dc2e d0e0d8 3865dc b8a6ce 68537f ff5286
3e6806 20df3b c2def7 904cf9 b491e4 b0128d e39bb0 ec1d4d
e32318 d48a83 20e02f bee3ca 215fb9 8186f2 bdacd8 a84c5b
cfa07e d0e02c 20e2ca 898b90 94a2fa 6f0ef5 bb3aaf d01629
d95006 f9ca07 575c46 a8bf88 20e2e5 5d6ed8 943d7e cc7ba2
c6241a ea9d74 d7e10a 5d9391 20e5ea 7031d1 bf6af8 894e5a
605a32 d5e455 94ad46 20e6fb 7135e3 ac66d2 ca167b f4a5b3
9ab825 4a8018 20e8a2 c6defb 8ba0f6 304cff 922a77 fb3eb0
94b807 adf705 4b8605 20e8a4 5596f2 9513d1 fcb9e4 cf487d
d79019 ece243 317531 42ad7b 20e9c6 b7a2e7 665674 ba0bde
715a57 b06d3a ff9824 20eca3 2e6283 8e8efa 8739f8 f2cdf6
e8d1d1 897903 20f043 296b44 71a2a2 b023e3 d382f0 b4077e
e5dbd2 46aa35 20f05a 2a6e3f bf9cff 8c51db 94467e e07ca0
cfe783 659d01 20f0ee 657dfc 5e40cb 8d6f94 a73456 e09ea4
e2cda5 a7970e 20f100 527772 c9dce8 b029dd fe58cc a02630
b5ed29 476a1d 2fa10e 20f2b3 6520f4 d6b5d7 f019be 9b6473
fa2610 ecbe66 7ab6a0 20f3e2 6f49f7 665088 ad8bbe bc555f
a59b17 347200 20f534 7f8ac5 5f29f7 dbbae9 da347d ee959f
fb9c4c b86921 7ea38c 20f6b9 b6cff0 7a5ff0 a285b9 ad1457
dcbf9c 456901 96e717 20f6fc 5bb0c2 7972c8 a23e7b e55167
d8a51d 82843a 20f7a0 b0c3d3 6a91ef 584de9 be4392 7c5057
d7e711 5d6a14 93a36b 20f7be 398492 8abbc8 950ab1 ef08fe
ac3e29 c29d21 c9d58e 20f7f0 4d5e9e 8d7bf6 70515e ef6985
cd3c0e c8e3ae 20f81a 38966d 6945fa 9b7ef3 971c7d c9a1bb
ecd3c3 a29909 20f842 2891e4 4a4ae4 c2bdfc c81d41 fb6b88
f46108 f8ca00 20fbc6 3e6bde a7b5ee 744979 ad2237 bc7379
e28d89 868129 20fc6b 326557 cacce2 937ffa a3079c e33c93
ec5a44 c3d157 20fcc3 2f968d 9dc4da 8713ed cc55d7 aa121d
b97927 c3df6a 20fcdd 969999 417589 78b1f9 7218ef aa2c38
c3ce56 308b72 20fcf6 8556dc ca82ff 98227e fa80b4 e51f2e
d6cb17 4a7b3d 65c585 20fcfd 363ff7 a88dd4 a1108c dd458f
d79382 3e8500 20fd08 cee2cd d2adf4 b60ffa 9d2b76 fb45aa
df5613 bbc936 78af7c 20fdb0 555a84 a853e4 f980f0 944d4f
625957 b52a04 f86623 888781 b5d5bc 20fe69 c69af4 9f0ea5
efcc4e 71820a 20fec1 44989a abcedc 730ffa f664f5 9a4958
a05753 80971c a7c99a 20ff33 77a7fe 8d02e8 ddc3e1 e10d9d
a8e451 46b13d 20ffc1 ab76f0 8d07fa 915d8f da90bf a3192f
af9e99 d57a31 b3ea0a 20ffe4 7fb4e2 7000f9 a648bd ba0147
a4cd06 43860c 50f6cc 4f9ce7 2144fa e3c3fa 9e4e7b d77f83
decb23 33f9bc 29b594 c2d2ec 2147f1 b06ce0 854488 f32243
fed623 76a823 a3d99d 348251 3d93fa 214bfe c0add5 c13d90
b5a440 f2d721 4d7f56 7ed1ef 214ef9 a188fc 96148e f038a6
985756 cc320c c9b8b2 87bb04 80eef9 2155d2 625c7b ca74c8
81675f 688a0a 46f00b 619ccc 2159fe d1d2dd 95159b e79598
c01615 8a7566 66b718 7ef497 2398ec 2161c0 88386b c8a9bc
c90d0c d0dfce 758e72 2cfc2a 28bf3e 4f5e53 2162ae f398f8
edd102 698e40 7ff9a6 c1ced2 46afe3 2162e8 e54798 962e4b
cb897c f65b10 dfdcba 49f310 2164c2 acbce1 7d768d a41f4d
a5d000 27e7a9 4ca997 21667b 9e82c7 a51de2 f8baef cf464c
cb0504 ed766c d4ec05 56f8a1 216757 6aa1c8 7c1bf8 964090
566a24 61b54d 53f942 2167fd bdbcf6 ab1f9e 734d5c d99aab
9a8a43 24fb6f 216846 2b9af6 cdbce0 9803b4 e81d8f e49fa3
717100 b1eb1f 74b628 4afcd3 216858 a248f1 de8eec ed0484
9e850c dfc43f 216b39 5eab83 c2d7e1 a39bb8 e518f7 9f3983
ddcfc1 6f9402 adf235 216c2b 63e0f9 900ee8 f34cfd c42078
baa84c 636e25 a6dbb6 6b9981 216c5f b70aeb fec5fb fa4dc1
884535 c75913 a4f80a 8ab676 41dedf 6d7a7b 216ca5 4a9be8
c77010 6d5623 d3bb53 91e8ed 659fd4 a0a1a2 216cd5 5c6480
f0c8c8 aef532 56c86a 216dc4 b6b0d3 7b446d 957a87 cc2a47
85b00e b0f077 217030 8117ff b15fe9 d9ced7 bd107f d77691
e7581d 8ec389 29fc25 21705b 6981fc 880dc9 dcc4e0 ad5098
bde274 217104 49f8ee 78b0b8 c16fff c60ca2 7f435d fd014d
7b9a21 97fa68 217124 47b085 6c5afc e6b5fe c177bf a03c6e
66a54e 72f651 21733d 4cb5fb d6ddfd 8941e2 de1f89 f785ab
814e38 60ab02 3cf455 2174e9 b69cfb bf0793 e0bbd7 bf7485
a0886f f38b03 217515 4ff68d a2b2fd be35bc 7c4969 d0bec4
a61506 bf8a26 58ea79 217653 7956de b09eda e8d4f2 f85d8e
9e3802 839a30 2de635 217856 7111f0 e5cbfc fc18d3 e19db3
78fe0e 6ab630 217923 7827eb f470f8 9b0481 e2c5da f81c84
bbba15 21792f 78fba9 49c095 ccd8de a843fc f47cde bf2484
b2bb96 65bd0f 8afb43 217a01 8607d5 ee53f9 a77499 fbbee8
aa2b07 dd8724 c4ed46 7fd4a3 217b58 6748aa b97fda fbb6f3
d7d245 9c9f0a 217f31 44c895 7202f3 e401a7 fc8ddb 7a5365
a26704 caee19 70c155 2df7c2 217f83 a64de7 d89bcd c1035c
f89c45 9b9075 4bdbbf 217f85 a7abeb 8236f8 9b2c45 e60010
d9dcd8 91ae96 21813a 33f468 d098f9 931be6 981880 c362a5
d1e5b7 61dc3c 218161 3598fd 9908ae eabae9 f3769f ba0414
cbdeba 67f40d 21850c 988bfc 823dd0 de9bc0 bf588d 794b52
b69326 c2e67e 60ccb9 2187e4 747c8c d7acfd 8c3f55 ba041a
fe7567 86ff01 2189b3 723bf7 ccb9e5 912c6d d00e50 febcbe
924b02 96a947 cad9b6 70ee14 218a66 9712f0 da63d2 ddaed3
d7eb0a 75c75d 218b21 21fac2 ba91dd b932f7 fa2f9b 745f61
cd9d7b a8d901 686c5e 218c05 5be5fd a54af1 a80a8c e0599b
d8bfb1 fda51c 218c1e a9e2fb 34b1eb 7050e1 d6589f 715358
ab0b02 d7e911 7b970b a7e1bc 218c66 2ac7ca 886ef2 94358d
fd766b 4dfd0c 218c92 caacfd a605ec f6b6c4 ab0d2b f00103
d2635d bbc01d 54f5b1 218c9b c9e0ed 9f96f8 8d1bb6 be000c
695540 f8c779 218e0e 89eefa 8a9cc8 8b36fe e00284 f67c8f
ae3305 635752 de7117 ccc8bc 54fa45 21908e a09be4 b625de
