# colors_mcd16.0_mld2_nc10_cvd100.0_minj40_maxj90_ns10000
# Python 3.6.6 |Anaconda custom (64-bit)| (default, Jun 28 2018, 17:14:51) [GCC 7.2.0]
# NumPy 1.15.1, Numba 0.40.0, Joblib 0.12.3
85790b b6ec41 7ab508 0ec584 01815f 67fae8 0046fc cab0ff a11196 ff1eb5
ba4425 ea7220 cdda23 1dea95 c5deec 1766f0 8a82c5 6b4c83 b6838f 894854
e50804 777760 beef27 9da58e 5ec74c 62eee0 17676d 528e93 b019c5 f285f0
ad0f0c f5cfc3 8ce624 42ad18 5f7c59 3aecfc 1767d2 a18ee8 8a7693 c5939a
ea1e04 fa931b 3d8c53 69ba89 29f388 1767f6 57598a c4c2cd 7a707b c37fc5
bb8a17 b0ec30 569f74 4ce28b 176853 3364fe aaa5ff a828a2 f461b5 ffb2d6
a89779 e1b965 637d00 2afdc8 176855 56989e d0c3fb 7e21e0 874697 e340ed
aa4f40 c68432 99b789 85ec68 d5e1da 54afac 176970 7b78b8 d0acfa 8f24d6
8d750f ecda02 8baf4d 9fe0a4 176a50 4d9296 c8c5d3 9e1bbb eb54e1 da2774
eec02d 176c03 82ca9e 53918b 35fdf8 6d33e7 8656a2 bf7fda 9a425b f0344b
de5027 fbb032 898f83 9bc399 87f0e1 176c63 7a9cfe 7920ff 9456c0 c098bb
b8b70d cdd7c6 176d01 8ff87e 479652 93a79a 7323f9 9a56ca e485cb ba007b
cfc303 5ea251 176d19 47f9b1 bccaea 5348e7 9e8fe9 925297 676567 e67ea8
87941b a7f611 176d2d 44df7b 1c9a76 663df4 ba74f2 d7c0e6 805e7d ee86ad
992e20 d39d69 768168 8ff32c 249f00 176d6f 35c5f8 992ab7 c1b8c1 d854ad
d9e4a7 8db459 90e827 6c8157 1fcbb6 176dcf f99afc 8a3670 b1638d b70003
e8dad8 9a7d50 755218 5bc00f 3efa6e 176e68 b7c6fc 695ca3 9574f8 f087a5
caa981 858051 266c05 21ec0d bbe4ca 176eed 879cc7 dbc3ff ae298a 7e5158
f2cfc8 9f912b 72e415 176f0c 59a4be c4c9f8 9350e8 924291 c4527a fa798c
c29172 acb817 c7f020 5d694c 3b9018 68b3de 1770e0 9a288a de458f efc8cd
d6cecd e58e2c a39c79 177111 64f981 1793f8 b6c4f8 8c1bf6 ac6a96 94276b
808269 b6e325 56b020 177220 28fcb4 3c3ef8 8c74fd dabce3 bb1f91 c98da7
a5983f c8ce21 abf1a6 17731f 42c1a4 1df4ea 704af5 e36adf cd0898 695259
f1975e e9ceb3 748902 a4f913 17734a 51cfea 1796b3 9133fe 79476a b48385
ec1d0a e3dfaa 9caa6a 48fe26 17736c afcbc9 a405ec ee84e7 da49a0 ad0636
e4b8a9 36d02d 177533 aeecea 7c90f7 5a4efb bbb3e5 a084a8 991087 ea3a67
fb711f d9d69d 798b80 177742 a8b4af b9e7e8 912ff4 e999eb b653ad 9f1c6b
e9db16 37a612 177921 60e1a3 c8e2ff 2467fb b1aaf2 931b9e bca4b5 867f83
e0201d aea16c c5d555 177c62 6bbeb5 afe4ff 6b10f7 7e4887 ed85fe d533e0
b10501 e2cfb4 a3a199 98fc02 37cf40 177d59 8125ef f546e0 fc9be4 b53688
d25553 b01a06 baa012 eedc10 89d2ab 28afa7 178184 c20fe9 fd5ffb 754d56
865753 d43401 c5b09d e49521 908c5f c5e97b 178196 72ccf6 7306fd e229fe
a3918d 6b6763 19ba1c 178425 29eb7c 96a2ce c7d1fe cf38ea a0169b e8d7d8
ab4341 ffcecb ec4605 adb282 79df0e 7d8880 17849e cad0f1 9099ed 8529cd
ecd7d2 a5400d f2ab7c 6a6c5b 74a029 1784c1 34b1fa b3d7f8 5a3de1 ac8e90
f1d688 b0bb0a 178519 53625a 25b272 95d5c6 85888e d706dc 914485 e77ecd
a2786a d1e723 94b649 178604 8cdac1 8908fb f2b8f2 f64be8 ce199b 913a53
b00e0e ebd2cd c16d0f b2d35a 70ac76 17866e 88799e ba98e4 65526e a22fbb
e7a69a 5c6046 a4df31 5fb10c 178703 1ff0fc ada2b5 a32ca7 d35acc f70e7b
baeb26 89be87 6e867d 59feca 17879e ac1ae4 f04df7 fcacee a42843 fa0b31
dfa59c a4f76e 55ca17 178918 584bed d3c2e7 ab87cd 7c4591 913156 dd5286
e77106 8f8b72 b8de00 71cc7b 30f1ee 178b9e 8e83f8 8f33cd 973663 c4252d
de956f bccd0d 178c16 42f3be 71b2af c6ddf7 7b0ee7 ea1ecc a6207d a47178
e0c120 625d00 b5dd99 5d8c4e 5efbe9 6ac1c5 178ffb 244ffb af2c85 f36897
cf920e 607119 acde6b 17926f 19cbb5 3253e4 928afd 937ca9 7a3f89 f5cafe
a32608 f1d78c 879872 66c625 327261 2ee8fb 1794f9 9706fb e209ae fa96b3
d43228 bccb07 72f8a5 179570 9f77e5 802cf1 fcb8f0 a83593 dd87b0 71505e
727712 d9dbca 52b607 73f240 1796f5 8d0afd 853193 edb4e1 bb4b7c ed7fa5
5b5b4f cfd1b9 6be848 179719 6846ca b29bbb d065ee ffbdf8 925b81 f56778
be8e14 febe07 6c6b00 52ce8b 17989e b8bfc8 8b39ee 843a8f ff64ec a62c53
fbb25d bc8b26 99b199 bbeabe 41cee1 1798e8 697984 674afa 6e5094 b41752
cddb75 7ab62b 526d39 c0e8df 6dd1e6 179bd8 6e23fe 9b028c d7338e c9a2a8
ef9088 fcd2c7 b7dd4a 5f9131 1e6942 9fe5f6 179bea a69cae 9221b4 866d8d
9b661b edde51 afab14 b2d9a7 56cccd 179dad aa5cf2 882eb4 c3156f ea6077
b9ca64 5aa125 386c1c 4cebd3 179efc b2c7ff 8542fa c045a1 f77498 7f6167
998506 9bb46a 7ffc91 c7dbd4 17a28b 9d4dfd d5b5e9 c908a0 6b5c5f aa0714
b70101 d99109 ebd4a0 b6f521 87a573 42624a 91c6d9 17a3e6 4566d4 83718b
eedb5e 596539 17a40b 31dfc3 ccc5ff 9b45ca cd7bcd 942379 d6457e ff8283
a34f06 d38308 e6ca59 c7e8c8 17a58f 7cd1d5 7072ca 4b3dfa aa9dfb f02563
a2745b aeb296 71ae1c 52ea55 cce0de 17a5a8 306e89 8609c6 d878fa c50a0b
d20d00 9c6b59 ceeb2d 7fba0d 3ee599 17a6fa 6a44f9 eabedf a00976 ed34b3
b1b61f c3f11e 397300 17a760 83f0c6 8d9aa3 2848f5 f3b9ed f757e6 8b5a74
90561d c9d032 71a00c 4af6b6 50625e 17a9c4 dadbff 8e38e6 e40e8d e77d8e
84b517 1d7c2f 30f86c 17aa67 5632ff cb8ffa f0d0fe e5169c 6d5c67 fea0ae
8ba507 d3e3b8 2cfb0f 357648 17aa6e 384ff6 b48fff e4ade0 cc54ab a30775
be261b facf37 b1a126 709461 95cdb9 17acb5 9f79fd d4b9fb 9524b6 85717d
d6341b faba3f 87be8b 748e79 74f5da 17adaf 206a83 cab6fd a659df 8f3842
e8ddb7 5cf83b 17ae32 bec7d7 9469c6 7703ec f182fe 824a78 ca6880 a53a4b
5f6917 cadaa0 85e70b 17b003 2f6a5b b0a2ee 7e3df5 ab4292 f9cbe1 f16aa3
44ea52 17b0a7 404bdc 7570b1 d6caf8 c78ff7 b21577 fbd0d4 f70718 b26768
785106 93df12 a8aba8 17b122 46fdc5 2252fb 8f798f f8bff2 f355d3 b7335c
fbda16 94b114 61665d 1d8623 c1d6c4 17b171 50e1f3 be80ef 8036ad d14f95
d81308 acac02 80fb53 2a834d 17b486 9d7cfb 8544cd e9b2fc 844579 a17495
8c7063 cdd80f 17b555 b2e2c7 46f9fe b9a2fe 8e6bf6 9315a9 f366b2 cd0a1b
f6de03 736f17 89b424 bfddc3 17b6aa c0a2fe 6e09fb a560f4 972c9f ec5c7c
9f2b13 b29e1f a6d38a 54fb17 368560 17b6f8 838da2 655e71 a31ad0 f5cfee
feb29a 816814 c1e012 90938f 17b829 95f1df 7276f1 750bec c890ce ad2d67
ce1211 cf8841 bbb2a0 60f33b dadfdf 17bad0 35879d 7108fe a55ef5 a04865
f15731 94c190 3fff77 17baff 5b7aff 5f6278 7838ac ecc4e0 cd8ab0 a24a4b
8c4c0c b8e526 7b987c 17bb37 69faa6 b39be3 6f15ef b34bc8 7e6a7e dda8bb
cf532d c2a890 dae1ca 88ed68 34716e 17bbdc 90929b bc50fa 8e07d4 92373c
fd4d0e bc906d ead54f 70f7d8 17bdb7 d2c4fd 7529fc 8d66c3 8c3b61 c42340
ac9796 f21803 efbb3d bae4b4 2c9350 34fdf4 17bde6 74709c 9732e9 ae106a
7f7871 996213 bfe8a9 3bf706 94ad91 17be16 227390 6b3bdd cbbcd9 d364ec
df9804 407919 9fec71 17bf86 bfaef9 5a26fd a177ee 7f6e81 913193 e6b8cd
e37f4d cfe6bc 75f857 17c0a7 628087 8425fe b65ff8 e9b9f9 86388e be3136
fdbb00 83f7a4 17c185 848a96 c4bbeb 764ff6 b67bed 924a8f a91352 ec0920
a2db0b 4c7622 17c35f 28fec2 ada5f5 6a11f9 d4c7e0 b749fd a80a7e e04ea5
eec596 d3eb27 acadab 2a8613 17c440 bbdaf3 877e8f 8110de d377dd b12a5f
dbaf96 6f6923 98a813 7bef3b 438796 17c4fe d0d7e1 c42cec 9a2160 dd5267
b58b7e fdc48b 527e3c 17c61d 47f9e7 8ea3b0 c6abfc 7003fc de0ac2 9a416a
b1661c b2f34b 17c65d 65f2c8 1d647c 7d59fb e3c0ff cc82ca 887f83 b02449
edd4a5 727f04 82f10c 17c846 bec3e7 7c86e0 6838fb 8b5392 bb95a3 a21f41
67625d 8f5e1e b9b6a2 7bfe46 17c90d 208cfa 7020e7 f9bbfd c7129a d187b5
eeb121 c9ea95 17c99e a4e3f9 4e67f5 8280a4 cd85f5 953367 fd575b c80307
edc4ac 657716 6bff18 17cb25 378dda 4440fc bbb5d4 9b328f 996d86 d77577
903b20 fbc7b1 aef522 6e9166 17cd54 5c8bf6 6d3dec c5b1f4 a8648c cb94ab
e3d564 8c9e19 3d6a06 529364 17cdaa c3dff0 8107fc 6e6670 b12fa9 ed68e1
895040 cd9979 ead440 29a113 a3efd7 17cedf 8c8e93 7c6bf8 7801f1 c21da5
9e2c04 eed0c5 a79f95 b38705 787557 97e668 17cee3 436a71 678ebe 2263f3
a4f126 1a9916 879e87 17d060 54ffc4 5d5881 934af3 d771da d2b4cb a34d5a
5d642b a2eb51 2a9e32 17d29d 8865fe bb94fd 7c01e5 c8389b efd6e1 906a70
935f5a df701b a09a7c dacb42 9cf4ab 17d4bd 3881c9 a4aded 7307f5 ad197b
cf2014 a3af27 bee704 707e5b 17d5a7 259f9d d207d6 fb7ae6 f8cfec 7f4c69
ce4127 cf990d ddd919 709774 8ac89d 17d5fb 60696b 2177a1 7026f6 b971ff
d31b05 e0d30f 97b855 abed9b 3a9463 41655b 17d6bc 8c26fd 8b4198 d079dd
c8402f b0a92a b2f23e 17d7ab 349d85 3552fb 7a7ba1 b088fe e3beff 794c65
a91405 f14301 a8f729 3c7d56 17d96d a1abef ca0fe5 79577a d9ced5 bc97ac
f7d1c1 cf9d74 bce35f 648d0f 186c29 17dbe6 1d9ace 7a43c1 a09ba1 a14976
f4cac8 729b1f 9ce54f 267328 17dffc 729ce2 7d5bd2 ad2975 b9a0ae ab6d73
884b27 b6833c c6e43e 17e4a9 bde6f3 9caaf4 767eb2 941af1 b2a1b3 d10482
d3c3c3 a90e01 938715 17e736 8094a4 52a0ea c2d4f9 6e49da a15362 f17c7d
f33504 cae359 525f51 1e9852 17e7ae 3755e0 948ef5 845286 a783a2 fbb2e9
b64030 ab962a cccecb 17e978 676a6b 75939e 7e14f2 83378a fcc3ff f74cf0
c50503 9c7c65 e18330 efe217 a2da94 17eefe 2fa1db 607184 8611c3 bdb6be
b8251a e95b37 ded0ab 17ef16 ccdce9 8dafd8 8c72ca 6f27f1 96676e c59092
d26c1e d4a477 dfe816 17f0c9 9fa5c4 3f3afb 776bf2 953494 967989 bf0556
dfab89 85650c d6e34f 56ad2b 565c56 17f0d4 a492f1 9543f4 a51197 f9198a
9e3710 786b5c cdc5ba a0f843 8c9d81 3cc94b 17f2ff 4b588c 934eef b07bc3
fa481c b9957f d8e22b 17f3a8 2591be a9b1b8 8209ee 803595 f7a7fe ab2d61
9ca31a b7d76f 89ab96 1f7d62 17f3cf 6e82fb 5f35ea 816ca2 f0a3fb b7192b
99922a 17f415 b7dfc0 33774e 33b3bf 7d05dc a254c1 f5cdfd a60973 ed5e9b
5e6814 6f9716 92de3d 2ab180 17f4b4 7250fa e0d6eb d3379e fb72bd 8d3d54
ac847c fe8814 c9b893 757a2e c9eb65 17f4ee 4fa5ed 76859d 3e5cd7 9b4b68
814f09 dde638 8c9605 9ec173 3ea79a 17f4f3 5b63c6 c182e0 ae086d cb5f6b
e0410f d7c252 8d9175 17f5b7 4c6b65 31bcb1 ccdef4 2574fb 8b95d9 7f3f8c
805443 b37716 a9e10c 3cc86d 17f5f5 9837e1 c481ef 9f0d7d f12990 f99ebe
e21405 d4d494 6f7a50 91a579 19ce27 17f7ea 2a6777 8805f5 e095fa cb4ddf
a1b554 c3ee22 17f8bf 86c2c2 478de7 275cb3 936a8d b83a55 cd7e89 ec0415
836e16 a99a0b 9cc17c 17f92c a98dfe 6f20f9 8961c6 c9b1dd a03c6e c66f80
adcf27 2fa445 17f9a9 646f6c 236ffe a08bd2 8c46a3 f9afe1 bc9296 a9242d
b5ab9c ad8445 c2dd98 71d313 17f9e9 5b8d8f 18b0d8 b720bf 78575f ac092a
a48d7a f58e28 b5c799 17f9f2 5cafb6 237d94 b88ffe b732f7 a73859 da1415
e4dcd3 c49034 706c0e 17fa56 4cbd8d 186289 a8bbcd 9184aa d704ea 894753
a27c1f e5b026 5ab979 17faa4 4e8480 c1caf3 8e34c8 df5be7 b0a5b0 a71418
cf9c91 c3dd88 2bb21e 1c7a18 17fbe4 a4bdef 9380d8 9430f2 81448f cc5a8d
806d2b d0e4ab 54c23b 17fc13 737b93 b0a9fc 8d01b8 d236e1 d2b0c2 a82a60
a6440f f27504 f7bf74 4a805f 70b9ac 17fdd9 bfb7f4 5f41e3 a97bb7 6d5064
b4aa6c 6e8137 a9ed65 1c8375 55b5aa 17fdf9 b3acfc 834bd0 a56fb2 991082
ba8e2b c8dd02 3a6d2b 81d68e a0aca9 17fdff 479fbb 834eef 8b3864 c85671
817b1d 9baa0e c1da5b 17fed3 2792ba 9bbbdd 9238f7 7c3997 a8284c da9698
688301 94f30e 52c63f 17fee6 357996 bebafb 8d06e6 c947f0 ab0443 f592a4
8f7871 4e6327 acdfa3 26c312 17ff40 b9aacb 981ae6 e557f0 9b2e82 eed6e7
dccc06 99a66c 238513 17ff9a 8ec7bb 1fa5e1 d0cafb 9525d5 f02ba3 655b61
7a552b ffcc4c ad8418 53a67c 6adaae d2ddfb 1843ff 6364bd ed7ccc aa2b6c
e4a5a4 acb53d b1f320 51dae4 1845fe 8f9ae0 706db5 ae7990 a23461 dc343a
ba3828 f5c2ac eb8f4b c6e610 829e8e b4eaeb 446c78 68bfe2 1d93d1 1849fe
bc1100 ffd80f 57bd63 9cdde8 184de6 bba6ff 9876db 774c8a d17e9f a65560
8b5005 ae7d20 d9b341 c5dca5 99a58f 55dcef 589cbb 184fed 6963a6 b80c5a
af826c 7b590a 75c301 38fa7b 3c88f4 1852da 74798f c6acff b1255f efacc7
f24215 4efc02 588163 69b383 1853e1 bfb1f3 bf6ffc 9b558e e1c1cc b61012
f55719 94b396 18e84d 678472 1856f7 6b8af2 823596 f8b8f5 b58bb2 c5132a
744e4a f7c9b6 7e7b44 c6ec60 84b611 7be2f6 66a0da 1857e7 bd2c80 b8a4ac
dd3c30 d0a076 b1d520 1ef0c2 50a7f3 1859d7 8b8fa9 f4c5fd ad5b74 a01c37
f29625 d3e789 5e711b 91ab7a 256c53 9de0ff 6e8ed6 185af1 b24a8b c09eb1
d6960b e1d95f 8ea179 c6e7d2 427d6e 6bc1c3 185efa a471be 7c4379 e20232
e84e11 f3d470 b8af80 1fc2ba a0eefa 1860fc 9b98f4 98177f a96f72 b20c0f
8a613a c5781d 98fb22 79807b 19d678 3c96ad 18628c cac4f3 ab1afe f3c9ce
ac4e02 958373 f3d5a6 96e409 3db941 63ecf8 1862de a4a8fe 774688 eb59ac
c22502 6c7953 9eeb12 22bf37 9aaea0 51f9cc 1864e1 f784f1 b366a1 724e65
e74a3f bbbc8e baf324 6c8d87 2af5da 29b9cc 186671 a476fb a003ed ae1a1c
e44524 c0e4ca 18e26f 9baeaa 186769 58899e e1c8fe cd81e9 a405de b10e18
a46d60 ab4300 e1a05d dddabe 8aada2 186771 35cefc 4883fe 771cfb ef01b1
727912 9eb321 1efe65 22abf0 62879f 1867aa bad1f8 932e57 f599ad b37577
867633 20dd1c b4e0b5 186853 1e967b c4a2f8 7b17fe bd4ff5 bc018c d797af
e44125 e2d90b 6da172 51e499 186958 d7dced 8925c8 fc8bfd aa498d ba92aa
74756d a3a692 bfed9c 58e307 26ae03 186a7d b141f2 f685f6 e4cee1 b5152d
f26e6d f7b5b3 559001 9ff775 186b18 7c06f7 c0a3cf c841fb c1319b 865d67
f7d4b7 186b23 1fe04d 84aba5 ccd0df 5462f8 867da6 c795fb b8166e d36d6e
cbc5bd 718a01 2ecf2d 186b25 4ef2fc 6582f4 99a1ca 8901e6 a72b8f bc7d87
bd7202 f5a221 5cfe8e 47ad81 186b58 afd1cd 5464f9 ceb0f6 9984b4 a71393
e3c89a d49c12 a5a194 8afe0f 186c02 19cff5 798cb7 715c79 9516b3 de2853
dfcf27 92ba83 186c13 189b1e 7ffaa0 d2d7d8 1dbaea 8842bd 99376b be759a
be1905 bcd08e 729d44 7dfb00 186c58 598aea 7c2bec edbbf9 ab5e97 db8fa9
fcaa03 998d28 b5bd7b 186d00 3799fa 8ea0ba 972cbf f5cce3 a52068 d94c77
986602 a5a637 b1ee23 31f597 579b85 186d64 ed6ef4 e5b6e2 d70cb1 a40b3e
f39c37 186e1f 45feaf 52c59b c7bcfc 8f8897 cb74fe b71aeb a13269 f20052
b0aa91 7b8174 4a9b0c 6ecc3a 186f24 5cfcc1 a943e3 fd96fa 9b3874 fd4cb3
a21d10 b78302 45f980 21c087 186f5b b4a9bf 85788f 8d44a7 f344f6 fad0d5
70564c 9c5305 99f809 cdd4c7 96aa85 3dae0c 186f8a b40de6 d6a7dc ec52f7
f08556 856e11 cde735 90cca6 18704e bca5ea 9807e8 ba49b6 9e1173 ea2a78
973625 d3b30c 9d8b23 4dc595 187063 1ffbdb b7cafe 9498d2 a14eeb d84394
c17661 59690d c8ddbc 1ff134 92b2ad 6b8595 1870b1 4b9cf7 f5cff6 853d63
6f5a59 f03d09 e9d951 c0d9b8 86d7e9 3da7ef 1871d7 837c9f 902881 d38992
eba29b b77860 a3ad1b 44fc18 18740f c8e3e3 73bac8 7865ec 8b79a8 804170
bf6822 94b472 71e01a 187463 7568ed e1d4ff 7b5a97 e18efd a3929a aa0a2a
714f4f fbd2b8 187503 60d45d d3d3e1 734ffd ae7bfe b007a2 cb8fc4 e3488b
a39e9e ffcaa8 bd9122 187612 1ef826 a1aae6 dedced 720df7 9e5acb a14e6e
c9c525 569d17 18762f 50cc8d bdd4f2 7d7d7e a954ff 7f09eb c57bc9 ab39a4
a92420 e0c516 7ea035 25deae 187762 dad7fc 6e06fa caa2fb d92de9 956496
b0200c cb7059 9ccf0e 7ffa99 1bad97 187876 6d03ff 8754b8 bd87ec feb1d2
b76104 736141 8f8c72 cfed14 43c44c 1df2d5 187f83 adaae0 806cfe 6938cc
dd9b7f b66a03 e9d8c0 4afb33 35725c 1881dd b5b5cb 6f05f8 715280 8f8291
e93108 cfe6b3 a2b19a 70db45 188269 8444c5 d772ff e3bfed df5da7 a92224
c9e00f 748131 80b225 7bf7a4 188272 6196f2 9a1dec 9e0083 ec2db1 fb86b3
8b4d1b d28039 abde33 19f5f1 188399 bda7fe ad69f9 8a0ebf c30174 f5a7bb
6a6b23 c4e311 6c8e71 36c460 a1efc2 18839a b32ef3 fb85ef a0115f bca9b2
f81701 b5b45e ceed13 22f8b3 18856a 56af9c b4bee3 7c47ee c351a7 b00c19
847c3c aea937 c5f110 53f194 1885f8 2a57b8 a2b4ef ad0065 f1cbdf e4478e
ea9d09 d8c897 959a97 c9e4df 71c7db 1887f6 5f7c9a 3f39fe ad1745 e54649
b90b00 f78327 d2ac89 6d6e50 c0ee69 62e1dc 3f666b 188ae3 4734fd ed069e
a0867f b9411f fd6610 ddd719 2ae496 188cf8 7f98b9 becbec 264af3 79556c
934e00 ccbc6f 9d8f1c caed21 3cf4df 74b5de 188de8 345bc1 7d7c9d d91d60
ef200e f2a807 84f3a6 7fb696 188f57 c6d3d5 8400d7 dfb2fa ed0df4 bb1c8c
7a6642 ae9230 d6dcc4 20f245 189085 9bb9bf 7606f9 e895fe dc2ff6 a7169a
f50c01 b2a194 28f64e 617e67 1893f9 b8bafb 681cff f902c0 894774 fad0e5
f4a176 cedf02 86f6c7 8fb5d6 1893ff 752eea a24da1 fd5c97 a90937 e60118
939490 b5f224 58c03e 189432 6ceeaf c1bcce 7424d7 eb7ffc e82db0 7a5968
bcd720 18950e 60c06f 70f2da 3d54e7 714988 d36af0 e6abf4 977e95 9f4c61
b43007 f05414 feae5f 88a088 5a746c 1decc4 1895a1 7f1cf4 724b87 f34af7
d18c02 e2dabf 8e9e79 387008 66ef10 1895a9 b8c0db 9835f6 cb88f8 a21458
9cb73b b3f003 516229 6dcb97 189863 a13cf1 d077f3 f9b7fc b32a81 ea59a2
96540f aa9639 b5e317 60e1a2 247063 7fabab 1898fd 7a7aa6 7a39a5 fac5f4
ad6358 f05c07 99b571 32ec08 189a91 8686d2 d3aefd 8a1ce2 feb8ce a41719
9c3611 929755 b4c860 576a53 acf0bd 83afa2 1ce5df 189aae 8152cb ef73ff
c8aa71 755206 e6e263 189b04 5ddfc2 8d74f9 af9ada 713dda d7629a a7415b
d8c49b 9cbc14 c6ee4e 189b51 a4ddec 7fa4fb 836590 bb1de4 a5165c c1859a
bf1c05 91655b eba57e da6e16 dcda03 b8ccc8 189c98 9756f9 cb95f5 a2058c
eed4ce 824c10 7bd91b 879681 189d03 5c6c61 28b6f1 6f65e3 745683 a87ba5
766962 b89881 9ad83a 1f6d15 189d07 35fad2 5ec0bd b812e0 fd55f8 ac0980
964718 e4970d 5eec80 189d63 d0d7da 98a4ab 78728d 750ff7 c9a1f8 b363f1
a8725a 496d07 5fcb28 b3efb7 189ddf ddc6fd a104e3 d50090 923353 dca5b7
b4efa7 37db44 18a234 5f58fa 7a7898 b28ede 8f239b d9ccd4 af1350 d99098
8d7471 f95a33 a93e14 cadd58 8ec995 42fedf 18a2a8 1b6b88 6b2fde d595fa
f60404 e2c9b9 8d796c c79767 6afb31 18a2fc acb4cc 435ee3 ad4284 a81b23
8b5f5f c93523 dbaf23 c2e19d 7fdaed 18a3da 4a5f78 1b63e4 878396 f87279
855d33 b3a383 fba901 a3ea98 1dfdf3 18a4ab bcabfa 8801d0 c83ff4 a31e81
bf8a20 6f6327 aadc19 5ffbb2 18a678 5a7576 8fb9fa 791ce6 9f60ce d1b7c6
a96f1e db9713 d1ed15 66ecb7 18a687 7b88ac 2d54f8 d7a2fb 980f8d bf0852
c09242 847f72 d6e119 416d2c 45e1c2 18a6b7 b8cffb 691af4 b752f3 a91b97
ab1705 b7d2a6 1ee20e 18a84b 5e7367 8632cc edd1f5 eb72e0 a3589a a49299
f56504 968368 bdf329 23e585 18a9ad 2d788f b7b5fa 7444e5 a372f4 93393a
cb6100 fe8e01 908a68 606445 50f499 9ec5ba 18a9b5 7854d1 f7cdfe 952670
f03c32 fcb925 18aa7e 2ff1d9 b9b3f3 702dff 9564d9 8a5c7d c17ead 9c313e
a2985b 4d6310 87fa6b 18abfa e3cafc a21ff8 ed23b0 a61275 f29bba a06470
f6c3be c2f202 586e08 18af21 ada8fb 916de2 7531d0 a57b9f c1276c df808b
fdada4 b4a24f 51fa4e 2b6a2b 18afb5 8a15fe b458db e7d8ea a01792 f60b81
796762 fdd11b c4d6ad 1b7815 18b059 969d9b 4cdad9 9f2afa c95bd0 9e129a
ea6104 aef404 3df8a5 18b381 3a7569 9f71f8 8401ef c69ee2 8d619c a41134
b96866 dbb191 5b5d18 bef13a 18b61f 74e7e9 aeaafc 9127ff f11db3 b2146a
977a1b a1c233 8cecb6 18b67b 1c8663 723fd7 ab67ff cd90df efd1f4 bf4195
c61d04 c4baab 9d8f54 61614b 46f607 c4e2e8 18b6db 2366c8 93257d c74b85
705d51 e2c12b 248107 18b768 99b8b1 99eaf8 b997f6 7028e9 a35aee d60289
a78b77 bfe51b 458127 18ba01 4aea9f 7e01fd 5f5667 e10cbf e88fd5 f2d1e5
647620 8be88a 18ba3c 376455 d6dae1 c9a6ea 950bde c85bf6 bc3097 ff60a4
a53503 e6bda4 c19308 65f645 18babc 1e4ced d4d7fc 976bc8 935a71 e1636d
ac5017 ad8f5d b0c948 19705d 9de2e4 18baef 497ee7 7c7293 7f15d5 f687aa
d5c744 919a59 77e9b2 47816c 18bbc2 d0defe 2553fb 8c7ef2 a53f94 a9131b
ee200f d3a472 e8e32b 93e4dc 18bbd1 58858f a26cff 7a3ecc a74e5a a80415
bd6967 804842 b82a03 f8cc52 92a70f 18bda5 7ff1fc 48687d 8696c8 9e47e3
c4a4a4 9f6402 7d8171 5df082 18bf4a 396f86 a7b5df 8900c4 dc45f1 e6d7e0
a89b8a e6c607 c8d9ae 68a034 317b57 6af8f3 18c0cd 9207ec c83a96 b00110
fd9f7c a07e68 d5eb27 74a910 9ce4e8 18c1e4 2c70fb 605a62 f527a0 c70d1f
7b960b 95eb74 18c279 348a72 be75f8 a11dfe f7c9fe 96249a f687be a2182f
b1e60f 18c650 73faac 8001dd b146ff fe87f4 a82a8a cebfc9 eb5e97 ca181b
65583d e2e13b 488908 b4dfc3 18c65f 8b18fd c4a7e0 ac62ce aa0f86 d65d88
a14308 d38e35 7c7c6f a5b08f 85ef4e 2394b2 18c8f8 7c53fe 78428f edd7d8
d61301 826159 b98b57 b5d651 84f7bb 18c9c6 5732ff 9462f4 ac168c e44f93
bc3f11 d6d5cb a9f70d 18ca39 3e9266 3248ff 918ffd 7f69ae dba6d8 80416a
e2cd93 18cf1a 218e30 c0e8de 3b47e6 8871ff 8f8a94 775498 fc85d4 943e5c
cc5814 9dac92 c2e0b6 18d236 3a8263 d9b3f1 a42cad f547f5 b278a0 a7191c
f4d4d4 b63a15 18d251 528b6a 91aba8 cacdfe 8f799b b518e8 794187 f44eec
754e47 dbbe18 477a03 4aa557 18d2a0 bee2ef a79dfc 8c29d9 c45da9 a02175
ab6a3b e1ccb9 b6f34e 92a288 5dc131 1c7b85 18d4fb 924aff aa7bca 973245
7d9b2c 9bf74f 26692f 18d57b 389199 c6b3eb 8e33d5 d068f6 d91171 fdc2d0
b10303 c26053 ffd820 aba312 a7e595 94abaa 18d7f1 5a91d1 5a4cf1 806776
f1950d 66745c a4f276 39b378 18d7fe 594fe8 ba5fb2 853f71 eec4c7 eb0607
8a500b e2dfbd 2fa306 18d842 bed9f3 8253cf b0a9b2 d284da b90672 ea567b
d31e10 b69161 c3cb18 18d8ae 528886 cad9fb 7a3af9 6c4988 f557e6 a43455
b21806 f24408 cb9b6d b6ee89 18d8b8 749aba 316cf9 774091 e8c4f9 bd5a62
884430 b4aa99 928516 d2e5b2 18d94d 5f8ffb 8d96ad 5858ad f3c1db e1036b
696501 a2ea06 7f9363 65bb07 306653 18d9be 6c62ff e3b9ff c87acd b036a4
eed8d0 c89b82 94a207 a8ee51 1e8a91 18d9ef 7302f2 e220e5 954563 c42b2d
