# colors_mcd16_mld2_nc10_cvd100_minj40_maxj90_ns10000
# Python 3.6.6 |Anaconda custom (64-bit)| (default, Jun 28 2018, 17:14:51) [GCC 7.2.0]
# NumPy 1.15.1, Numba 0.40.0, Joblib 0.12.3
0048f9 0292ee 0dcc0a 128836 656365 67fe05 81998e b75ba0 ccd197 f19dd1
1d8d43 2a9cf4 62656f 62f91a 980fa8 9fae10 bacad5 c98595 e92da8 f5d5aa
1d8efb 5644f0 5e548a 638495 74c4d4 a6535e cbe5cf e09092 e9660b ebd92c
1d8f7b 24c5a4 596006 8728f8 959149 a7edea a9048f acd65a b959d6 e190f9
1d9863 2c53e5 53f0fb 6a767e 7c6b03 8d2a86 96af34 9e77e2 d1b59a d2ec29
1d99df 2ccefa 635967 88513e 88aeb0 957e79 9725de d0dce2 dac490 e5801a
1d99df 346944 6c40e7 94f0f4 967714 9c9faa b13492 d7d1b7 d87874 f9b41d
1d9a0d 616586 695f3c 72f138 888982 8eb977 9b2fdb c9ade1 cfe2c7 da66ff
1d9a70 424ddb 63d5fd 645e7e 7da328 915f1e 9f71f2 b48ab8 cbe0da e0cc3a
1d9c94 74ae0e 7e5564 825bde 9e312a afe3e8 b0a4ff bbdc04 c0625d d7b885
1d9e2c 22fdff 506b56 7d6d91 9f2c00 add304 b19cd0 d442ff fa8378 fbb5c4
1d9ea1 3b7601 593bfd 5fcae1 6e5358 7c67bf 9f7662 d3de66 e18936 f1b7b4
1da169 39d381 3d6e59 7120ef 936ec0 9c6905 a4a7f3 b6f41b d2c4db d8920f
1da1e4 4f5ca2 656569 6cd0ff 6f939c 9a805b ab4600 b1f18e b6b60c f8bcca
1da2f5 3d6b2d 4d31fc 5d9937 745dbf 8b7082 abeb81 d1a1c0 ebd9d6 fa7c8c
1da6d8 54edf7 665f61 6f9655 8843fd a22023 a33f92 b5eead c4d508 e88da4
1da7fb 268362 5f3fe9 70eda5 8d3176 927111 a7b848 c3f13b d864b4 eba8c9
1da837 32e496 5f51ff 6a52a0 7c5e52 96aba5 a51c05 b176eb b7f441 dccddc
1da8f1 42e9ff 6f5cd1 7c4f73 838d8b 9d2b1c afd3b7 dfe04f e42258 ff724d
1daaae 268a03 6d50aa 804667 8f76ef 907976 93d2c4 c2adf8 ca9876 d5e871
1daaf5 396b25 3ef5b0 6d4afc 74988a 8767a8 8d4d6a 9cc3c1 a0ac1b fad93c
1daafe 246773 7751d9 8e6d56 b31501 b6d1d9 b9be4c d56cb3 de5302 fdd3b3
1dac0c 53db4d 666e2b 8211fe 854376 9a63c6 9a9ecb bceab5 c06d78 e1cee9
1dade9 3f905b 42f1f3 655766 86ca67 ac3508 b31bc0 b68100 b9aaaf f0d9bd
1daeaf 2e6cd2 52f5e4 685478 6b7a74 9b3f39 a3c1f9 a4a281 ae7631 bcd678
1dafe2 6c58d9 725d85 7fff1c 805108 9b9298 b3cd91 dc1d59 e98d27 edc3d8
1db12c 5c57e2 705850 87e64b 9581d4 9b387f a51901 a5798c c1bccf f9d2bb
1db275 5f6750 8c8e9f 97e27c 992174 b043d0 c72805 ce9fe6 d9d9e2 da8908
1db2f7 59778b 646318 75ea83 9eacb4 b336d5 b61b63 f1d1f0 f40b58 fc8d0b
1db3d7 3f785f 755b15 7ef8b5 965bf9 afa986 bd7e2f bdced2 c401a1 f0ce46
1db4a0 4d8854 5c5e01 8331ca 85e1aa a374e7 af367e c58706 c7e857 efa8e4
1db693 238d08 667461 6d536f 7139ff a0ebb3 ad67c3 b3cb0b df95cf fcceed
1db879 3549e7 4f674a 6e75fe 837f21 8d4a88 ba72ac bcdaca bea7f3 ddc423
1db92a 456775 4bf06b 6f3abc 77662a 8d66fb a183bf bab4cd e08f94 fbd1d1
1dba74 2b4dfe 625a45 6e62ac 70ebcd 8886fe 986b7e b9500f e5a5e6 fb9b10
1dbcfa 426501 4a9d36 6440de 73ff28 936eab 9d9ca7 a6465f c7d4e1 e6b28a
1dc015 3265c4 508600 585d32 73e2f9 878bf4 91868a 9bc098 a70076 c7f031
1dc2f0 3556f3 3f8c72 726f2a 8c307e 8fefff b6990a ced5c9 e8ca1c f46ba9
1dc317 3d6b1c 6956f0 869e93 8d66a6 a7e4cb b1036f c17bfd c4bae4 f6db7e
1dc6db 4a9169 7b47c5 853a71 8de04c a076e8 a32e26 a8749b d3d7d3 de6e09
1dc8fa 2baa0a 526572 71674f 909f82 97ece4 a90700 bd21b8 c68eb3 d1d593
1dcc06 4867de 575d38 708c0a 8bfd52 a25e8f ae938a c7c9a4 f983de ffc2e2
1dcfee 2d6788 4782f8 64a53a 6d22e6 6e756e 8a581a b68aa7 b7f162 ffa6b3
1dd2df 6298de 8b7392 a328c3 a5f019 af1031 b2a1a3 c99103 e93a61 f2c09b
1dd4b4 549b7e 6a6d7b 882caa 92bf10 a82c44 b8ef8e be74d9 e52c2a ebc4fd
1de302 6e696e 8cada7 952791 9636f6 b4261c c17d29 c972fa cad1eb e7d5bb
1de303 356dc5 60a0ab 8a545b a1350e b0c7f9 b388fe ba7b24 c0aa80 e6d9e0
1de3f4 3262ea 3c634f 6cc523 70527d 71899c b483ec b75c20 da8a88 e2d8a8
1de3fa 2bb744 52613b 8b5bd9 8f436c 9c8583 b48aff c6e161 f786bb fed0cf
1de5a0 512cff 7f60e0 8ca69e 916178 ae4819 bddde5 bf91eb ce821e dbd52a
1deb97 326863 5383f6 746a9e a7bcfa b19d9f b91a26 d8d3df df600b ecb91b
1deee9 426293 6b96a3 7402ef a3bd25 a73655 b35cec d38179 df062c e8dc84
1def1e 528769 5a5861 864c9f 8d3afd 8da221 95481d cda99a cfdae5 eb60cf
1df2fc 2d6759 36a653 795d19 7b4fde 82c9b7 b26d9e b996ec cbb102 d2e88b
1df3b7 367393 6d18f6 a45e64 a5b7bd b3270a e9d4ff ebbf49 f05df9 f14d1d
1df567 2169ff 34a9fa 416b5e 6aa548 7f3997 9d4c05 b2cbe8 c6baaf e34999
1df8ed 6a647b 6a9770 6d5fd7 705243 8acea9 ae8ca7 b09df3 be6a03 d8c516
1df9b4 21a0ed 59851e 755144 9d2cf1 a40e8f a4c5ce c1b652 ceeb19 da3a86
1dfaed 3b7d06 705afb 764298 86b2c4 8777b6 9dec02 9f3c63 b3808e fe8769
1dfd0a 4d5c7c 5e9193 696157 a821e0 ae8de0 b53207 be8b49 becba9 fcb2e7
1dfde8 3d809b 506257 7fa102 815d07 958369 9dcc9d bea7dc c84df6 f0d424
1dfe47 456615 6758fa 8b389d 9080c7 adb6ae b48c36 b8ecb3 c93e74 ffacf6
1dfebe 50a94e 736950 7c2ac9 914474 979a96 9acecd ae66d8 cfd524 de97fd
1e44fb 2f9975 4e6970 72f6fb 8965c4 939ecd 9b5333 ab920d aeec27 d2c494
1e4bff 3f8509 78d2fb 82605a 886cc5 a5a7ad b0037b b5ddb5 c39168 dfca23
1e4ee8 3f6a5f 6886e4 847632 85948b a4b1fa a83c93 b1aa4f e4e170 f4abc5
1e4fde 566996 63afab 6ce7f3 9a421c a87674 a977ef b1d4b1 dee546 e29062
1e50e2 3289e1 577f08 67f905 8caf03 917191 aa235d b8cdd8 c77278 d9b685
1e50f7 68c608 6c571e 6f7272 757bf5 9f760b a0f94d a5a194 aa1e92 f4bef8
1e51dc 20b7a4 577aa3 605f63 88fe38 925917 97b768 9a7e6e f65cfc fbb7ec
1e53f4 44c8e7 5e7b6c 7f436e 81a99f 917aaf afe1b0 bb2329 dfe102 f78029
1e57cd 4b826c 58d3e7 72688b 8a591c 9f7cec a7a902 bfe8d9 d2df4d ec9b8d
1e58c3 2e9edf 2ff94d 71a95b 877f95 97655e a83f07 bcaab8 c7c5fc f6d0bb
1e5eee 32df2b 4a5b8a 6ea77d 787980 9b394a afb3c0 c070c4 ec3c27 f0d3c6
1e618e 69ecef 6a74f6 835655 89940f a03506 a19edf bbc25b c2e8bd c57898
1e61ff 43c582 568f6f 7845a3 9b87fb a12200 c86c19 cbd5cc cd8db9 f3db63
1e6284 1efc1f 62838b 79ade1 8f4523 939171 bf3ee6 c2e2f7 d1cabd db7f26
1e63dc 88387f a49892 aca6fe ae669e aff70b d8c9d7 e5004d eeae78 fe6d00
1e647d 8e85a4 9abbe0 a04ece b04248 bb8b7a c0e86a e50f00 eac0b7 f98126
1e66f6 2bb0fe 638298 73eea7 86318c 9cb0c3 a1323a dce111 e96f79 ee251d
1e6769 26a0ed 7b8068 7bff28 7ca2a5 9826ae b6cdc3 d61a12 e2c0f3 ee9b79
1e67e2 3ca739 68ee9d 72786f 8d422e 979ef6 996a9e aea8b1 dbcb06 dbdce4
1e6888 40b551 72f2ff 734d53 8352f8 92786e b4ceb5 ce120c d982c3 eecc12
1e6973 4094a4 758472 8427f5 aa6af8 aaa9f3 aead2d b2f167 d0342e f9b4c4
1e6d82 2ae409 866714 8f364b 92a69d b5d6d7 cf36d7 f180fd f4d69c fd5760
1e6f39 75f4f6 808e8f 8709fc 8fc7a7 9346ad c171e0 e68406 ed0260 ffc920
1e6f4d 5c86c0 665179 6a4cd2 75ef7d a35701 b5858c baabe3 ed8215 f1d2d6
1e70fa 2dc579 3dfe95 476187 95734b 968fa1 979af9 a12205 d7bcea edb504
1e7147 4438fe 629799 66defc 718112 9054a4 94af4d bc76e6 c4d9c7 eee042
1e71d5 486a51 6c526f 7e8086 92a7c7 97f4bf a8671f ad9575 cfd4eb e4c50a
1e7200 3aea05 5976fd 903162 919088 9355a2 a6c6a5 e1d9e5 ef1b4c f389d3
1e7423 656865 6e88b5 72d1c3 98247e 98938c a629df bbadf6 c98c50 f0d736
1e7449 29d914 32a308 942d80 9885fa a125ea b5ee8f ddc7e8 df9586 e64ca5
1e7557 749e80 79daa0 8f430b 914af9 9c7095 c0e54c dd82f2 fc6707 fccafd
1e7615 1ea529 2273ff 5e5d5f 72dc02 a76c9e c6a4ae c9d6a1 fb84e9 fecde7
1e7760 54a88d 8122ea 88f1ac 8975e7 a05f93 c1a2f5 c81324 d8deea dcbc37
1e7788 40f1be 506450 51b784 8b8005 9919cd a7acc8 cddefc cec857 d853f9
1e7886 5c8301 655c50 81f418 86b4c2 881af5 8d8478 aab95f bc67cd f3d2c7
1e7897 7a2cdb 7ed1f9 8a5160 96a7af 996bfb 9d290f aa947b e8cfc3 e9600d
1e78d2 548d51 56605b 56eb04 9f9e02 ad238c b2acd9 b61202 be6a91 e3d8b1
1e7a0a 26ac00 35e86e 7021fc 764c4f 8959b9 bc7efb c47f91 cbe3cc fdb8f0
1e7af9 5c957d 665b5a 84d4fc ab2391 b288c0 bfd7ce cf0d17 e5e32a f48d37
1e7c70 329fff 6025fa 679f44 6f59a4 81561d a3e090 aa9eac f0c4f7 f7b000
1e7c7a 40fc64 7836ad 78b935 7c78f6 947b45 a42452 bbbf9d f78bd3 fecce2
1e7cde 58746a 5cee0f 8eaf96 96248b b0270e ca9cca d2d8de db5d19 f8d7a7
1e7df3 226b15 41ddfa 6abd12 7f6666 929465 a8f21b c0309c d382ac f2c0b9
1e7e59 47bb6f 854875 87f2cc a033fc a70d06 abe120 d661e1 dcb2f2 e05b0c
1e7ed5 44655a 60baef 7f6608 929ea6 a6e2a7 b57f5a b73490 e6b042 f3d2ea
1e7efb 50aa6a 516c32 6b28e2 8cf7ae 9ba2af b13672 ced8e1 d1ab14 d7aeff
1e7f6f 20be91 883a93 8e63ee a0f1b1 a53f33 c4cad2 de8fe0 e2d948 ed762f
1e7f89 40b28c 59644a 7ef583 8919b0 b73000 b848d8 c29de5 d3911e ffccf0
1e80ff 245aaf 5df318 71737b 76a822 7c6039 9c8a71 b6accb d4e0e9 e1b2ab
1e81ad 2db8ee 6b525f 769949 7d34fc 954b1e 97787d a7cccf d7a492 dae268
1e8263 52feb5 6eb6a8 735578 7b63f0 a32020 b079b9 dba41f e5b3fd e8300c
1e85e7 5536f8 5c6687 64a88e 776b61 934919 a19cc4 b9d15c c57700 ecbdcd
1e8665 28e846 5536ee 565f7e 76a55a aa3a00 c498b7 c6c7fe de43d0 f0d3c1
1e8694 655b5a 79f331 7c8961 80a9fd 9b36dd b5c5c6 b62a05 c68707 e4ddb1
1e880c 1eb27a 636762 826fff 9517ad b3ac2e b46fac b5d2be efdf20 f399f5
1e8978 55d969 583fee 72619f 904e3a a775f1 c3c5f0 c8620a cb84ae e8d3ce
1e8b5c 3dbf89 60f7c6 774c80 868ea0 8800fa 9e5200 cbbdee e1ab2d ea31f0
1e8c94 50f3a1 6b565a 76b082 9124f1 b06fff b46e10 becbcd d990d7 e1e016
1e8cfc 57e6b9 5f6690 79a896 8425e5 8d7455 963f00 b3a4d3 dc6109 ecaf00
1e919e 5c58a0 78d6e7 7d7b11 8cb207 9a506d b59485 bbf00f dad093 df4afd
1e94ec 3f5d9e 50fadf 646f12 707f9c 90aeaf a52e5e db6476 e6b3fe faae44
1e99d5 27d4f0 40797b 7033d6 828461 adebdf b02c12 bddf05 c9ae99 d0810f
1e9e9c 5d3eff 635568 936de6 abb99f b3dce7 c895e4 d40331 ee6808 f2b75d
1e9e9d 58dc57 5f8c2b 81534c 8157be a11076 bbc9eb e76bf4 f83585 fcd2cb
1e9fcd 2367cf 68f9d7 6a6f86 725c54 8c9f11 9cda45 a91400 dc9898 f4bdff
1ea46f 36fded 7b6871 811ff7 a49ffc ae4cbc b43508 ba96b2 cde181 e9641f
1ea4df 2058c0 6a6e7f 8cf2a8 99cf0c a198a6 a43a49 bb7972 e13f18 eac0e1
1ea553 2d5dbb 467700 754969 80bf1c 827d82 84e2f8 bcee08 bf76e6 c3b7b5
1ea5e5 674eef 75969b 81629e 9f1e66 a5ae1a a8bdd1 ab644e cae64d eeb7a5
1ea5e6 4e5cc8 645755 7a7988 89d1f9 986724 bfe89d c1a0ab f47862 f4cc11
1ea7fc 416471 78edc1 8881aa 94640c a135f6 ace03b bf979e df6d57 f0d1fd
1ea849 3e54e8 466063 61e935 8167a3 a5b4e8 a77eff bb2605 c18f9e e2d7ae
1eaad8 40fb33 47687f 87715c 89959a 9537f3 a21e08 b4c6ae bfa355 ecd2ed
1eab83 5befb7 797d34 a127f7 a7ad31 b12b75 c55eb7 c9d9f6 e0e73f f383fe
1eadea 4a72de 575c77 735f58 92f6a8 a0550c b78c2c d2d4e0 f4c32c fb729a
1eae9a 386e1c 593ed8 835180 9ab8da 9b77e3 ba8602 de3762 dfd5cf f5af4e
1eb008 6371c2 865b20 a20c5b a5aaed a89ea9 b0f62d c55b6f e0d0df efa07d
1eb0ff 2782be 5c3dde 7e574d 7f838f 8fc5b7 b54c0f c4de1e e49065 fec9ff
1eb392 4b818b 5f685b 85389d 921fff 9bc96d c968e2 e0e725 e84409 fcb2dd
1eb3df 246993 47a01d 686d69 75e2f5 784f0a a6b0b3 ae49fd b7ec3c c5b37b
1eb3e8 2b7260 5bf7b5 8f8099 9b0f9e b0cfdb b6350f c025fb ccd950 d38338
1eb3fc 3d3ffd 538dab 6f509f 9a475d 9ed3eb c31f0e cbb6ae e05b5d feab5d
1eb400 315ce9 57f7fc 737bb1 755040 9cd2b2 a02971 b9a4e8 bb7d7e d9d266
1eb4a3 268389 627558 a41c13 a6dadb bc4dde c75802 d594eb e6d7a5 fd9826
1eb56c 70654d 8702de 898998 a44cb5 aba8f8 c80908 c9e73b d9b0ba ff4400
1eb7e0 45733e 675482 6ae8fc 886ceb 998601 b1f292 c7c9c2 d7b023 ee5fa3
1eba73 446595 818e96 8f3c45 a5bef6 c1ab05 ceed4f d93527 eb28f4 fec8c3
1ebe9a 7a6637 83f6c6 9067f6 91335d b3c9d7 c695ee cede4b d21c9d e07f26
1ec2fa 2776b8 7106f3 929aab 996371 9e2778 adf203 d44830 dab892 f2851e
1ec579 3f76f9 487727 6c575f 9796ba 97ede3 993196 9c7d82 cbb8fd fc8b08
1ec63d 4d8b69 696802 6ffa90 9585a2 9944b5 9a1f6a b6c3b4 cb69f7 eaadf1
1ec73a 476a92 625b3d 7d9678 9ff615 a02cff a66b05 b492d1 d7c9de f1b7a1
1ec78c 40807c 655649 701dfe 77f99c 925503 955fe2 959929 9fbac4 f5c40d
1ec8fd 3ba27b 586b77 5b39f6 8bb137 9f194c a062db c4e454 d41209 f3bbb3
1ed96d 566f57 56a08f 771ed9 9d68c5 aef21f b39cfc b61105 ce6a20 ddc5f3
1edcd6 2570b1 2a9fe5 685e45 8b3370 b0eeb4 b7899c bed901 c35806 ed906a
1ee084 337141 7229d9 89519c 8b8cdc 8b9524 bdcdfd cd597d d0a0b5 f7dc03
1ee0e2 4e9172 6d5568 9684a1 a724ee aa9cfc ba1c11 d27325 d8e1b4 eab013
1ee39c 299164 3b50fb 48626b 8495fa 8a6306 b1b22c caee44 e350b3 ffb0dd
1ee3fd 5780b9 646b73 68cc1e 732bfc 993735 9a8d87 d75945 d9d0a8 f198c1
1ee5f9 3b9771 586365 98cfbc 9d2b11 a60ffc a990fe aeaf2b d320a6 e7e05d
1ee5ff 366669 646c1a 6f8a81 7825f6 9556bd a2b3b7 b38be3 dcde7b f0804b
1ee6fb 4c6775 7c7b61 8336e5 8ca0fa 9ab62d a55705 bbe2b1 cfa0b9 e8e40d
1ee737 4f64bc 545c66 778cf1 865240 9e985d c04c00 cce3b8 e375a3 f4c2f1
1eed80 2d9293 575776 745c5a 75b893 83a202 b33c19 bc54eb bfdfd2 d2a2cf
1eedb9 22a76e 5e6f6a 705610 781bfe 9196a9 9662d5 bbed63 bda107 d0b8e7
1ef1b8 2f61e2 42b893 586037 617d77 903a8d a99138 af83ed d5e41e e9a2d7
1ef705 4066fc 6d6a1f 9e8cf1 a40857 a663a0 b6a1b1 c8d7f5 e78245 f3b799
1ef8a9 23a18b 5f53b7 7d624e 9c156e a4aec8 bd89fc c4e2fd dd4a0b e2c927
1efaa2 2c6d04 34c628 675f6a 88937f 9213f2 b6f406 c054ca d6c4dc ec8ef9
1efad5 33bf8d 416b55 7f4fde 7f9c2f 9e2c14 aa81fa b5e34d c06091 d2a6e3
1efbda 605879 98535a a98edd ac2b08 ad18fe aed041 b1d0ff b38788 d45d3f
1efc60 5c766f 7427f8 76bb29 922789 b371c9 ba2611 c1e8c6 d4bfdb ea8a9d
1effaf 428ff8 51734f 5e2ef0 878589 89b189 ac0c7a bbaec7 d07523 edc424
1f45fd 6760b2 6c9ca5 6ee7be 7e4e6b 95aa1d cf2f46 d5dcfe de75f7 ead44d
1f48f1 23a13e 627387 7f5855 90aba3 ab75d3 ac1e08 afdecf b4c024 ee9fec
1f4afe 539dfa 5f67ac 80eda2 835c23 989cb7 9e8c40 c54973 cac5ce e7ab12
1f4fe6 23f5e9 4f9db0 5f6669 9074fc 9b6c3b a2a815 b0b2fa eb8486 efc871
1f53fa 58559c 6a869e 9eb846 abf819 ad776e c47efd cf1c1e e1d1e6 f99da7
1f55d5 2af7ac 5ec654 737aae 885c04 989098 a5f42f a898ff d6b5e0 dc3e61
1f57f9 5b715d 6192a9 725075 9facfc af978f d2d1f0 d83d19 f6d2cb fc9b2e
1f58df 3be0d2 4d7e35 726266 8d91fc 8e2b7f 998e89 a9f72d b95d9f e59d6e
1f58f3 57c8fe 865d7b 8f3744 8f89b7 98f49c bdc5cc ce8673 dc481c f1c617
1f58f4 60abd6 696d9f 90574c a00766 b28894 b8dbbf d66731 e3d0ef fdb255
1f5ec8 2c9cf8 58848f 656d08 7d484d 869179 95d1bc c39513 d5e13a ffb4f7
1f5eed 648cf9 6b5279 6c7e74 93602b 95efe7 a5b2d4 b5a39a de8348 facb7a
1f5ef0 1f8317 22af5f 817679 893d96 968fff a1e8f2 abc831 dc85b5 eac5ae
1f6095 568a99 77fa25 7a525e 919882 ae34fe b75022 b8cdc9 cb95ed cc8e2b
1f62a3 2c91f3 51fdaa 59686a 98de29 9e8baa b55030 c5b4fe df868a ecc6db
1f63b1 2cae9f 526100 53f6a1 937953 9e476d 9eaf5e a3e42d d775e5 dcb9d9
1f666a 647f6a 6bd2ad 708fe3 7b44b2 945c1f 9e91a7 cb8d00 cdbbee fdbd0c
1f66d3 28ace8 595b59 63e6f6 83849c 897506 992d88 b9eaaa c3b82a ef7882
1f6875 52d18b 6b660d 9ea1f6 a09ba0 aaf66b bf36eb d15a57 daa513 e1cbdd
1f688b 2e95eb 727454 80fd7b 831ff4 8a989b a9bff1 c14e00 c19559 d6c8c9
1f69cb 4f627c 716b65 84d6ec 94958a 9590f0 a11f27 d1dccf e2cf60 f74203
1f69fd 296956 7150a0 79f050 86a4ff 885f11 a38595 d2dfe8 ec784b f0aea7
1f6a5d 289e7c 3dd395 8106fc 907735 a9ea61 b01da0 b9a324 d3c4d5 eb43d9
1f6af2 4f9ee8 645179 7d7e8f 8c532e 96f2cd aeb5c7 c79b77 d06c08 d0dc1a
1f6b31 6cb8a4 8c75c7 91f0da 9412f2 a01f83 b6a4d4 b8994f da2c6e ded58b
1f6b3b 6ee1a8 729890 7439fe 7d4896 927dbf b8abfd b9f216 bea443 e3cae2
1f6bd9 59fd86 635d89 68a0d3 897883 8b4905 bc7a55 bccaf7 d1b7b3 ff8f11
1f6e58 32b38e 72fda8 8222bd 826600 93b64b a879e8 b14293 dbd2f6 e6d309
1f6f13 31feea 646866 80a782 88419b 941dfe a7c4fc b26ac7 c9ae34 cae195
1f6f3a 4e9e63 6ed03d 7604ea 865574 a362ef aca5fa c2e9b7 ce77ae dbc1dc
1f6f56 4fcffa 517af3 621dfb 6b6715 899242 95bcb8 bf24a1 c2d223 fecfa3
1f700c 4de19f 5da295 964c68 9d68cd c5d5e2 daa2f9 e99909 eae417 f4204a
1f702b 40faff 5b5860 658d83 8825e2 9c4fa6 a3dbc5 c9a631 d0df83 f168d8
1f7051 6d7bf1 6f7098 723db0 93b4fa a09620 ba2606 c0e2ae e090b0 e4d016
1f7117 396ffb 64e0fc 6f6168 709765 83ca50 a933a5 ba78bc ccee11 d5b9ba
1f7203 62aa98 7b475a 95f6ab 9d13f9 a9c203 bd93fc ce33a4 f9b3d9 fc0646
1f7207 3aa0fb 76af39 9a32ee 9ad4ff 9e7663 af1a75 cfe489 d5aa9d e841ab
1f73f3 28ba69 845a65 a61595 ae0a25 b27cb5 b2dec8 d3b6e6 fa1912 febb14
1f7985 6d25e1 7f4f45 889f0b 89a6d9 a45ad7 b22801 b2dc3e e69282 f7c4cc
1f7c56 5b597a 60cdfe 7c84b9 8dc481 9939e2 b03100 b59dac df800b fbc422
1f7d27 6a2fef 77b6b0 7bf7d6 8884ba a4a91c c92282 d0caf2 d3717b fcb185
1f7d9a 6e40f0 7dddf0 894918 99a3b1 cce681 ce6bf5 d93b64 dab9ad f97d53
1f7e97 46ce57 5f9114 715760 7f3dd6 933724 9a76ee b3e4e0 c48b92 cfaaf6
1f7f57 765cdf 76e134 784a85 809993 aa3601 af8cc6 c57403 cecee2 eed1ad
1f7f5d 4ca2dc 5a568d 7a8d97 904af8 a8eeb8 abaf9b b42c0d d6930f fbbde7
1f803d 52ae35 573ddd 59f9e5 7f8582 933786 a4db51 b760e6 cdb3a5 e97cbd
1f80ce 336d52 56fadd 6e6b81 7c9bb2 a02510 a3841d a9e216 ceb6fa fb876f
1f821e 2686ed 5e5b5d 7e98b4 86ef99 94378e d4e0e3 deb2f7 e0a40e fa6775
1f856b 77b6df 77f4f1 7a4581 850ef7 8778f4 ab6216 c0c1ae c59b3b f1d257
1f856c 32facb 5f537c 7b9847 9933de a13921 b8e412 ba9fa8 e462e8 fda4ff
1f857d 20fdbe 26bf6d 6236f7 666f34 7d3a97 8f9bb8 ab5cd2 c0d2fb ecc406
1f8586 5d4bae 6fb187 71ef47 935155 9d6eed b02413 cea3db d8dcea f65d26
1f858c 27b9aa 685d58 7ba35d 8824ab a5eea2 a760e5 ab4008 bec932 ee90f7
1f8609 1fbdd4 5543fd 79646a 7decac 816bc9 902c7e acc613 c78f8d d0e0e9
1f8620 555884 59e8a0 6c5c60 75a18f a8b81f b040fb c6dce6 daea14 ff5bc7
1f874e 4dcda0 686e75 7a1ffb 8a95b5 a05adb a32500 baa240 bfcaf2 dbe55b
1f87ed 357953 4342ee 86c178 995699 a1ebf9 b393b0 ba1203 f3be20 f95b08
1f87ff 235dad 5d7d88 60e2ed 7ca3cf 825251 b8aeb1 b93f0a d6966e eadd5e
1f89be 2d6965 2fb7f2 43f4b9 5f7700 749396 7c39ec 9ec2ca d4715b f8c22e
1f89d3 447437 58bacf 744586 7c1fec 807783 96a694 a0e8e7 b38705 d0bc6b
1f8af7 20790b 5341d5 66705f 735176 77a64f b27895 bee6c9 bfce17 e3a1c8
1f8d3f 39fa9f 44bc99 4e38f2 645498 7f6af7 875568 aec534 b788ce f4bae1
1f8f1c 2063f0 6e4c94 73c75e 75ff60 83997c 954353 9a75b3 bfb6f6 ecbdb9
1f8f59 7151b3 77f2d8 834766 8fb87b 9081cd b093a5 c6200a c6d932 f0a5f0
1f8f78 4febb4 545a68 8f3fae 95a451 a46cfd a7290c ba7db6 c2d8f9 dac403
1f9074 8bdf16 9833e0 9fae6c a13384 b20e29 d6e5a2 ea4809 f0c0d0 fd7bde
1f929e 616e48 6945c9 81ab77 89e4e7 972768 acdb51 b891f6 be8d0d e6dab9
1f930f 44cf5f 6e1aef 756f6c 8f3b7a 9d9dad bfcfc1 c646cc e4e509 fe81f8
1f9414 5b48d5 757563 94b57b 974787 9be2cb ab6af8 cda3dd cf719d d9e088
1f9467 4fcd53 5b53ae 645464 94fc35 96551c ab85d4 bac2e8 d08ca4 e0c9b4
1f9628 3d652c 695961 7052d7 86f6d1 8cc587 b78cf1 c371a3 e1c6ef f4ba1d
1f9a9b 45faae 466e63 8d9c75 8f27b2 acc1cc ad72ee b93520 e6c83b f16d25
1f9b6a 3ae38d 5d7814 862fb7 8d3560 90768f 9fb11b cd59e2 cde723 f999c9
1f9ba7 4d6e62 5ce2f2 834c1a 8db5a3 939920 a32edd c174fd d1e3d3 f1ce7f
1f9cf5 28edd1 325ee1 5a5a5a 697b90 8badc7 8e7c67 c0ce29 cd1606 f6a398
1f9d6d 435b8e 4cf5b7 646368 8db727 aa95b4 b85909 b9d0eb d543f1 f3dd09
1f9faf 2bf3e2 3c4ecd 49821e 83bea1 963a73 a17475 a5a902 eedd94 fd7eff
1fa00d 4ad3db 6d566f 880df9 a11a3e aa8d83 af90fd b0e8c5 b342b5 bbd44e
1fa06b 506449 62d4f3 8017ff 8fa41f 985503 ac54de adeb8f d45fa0 eba1ad
1fa25f 247352 8d7f8c 9d0180 a3bcfd abb0a6 c228e5 c82601 e0d9e3 e8bd4f
1fa275 4a6776 635946 814feb 8cb9b9 8ce7fd a38ae6 ad600c c5e8ba eea941
1fa368 355cad 656d7c 9598a1 a73605 aed5a1 c581f8 dc6c08 ecc8ed f7b023
1fa3a4 36dfb5 4a5f79 6d5f56 738c4c aef46f b213f3 b3b240 b480ff f9b0ed
1fa3df 35680c 57e1f6 6ab714 8e48d6 a12583 b3dec6 c96b93 df0154 ebdf74
1fa4a1 456985 5be550 74a810 7b4c3a a642ec ba7069 bea6f6 c3e9b8 ecbdd7
1fa4ec 5567c6 55fbda 8bb9c0 92935d 9e374f ae698c bbc092 d32104 df9702
1fa76f 5f5676 80cdac 835759 8473c9 9a7d96 c32410 c4e11d e08400 e1adee
1fa8ff 288037 605f75 7ef791 928eb1 9b7b7f a311bb ccc108 cdcce3 dd9072
1fa9f4 32e5a2 606805 6365ea 6c9a71 84405f a8f562 b85f91 d2d0dd d5a022
1facff 4469f1 727ea0 7b4869 958e8d a73f28 abe7ff b4c4b9 b88e14 e6ca3f
1faef9 623bd1 68e4dd 765914 806bb1 99d449 a63365 aa8b42 dae3b0 f573a3
1faf15 686f96 755f14 7ee525 8b8978 98325e a14af9 b8aaff c79db2 e6cfed
