# colors_mcd20_mld2_nc6_cvd100_minj40_maxj90_ns10000
# Python 3.6.6 |Anaconda custom (64-bit)| (default, Jun 28 2018, 17:14:51) [GCC 7.2.0]
# NumPy 1.15.1, Numba 0.40.0, Joblib 0.12.3
# Python 3.6.6 |Anaconda custom (64-bit)| (default, Jun 28 2018, 17:14:51) [GCC 7.2.0]
# NumPy 1.15.1, Colorspacious 1.1.2
0046ff dddae2 7a5396 e088db c62b45 05d274
33626f aa70cb 68641c c2d05b a6e9cb 799c90
3362d2 ef71b4 a92507 827468 d0d892 4eb115
3363e6 fb7ef0 80565f c1bdb9 7aee08 6d9a50
62c6b6 3364ce ad9bf9 936b75 ba3423 edb328
e8caef f531e1 7b6a01 a3a31b 9edcac 33664f
a7aded 9b26a5 eec811 9b8a06 336650 54f1cd
41a0c3 336794 c7dbf8 7a5e59 ffbc3c 6f8a22
92dafb 3399f7 33679d fbad26 bdb5a3 717b44
33686a bde0fa 8470d1 d2b2b0 7f6d28 5bbb40
4ec6c7 336881 896dfa dce39a 697540 8aaf0c
c6dbe5 7f9de0 a820e9 ce5200 b5a392 336952
97a3a6 94dbf8 4c82f6 76647a cbaa6b 336a08
c5cfdf 7c39f6 bf6fcf 758706 33c07f 336a50
a02bf2 e2a5f3 ad2969 fc3062 b5e244 336b00
3d9ff0 b62886 fb025e dcc5a9 93ca03 336b15
336d7e b534f3 de91f1 705630 b9dd85 9b9b97
336dca a49dac 865452 e8cabe 5eaf27 90f654
9baaaa 64d2ff 336ded a31275 eca852 6d680f
336e65 35cbea 8452b2 c28140 eec315 cddac8
905bdb 794679 bfa2b8 96cb41 337043 6cfbc0
60b3bf 9671e9 72498b eb6c07 bdeb4d 337153
a890e0 742bcf 87587d eea10e 337235 67e5a4
3372b4 565a64 a29ab7 a55d3e cca709 a9daaa
6ff5ff 839ec7 3372f7 70606d c96c40 cbd2a5
746a78 ce28da ff81f8 cac04e 337301 84a597
7343aa b68ecc df640f c8de09 3bd089 33745b
3377f2 565584 d1b4ca 8e4852 7b8b2c 92f27c
3379e9 ffbdf5 b62b7b 908f08 575e29 3ded2b
859bb3 9a4cd6 981e74 b7a572 337a54 aaefc8
337ad1 aac6f4 aa8086 b02824 de7013 e0d30c
337ae6 a7317d e48db3 5e5a3e 668e19 a7de56
7e9398 337bd9 f4c8f8 cf9c10 615a29 5cf0a8
337c81 d739ea f6c0cb 595e0e 82ff47 46be29
337eb7 f89cff 8f3e03 d5d5ca 80cb0b 646e61
33819b d1cee3 8707ed 9a2b40 db594e 66eb15
338381 54cccf 9a70f4 953444 98750c eac862
338997 bdbbfe 900dec 9d5558 e7cdc8 39ce35
6538d6 b078ba ded5d8 944d0a 7bbf6a 338a6e
338d9d 5b47be b31e15 be9929 d1ec32 5ddba4
a5cde3 a479d3 714a72 da6f86 b2c21a 338e09
99e8f6 3dadfc af336f f5808e cbdb12 338e1c
338e7c bda6ea b81fe5 9a3015 e65709 57f37d
338e7f 8757d0 e191f0 9e380f e96104 99e85b
338fa9 7938d9 efb4ee 9c4d2a dd8832 b5cca9
78c8ea 338fc1 6d31fa d2296f c89e6e b2e600
9ac8f1 c84ff3 9b268a d3d27c 595d47 339012
3390b2 b3c8e5 881adc e3a38f a66746 dee647
3391fb 6d39c5 94446e f6d0d7 949637 78f534
b5d1ec 3392f1 8e95a2 9e168a 997840 c0b801
339aef 4645f3 bdc1dd 9f687c f0a45e 607f03
65e2e5 339dda 675f60 de8d99 d93904 e0e284
38f3e2 526872 339efa d92812 f3ad03 94b27f
48f2e6 33a2e1 9b4578 afac8c bcf043 3e7e40
cae1ed 33a7f1 66717e 7c30b6 c25717 c3a47c
8f8d8d 33a7f7 3f5e90 c3c6d8 bd7139 dcb61d
a82bff eca3e2 952b74 596817 a7f290 33a965
725ad9 a62476 f7929a 71571d a6e515 33aa1e
33aaf9 838698 7c438e b45b29 fdaf01 d8d8c7
9842ed f46ccb 775731 bad60f 33ac86 4ff0cd
33aca9 3f6f76 de1bfb 7f4e11 e2d6a8 7f9f0e
4760b1 ffa2f5 774f23 ac9e31 b8e5a4 33ad95
33aeb4 a4e9ef 6866a0 923f34 edad33 998d70
586d7c 9b83d9 fdc4d5 ec1902 b8d646 33b07c
6b8a86 33b0f4 a423fd ae2c34 d0bab3 f19938
b2d6f2 de4ee2 76626f c5271f afb415 33b283
8835a8 a786ac e7e03b 64724e 33b449 b8d8cb
b3b9ca 4a63ca 9f2f1f 7d8277 33bb3b 82fa89
bac7e7 aa1af0 a33e4c ed6b34 e4d970 33bd97
4634fe 8174ea 786164 a75200 33c64e bbbdba
879b99 33c8ed 397fae aa1964 f4c285 ad8012
3e9590 33c9f7 962fd7 e0b336 6d771f b9c8c2
4676dc 5a5f6f f09ef5 926220 bdccaf 33ca30
33ccf0 3b63fa 5b5871 f23350 cbbcab 9bf103
33d4fc 517695 da3a05 7a665d eba439 bbd9cf
b48af3 8e3fdb ea1170 edb5bd 864a18 33d536
33e1e8 6c7072 ae47d2 9e2a2a e07c19 beaf96
6b0ff8 ff47e4 b3adae a8397c 458d0c 33e245
8a8e95 6157d8 ee92e7 744e61 bc6e43 33ee7c
33f2da 58a2ed 424ef9 96708c c2b07a 535e3f
747174 883992 e273bd f4002b bbbaa1 33f337
33f3ff 9b78b6 81446c fbdc0b 9fcd86 367439
97a9e3 5d57d9 a01672 846a4e ccc366 33f7d3
4091f0 8f808c d0c7ca ac202d ca7a06 33f96e
60a19e 6b4e9a c080f5 f1ad58 937021 33f9cd
b9bac1 a34ecd b62f10 bea021 778270 33fd97
adb0b9 946ccc df722a fac307 33ffaa 3e745f
343dfe 776ec2 ffa1d0 a18589 944641 4ed25c
536568 3445f2 f347b1 827027 ead05f 96d8c2
3449f2 8f6686 d0a708 546d04 849d76 8eebb1
b2e1e5 344de4 7f98f7 a53e79 d7bb78 8d815c
69718a 3450dc bd7bf0 e8333f decf2e 94afa0
7e99be 345db7 b87e7f 6f652d bdc929 8de8bb
95c6d2 345dfd 82378d e15d8d a22f2c d4ac62
c7e3e9 62b2d7 345eb8 f2b152 8d6710 939383
345fca d3daf9 804941 ca800e f3c914 4cbf8a
3462dd 734f66 c47fac f7bfd3 d4542b 82da35
7de6fa 46a0fe 346398 ba3a0f b28775 afc202
3463b0 cda4e2 972858 7d620c 61db59 7e967f
3464a0 bc90c2 87625b c53a04 f78339 bce6d9
346584 e04dfe 8e591d fcb735 78ab80 c9e0d3
34676b 849a9e be63da f9cddc b91d1b f67a5c
3fb0e9 9244f6 b76968 efb11f 346809 bdd3b3
98b1bb ab34fa a80684 c38744 dfdc6f 34684b
98efe3 346977 9e9ab1 9b07e2 e63f3f d4d579
b8e5fe 3469dd 833d7c f576b0 bc3c56 9bbb42
91c0c2 3469e5 b01928 f65f26 878079 dfe519
a53dc1 cd88d2 829c05 cde874 346a2b 7cd0b7
5dcefa 346ce0 66647b d38a94 974332 a0d841
347063 a333f4 d8abef 86480c 59b650 a2ebb5
34717d 78e3fe ea40d6 924127 c0ac7a bdf00f
6cc9c0 3471c7 5e5b66 b72c14 bc9c30 f4dd05
96d7cd b696ec a73cf8 d09030 dce61c 347252
34736e d0dddd b26dcc e27f02 5f5f20 44bd83
acc6dd a064c2 8d3a6e fd6c94 dde07a 347438
347469 61a6b8 9368fe f87005 8c4a16 d3c09e
3476fa 62628b f48ec8 824939 9ce101 6fa212
85acdf 3478d1 ae8c8a 72554c f57124 e1daba
7521f2 a875f8 b74491 c4a51d 347b47 42e0b3
347c70 e7bbec ba3bd7 9e2f1d 8da04e 8ef0be
81bcec 3480b7 9b999d 7e5952 bf6006 dccc41
d047c6 78486c cea5b5 83b610 348414 56f790
8d49bf d2b9de 92325d d67b8a 54cd08 34851b
3485b0 d3dcf7 8e5466 c4928e 5b6506 46da1e
3486da e1ccf5 e48eaa 93730d 96d85f 627169
7c3cfa c57bb4 fcc5e0 6d585c 79c50a 348920
a9bcc1 ce71e4 97429d 5f5c5c e4cf04 348f2f
79e7cf 9c95a3 e034dd 765265 e6b968 349052
5ad3eb 3491dc 653cc6 827e7e b63b22 e1a27a
38fcff 7430eb a773f1 d48cb2 a9e312 34922e
7e44f1 eeb8fc aa2380 f959ab 4ce528 349246
9bb9bb e977fa b73ea4 685e59 f3d806 349324
3493f8 3558ac b296a0 a9325e fb4153 b3d836
6a15fc b160c9 f4ba1a 34940e 71716f 69caad
349498 cfcad3 9974fc d6a957 7f6501 476056
349acd 564bca 8b6646 d3e93d 92ad25 7fdbc4
bc03e0 f78bd5 cbcd29 5a614a 349b32 59f4b4
9dd1d2 349dc3 6f37be f3787d 9c5226 ffd23d
3e6365 add8e6 349eb9 ad03e7 edbe6c 808b68
b411a7 f08ada 615e45 34a110 85e27d 949991
9dadb5 34a1f1 3b45e5 a33877 f73611 69f40a
34a3fc 7234e9 b27b87 d61b27 aac50c 80f0b5
34a492 92f1e4 abaaf4 5d54ba dbba6d 807f27
34a4a3 c2b2fe bf3ae5 ea9725 4e671b 82dcc1
544ed6 d2a9cd 835768 97320c a5e898 34a55a
34a592 3a6573 bcb7e8 aa18e2 cf4747 35ee26
34a5da 6f3bc7 be6b7c ead014 858404 95d9ae
34a5da b1dbf6 713ac7 d9096a f6b46f b87902
34a7ef 584ee7 c8277b bc9d83 7b680b 9bf634
af23fa f18bdb 913653 e56016 d3e1a6 34af8b
34b0a3 8defe3 756ece 993968 e59401 675920
cae5dd 34b2d3 5d5fd6 aa3833 dfc540 81968b
839d98 34b2ff 3f6ec0 d3ae45 54663d a1dcc3
9e10e5 f161d2 f9c7d6 a0888d 5f5d50 34b818
7b56d1 dcbefa 974254 e27249 aef064 34bda0
3b68f1 ccbee2 b66c88 a72522 34c202 55feb5
627d7d c548cc daa4d4 c70942 34c84f c1e0bd
7e6be0 e5d1e9 b383a5 ea7f02 57652a 34da94
8b4196 ba8bb6 c82000 d9d7d3 34dd5c 4e906b
34dde9 d704c0 8a595a bd9d11 e9e00c 9bbca2
9499a3 505b6d dfd7f0 b15cf1 b02816 34de57
8206fc da3ab5 e6c3d1 7f5102 34e424 4e8e72
6c05fd cea0fc ac44ac 628459 34e934 cae4c6
935dba eaa1de f4668d 9f5207 34ef5e cde2d1
34efde 436b7b aea7fb a31f1d ce9871 caed5a
34efe0 c44bac b02105 c6ad1a 5a5c55 83a78b
497b7c c076ea eed1ef 5d6800 a6c298 34fc0e
63f5f2 3546ee 9d81dc e28ca1 97453a cccf59
67a1f3 7a7e8d 354ae0 915419 c7a684 d2e838
6c88c0 354ce0 7b5668 bc4c3d cf9816 acebcb
3555bc 6e6b6d b27cb5 fa6b23 a43e05 b7e08a
a9d4e5 3555be d175f0 78616b d66330 cac82a
8acedc 3555ed 8984a1 a31f5d 997419 c3d685
3556f3 dcb3f8 8c307e f46ba9 726f2a 62d04b
3556f9 827da8 c6c0d1 bc8170 814c1c fed029
3559ec 8d7089 e995d3 be4035 d6e177 73b68e
3560d3 e295f1 814267 bcd127 44a673 54e7c4
bae6f2 356272 8899b3 9e44d9 a64a1b c5d448
3563b4 b8b3dc 82605d c83809 fa932f 76ddb5
3565b3 b393af 715048 609b50 3af23c cadfcc
5f6061 3566f5 828ebc a80411 e36d39 d3d6d3
abc2bc 356780 3b98d7 7321e1 a15d54 dfc34f
7dcbbf 356789 a075fc e63a5c 963405 bdd007
b145fb f6aacf a81f73 a8e909 4bb12d 356831
a8e5ee be62d9 963976 d6d020 8ea26b 356833
88b3ad 4b7ffd a19e39 686a02 bfde1c 35695d
4ab2f4 3569f6 784a7f ba692d d9d2ca 83958a
bc17b9 d596b5 825e6d 356a1e 5dee36 3fa954
7a4ad7 936e8c f4ace2 c6ee46 81a442 356a24
fd3cbf cb9b97 a70c11 86a021 92f27b 356a5c
356ab8 d3c3f7 f87aa2 635745 698b13 62da27
7f9ea3 51e3fa 356ae5 97306d ac7d4b d4de4e
356afa cc87bc 66585e 9c4919 8da501 88e09e
9e1bc4 e15be5 e20b76 e2bbb9 356b0f 54c430
9ceefa 9933ed 9f8000 cec844 356c4f 3eb092
356c60 b4c6c0 5bc6f7 9d2ee1 cc7c43 e2cb34
356caa dbceef 6a565a e4a5a0 ab5e19 8edb03
b4e3fa 3d94ec 715d80 e490a2 92b32c 356d3d
356dbc b3aaf9 efafc0 aa5053 4cb90d 94f57b
b8d4ef 832cf6 aa72d2 e26670 ecd387 356e05
9b34e8 a00a7a f563af c2b429 356f4b 92f3c6
a554ce fd84ee 9d2b00 d9de9f 8ba667 356f59
356fca c79af8 b16b84 903a19 7ea500 7cd6bd
356fe9 d5dcff 942a82 fc8db4 d5205b 5de62c
36b09d 8f63fa 990c89 b3a43a b2f221 357112
79c0d2 3574af b36b7a fdd1be a5b24a 577014
80a9a0 3574ec e7cde9 af0e7b fd3b33 4ef407
3575c2 ddaace 8f4f69 bbf30d 668c05 4dcd7f
3575f5 d8d6eb 675c89 9c8176 923d16 ed7f29
456fff cb97cb 6a575b 74ab50 75f404 357800
64edfa 3579f7 82688d a93521 c9a83d 7cb3a3
44e2d2 357ae8 9d3c69 bbb474 b8f10d 577f25
87868e d8cae8 8b1bb0 d250e0 4ad22b 357d2f
8edaea 357dd4 e67205 6c5c46 b1a68e fbcd4c
9ed7ec a678e3 71546a f07d9f dcdb1b 357e2f
357e88 c3dbe6 ce57fa 80642a efc835 9ca573
adb0bc 8027f7 b86ef6 8d2b82 35803d 5ee38e
6d20f0 ed6de2 a48f91 efd3c8 a7de03 35811f
b172be 98310a ef690e eed752 358269 79cbb7
49b3ff 7d01e8 ad4ba4 e4c266 358436 a2bab1
99a4ba 776c78 cd54f5 edbd61 358a37 b2e9cc
3b40f3 9279c5 efb3ed bde1a9 43c912 358a41
c8e3eb e76bdc 96547c ebd713 358d07 41ce8d
8ebdff 714cb6 d96397 8b4158 e6bebf 35910d
9ba1a9 595970 b766d6 dbdcd4 6cf361 359246
35929a 65c7f1 982bf7 7d4f2b de9101 b6c8a8
8ccabc 3592da 6434e4 ad275f 8a7a04 d8e329
3593e3 f5cfe4 9f4c6f b4090d af9266 9aeb13
359595 94c2ed a34cd5 8c4144 ee5538 ffbaaa
3599f5 d7d0dd 736283 caa502 3c6b44 8ca694
646278 e659d4 7e4d3f e7d216 359b0b 95cba4
359bfc 9a99a9 654e9a edd0fb 9a5f38 92e76e
6d18f9 a067a7 e898b5 a0325b 67ec19 359c21
c9d6d4 359cbb 744be9 8d3372 7b735a 50e841
c0bfe6 9864d0 b73769 e48e8d 35a300 55f326
97b0a9 35a3ed a61317 6f6b68 c19d01 f6da62
afe4e1 868e93 35a6e2 7d4984 bc8533 d4d77e
4855a5 9f8efb cfc4df 897070 ecac93 35a902
6d5fd1 997a87 ffbfd8 a4381b aaf382 35b34a
731ff5 927fb1 f0afe7 a03f5f 8bea48 35b36f
4b6173 b1a6f3 9e43e1 b9302e cdc633 35b483
35b8f2 d2dae2 4455c2 9c908f 9e492c dd8900
35baf8 4c5de6 fbcdd1 b05803 908c7a 94d34b
a24feb e68ad9 a31482 c7d438 36822b 35bb97
5265ec ef9de2 94345c 7c7e00 c0e644 35bf81
627474 35c0d2 8c44ca 8a4a07 aea273 a8f0cb
4a77b1 f1b5d3 9c3d63 617615 a9f61c 35c25c
35c8ff 383aff 6c5da2 927135 c3e11e 81a595
35cbe7 8175e3 bb3373 ab8243 e6bb30 bfe8c6
b9a6ec a4359c 857579 e81e2e f9d206 35d8a2
528392 c7c7e1 9f39f2 af725e fdca2d 35d99c
62536f a46cc8 f6aef5 d3dcc6 35dd10 46855d
595d63 4b6adb f7b8dd c05104 9f9485 35e032
6746d4 ea77e5 be2961 a09d46 c4de1a 35e2b5
8d9c99 35f3e3 bf29be 774c60 f24502 b9df15
4a7871 e319d9 f8accc 857406 a7ad70 35fc18
35fcf1 bc65dc 8b3f7e b4ce53 52711e 38ac94
6949f6 beaceb 9c2d01 d79401 679f73 35fd94
9abbc8 4c87c7 ca966a 6e5e3a cbdb32 35fec5
a3b7c9 3643fb 70629e b67cff a16e4f d7b97b
bfe1ea 5a6671 8094d0 3645ec d5be36 887802
364aec fa5cce 8b5b6e d8d567 718507 96bba4
364aef a678d4 f7a7ca cb0b0c a6c376 5c9378
dcdbe1 3650d9 d479af 656857 719f4c 85ec35
66a2f6 8b909e 3651da bb2529 f18926 caddcd
3654fb 8f8de3 dac4ef ce3280 d5914e aaeeb4
505e62 6ba1de 3659e0 dd4635 be9f99 97df5e
3659f0 d585e3 8e888a 953a46 f0580a 95eebb
3659fd c783f1 c5377b d7d822 536a21 8fcba9
81ddf3 365dca 94314b 937206 d7ba2a 5fa483
365ef2 bc277d b99650 d1e324 3a6a16 48e4c4
759ca1 36609e b6cdf7 b17ffe 995e03 cfbc4a
52a3db 3661c1 cbcbd6 a66d8a 943c17 ddaa7c
d0dfdd 3661ee c8a3e3 d8476a 705401 4df96b
5ea8a3 366266 ad8efb 7f3ed2 c76711 facba2
366461 834ab2 ccb0d4 c0812e 7dee18 439c89
36656b 8951d3 db98f1 d45b0b c9e171 43c6a7
b79fe5 9235ff b04e9a edb662 36663c 6c9a80
d3c1f0 ee38d2 f6abad a78447 62db0b 366658
366666 c3e1f2 d946cc cfd720 828800 3ecb9e
40dedc 8f6bef 986e88 d1e972 44aa08 36673e
366872 d5d6da 87b1e1 e02c29 a39788 f4ad30
a37bfd 6e5590 dbbbdd bf6b74 366a07 3df083
85eaff 779ee9 77606b a9a55b c3f052 366a12
7c38f5 a869a6 faa1ec d4e3c1 6ed220 366a49
366b6a d0d2df 9290be 9e3ed8 dd1311 ddb485
57acbb 366bb6 b46f77 929f0e 586300 bee1b1
366bf8 d89ee4 685166 d53124 abc96a 6e8f80
59e4ff 366dfa a686a3 984a56 e3876a e2e379
366fcf bdbbbe a47476 993f12 6ba71f 76fa19
3670c8 983f6b e18cac cac958 90903d 5d5e1b
bfc2f6 8a7f99 b730e2 f9cfc7 50c05f 36714e
d9dce6 9041fa f969d0 dabd71 8f871e 367157
51b5ad 367187 ee2af0 aa1a0a f3ca08 b5e8c1
6df8e7 9946d6 cb89b9 9e3204 a0c272 36735b
367990 90b9d6 771af1 a38957 e9bc38 d9decb
3ed6f8 367cd0 8c3d36 be8114 f4c010 80af8a
8c3591 e758ca bd1c0d c1ad2e 91e8af 367d5f
7cb5d5 367dcd 9f216d ec9b91 7f6404 dde43b
7ac0ef 7750af ad6d8d ecd7d4 a0af41 367e2c
368478 a8cdd2 7624e1 a563c1 d4db30 67780a
a4afc2 aa63f6 8c338a f4cfbf 52f637 368534
858195 754691 f85afc e3ce00 36864a 93c3af
a112d8 635b64 c889b6 aff47b 368726 64bb83
9791a6 62547d d026f3 e3a940 36874e 92d5b6
b64ea5 d79ab2 5f5c06 d1e86f 93ac13 368768
36877e 84c7ca 782fd7 a876f5 a75718 cca967
3688f0 676788 bebcd7 933a32 988f2b 5eee31
6d807f 89c7d2 3689e2 ad220e c1aa60 c4ee0a
40e0ef 368bd7 853f5a fdbaa1 c87c16 d2e900
bbe0f9 9a79fb 84349e df799f cede43 368c40
368c8a 7c2dfa ff6de0 915d45 f5ce1b 96cfa7
7705ee c453de 7a5a5d eebf65 368d1d a5dccc
b18eea faccf6 ae1c95 5b5956 b5e39e 368e36
369084 822fc2 f4bbf0 f353f1 566d0b 8bca68
36938b 3be1d5 713ecc aa77f6 ba4a2d d4b667
369591 82e2de 8660db a44a46 eb762d e5de54
3696d6 7b27ea 912d78 e3c0c9 d12d48 70d53d
9ae2fb 3698e4 e2318e 8b4206 cdd46b 909c2f
80e2da bf73f9 804c96 bc460c e5aa07 369977
bddad4 9b23ff f92daa 6d5252 c8bf01 369a4a
a7a9de 9b5de6 a03677 5d5b37 dbd98d 369e1c
369f97 c0b9fd 8f3ed4 8f4355 e66637 ecc997
655786 938e95 e0c6ea e575ff a7f060 36a040
99dff8 36a4dc 9d878c cc4b22 f49a3d dee0b4
5e44f4 726f7a bf7fda e8c7f0 65e610 36a665
36a798 6ae3ec 5b51ab cc77f7 8d5829 b8e379
36a79e b4c1fc 9459cb bc3402 b6ae51 546959
b2cdcf 36a9ee 4a60da a67e14 ddba11 5d5d50
36aee3 6e21f6 95458d d63d62 fa8f20 58f6c9
4af6e7 6d40e8 9482ad 8a403e cbdb25 36af6e
b3d2d7 6a3acb d181f4 af4669 eade94 36b31c
d6ced8 bf2dbe f778e9 63730c 96f702 36b583
36b8d3 7c62d0 744e62 ef5943 d9d219 c2e8d3
36b8ed 3759a6 fdc6cd b79285 9b531d aed025
9b68d7 d5bdde c61479 816100 b5f355 36bb7a
5f6067 cfd7fd be80e6 e13d02 f2ad03 36be95
36bef4 5271f7 d0cdd0 725b8b 9b5a3e ebb405
36c0e6 a92cf3 f05797 f5c9cb 904c01 a1db3f
36c9ea 6173d6 7b476d c28684 e84d07 d6e50e
36ccf8 467dd1 9a7581 f3d4d7 b0132c 9fb864
36d3ff 981b9c f474b2 a19f02 d2dd1c 597a37
447bd9 a10273 c7770e 7d705c c8d51d 36dbbd
36ded7 5679da 706869 ac240c ea7a4c e8d403
388d7c e0d1f9 774dad b13c21 e8ac1d 36e4a2
36e6e1 bd59ad 6b6665 96370d a09d83 9bd907
516e70 9c3bdb c697b6 913e2f d6673b 36e796
856beb 86698c dccad4 a92d29 de7a6d 36eb01
36f0d4 59606b 5363fc e595f8 a24b21 b8ef66
36f7f6 512efd fb51e3 a55c7b b72214 e8b977
36faff 45a7fe 6258a0 c298ad 7c6c25 8cd26f
6c82ca b9c1f0 9f4d24 f57d3b 969290 36fcd4
609eee 373ffd 666b8a a8806d fa8802 b9c7b2
79f5f9 3747e8 9670ba e1b306 536925 80ae96
374add 625c78 9f80f6 f17eaa 9e6156 a8d13a
6e84b5 374edc d8d0f7 d2a39c 7a644d 76e019
737574 3c9fec cdd2df 3757b0 b74327 d69811
699992 a3dfe6 3758bf ae80ff 896a45 edbe6b
376086 4f91e3 998e93 f68d18 775d27 8edbbc
3761b5 acaaca 896879 dd1f27 e2e46f a8e7d0
3766e6 a396e2 efbcd2 e04977 8c521c 56cf4f
376869 9842f0 f5cafe be92ac e13e11 9cca57
a7e7ed 376882 ac53f9 f16a67 866402 f5c53e
7b6aeb b5a5dd ab1672 b18083 376920 7fe478
376974 c8c6dd d631cc 876d37 c3a033 79a58e
63f2f6 3769d1 9a99c2 ef226b d5b051 446700
3769f1 a99bfd 913682 eabdd0 c97c4e a7e688
8bbef2 376afe 785e89 be525d d5baa2 8bab03
376b8b d39ef8 982f21 e65717 53e187 788079
376bab e2a0d7 a91707 877e66 5cc301 c4dfba
376c64 3aa7a2 b97ffa b74715 d1d4b8 7efa16
376d65 bb52b8 ffcce0 c42408 bde634 4ca877
376d9e 769cf6 d9ccd7 c5153d e18782 94fa21
376eff 8d91be 995b5e e34703 fea72a 97e2b2
376f73 aaaeb4 da37f5 8a482e e4ae2e 44ffaf
749ff7 8228ff 806674 a0a78e 9eed1f 377013
d0e1dc 82b2e0 975ee6 b54d80 d1c30e 377018
377199 ab8efb f9baeb a52b3c b68967 82f975
9be8ef 926da7 ca711f d3ce2e 377361 50b299
37739e c2c7e3 754c58 d16a65 a72d12 f1ca56
37746e c0b7ff a86ef4 e59f06 586407 69f99b
3774ce aea3db 7c436f c54758 f3aba4 8aee18
3775bf e49af2 7a4f65 8d8d24 cacec3 4de62e
3775fd 9f96c4 7a5c8a a85a09 d1dcb2 50d21d
ccc5f0 918d9f a045d3 f6a139 37775a 6bfac3
a5d1df 3779d3 625b72 a14305 b9865e cdda34
9b89c8 821bf4 e1ceef 887404 6af011 377d6d
377dda b5aef9 f0d2e3 b19048 78ef64 596e5c
9b71bf e5bee7 86416e d78196 77c847 377f35
377f75 e9cdf1 d46bec 9734ac 9ea870 8dea41
378182 6fe3fe 9753ea dbbab2 e97c4c b4ec26
8beede 8e2cd1 ce7bb9 dc1f0d afbf40 378369
9478c6 8614cd d4c1d5 99376c 37871a 66cf45
3788f9 837289 f2d1f8 ac3a47 ff685b a3ef24
6c7980 378be2 d7b8fa fc7030 7e5532 b4ebd9
754ac4 feaaed b573a3 913d61 99b583 379025
caccd2 812ab9 e494fe b2669c 379137 5bda70
3793a7 89cbdc 6e41bb eb8307 987551 ebdc80
37949e 813fba ddaff1 af2d61 8a9a32 8df169
97abad 3799f9 7743a6 9c4b69 fd1e35 fcb73e
942ff8 b589b7 9e264d ade133 379e03 49fbc1
a5c7e1 bf2ed9 fa9b2b 775c15 e4d6ad 37a18b
7468bc d8a2fb 982d4a d3e4b7 72ec13 37a560
37a6eb 385dde 94646e eb2502 b8a092 75fc25
37a7ce 7a4c9b bb7f78 c03902 ddd4cd 8ae424
c3d1ce 37a7df 635bcc b00108 e3b65b 868980
37abed 7856e9 6a5d5d cfb29e af730f 84f14a
476d70 b200e4 eb84b9 6d5c19 e4d69b 37ae27
7166d4 5c5961 cc9cb4 895527 37c039 b1e6b3
4d5e62 b7c0c6 a43edc ec7bfb a64220 37c16c
5755c3 a494c1 f4cef1 a36b2a abe902 37c599
37c5bb 5e72c2 973166 73701f 9aa855 b3e94b
c7c6f9 9860c1 d37799 fbd1d0 458132 37c943
37cae8 676dc3 9d2a6d f58487 8e7f00 dbdd0b
37cbff 4285e7 64687b b87e74 a5180c d1c93e
37d6e8 5239f4 a267ac e87c93 c72d13 c9d871
7f2fe0 bf79d6 b42874 e0d9d8 448336 37da35
8b9598 cecbfd a031dd f0a63d 486b22 37e5b0
5c2ef8 84498c c986bd dd2f03 37eb26 589171
d5ddfa a812ee e381f9 c73f6e 6eb82d 37f8a4
9b55fe 7d4283 ee9dc1 c2646d b60115 37fd6d
d2d0dd 7d4eec b85f91 606805 7ca840 37ff9b
4397e3 383ff7 915b83 e8869f 9ce01f 628154
aed5f1 3843fc 7082c5 e3a822 e0dfb7 7b7b65
3844f8 f599d8 a65089 c9dab6 526c40 4cb631
3846e8 9a75b3 deace1 c11f07 73c75e 577c66
3848fb 8179cb d4c1cc a85a70 bf1806 84c217
3849df cbcae0 847ecb a4414e c19381 f56609
3849f6 d96fc8 73630e a9aa1a a2cfa9 69887b
384cff a88ff0 885285 e489a2 b8d771 5b8539
579abf bddaf6 384deb 9b5757 ea4708 e2b877
384fea aa81ff f0bafb 8c5f75 406600 51c96a
9bbcc3 389fee 3855c3 8a627f a92b28 c89753
6e727c 3857bf 7b88fa aea1bc ca613f f8ab87
62e0ee 3857cd 8d8bc6 e69d9a 6e6a3c c6e92c
64a2fa 6a6d75 3857cf ecb1c8 e45e1f cae08b
9cbbe4 3858da 746981 904202 ecd925 a5a54b
385acb 8184a7 d7d0e3 de6b5a 824809 69ff81
385dd9 baa6d9 68535c b97d7f 548700 68d30b
385e9e 538cfe ef91be 884c5c 808a34 b5cd1b
6c978e 386269 9840de 944e13 ded613 7ed7a6
98e7eb 38636a 916bda d09894 746028 99bf13
d7c4e1 b27bae db5906 70f565 8cac8d 386450
7ebdc7 38646e 8574e1 ae242d b38e31 d8e324
3865d4 fc8de0 77596c d8d7ce 66982d 64e034
386777 adcfea e63ef3 825d13 d8e47c 91a648
3867f1 988ea4 e7d4ee 95355e e2a80f 9ece9e
386960 8c88fb 8d2dca ff96c1 d0d63e 868d36
386972 87b0e4 eabaa3 6c5611 a18f40 bddf1f
9092da 8c2bc0 bd457c dfba4a 386a19 c2d5c9
6d9a97 a75de3 daa7f7 45eb5f 386a3d cadfd4
386a75 d6d3f9 b429ea e9c711 585d32 7cc387
a419b5 7a6677 f468f2 dddf19 a1a294 386b0b
386bfe c1b8e8 896e9b b70150 ef855f f5da29
507ef9 bbb6fa 884f81 a19383 386d0b 67eb82
ccd7e5 62a6ec a41ae0 c20001 d29b39 386d57
b84ddb b32e00 929b58 bde929 386d5c 47e4c4
386d6e d1cfe2 9188c0 7a30bb a65615 e49037
