# colors_mcd20_mld2_nc6_cvd100_minj40_maxj90_ns10000
# Python 3.6.6 |Anaconda custom (64-bit)| (default, Jun 28 2018, 17:14:51) [GCC 7.2.0]
# NumPy 1.15.1, Numba 0.40.0, Joblib 0.12.3
05d274 0046ff dddae2 7a5396 e088db c62b45
d6a957 7f6501 476056 349498 9974fc cfcad3
8b6646 d3e93d 92ad25 7fdbc4 349acd 564bca
cbcd29 5a614a 349b32 59f4b4 bc03e0 f78bd5
9c5226 ffd23d 9dd1d2 349dc3 6f37be f3787d
edbe6c 808b68 3e6365 349eb9 add8e6 ad03e7
615e45 949991 34a110 85e27d b411a7 f08ada
f73611 69f40a 9dadb5 34a1f1 3b45e5 a33877
aac50c 80f0b5 34a3fc 7234e9 b27b87 d61b27
dbba6d 807f27 34a492 92f1e4 abaaf4 5d54ba
ea9725 4e671b 82dcc1 34a4a3 c2b2fe bf3ae5
97320c a5e898 34a55a 544ed6 d2a9cd 835768
cf4747 35ee26 34a592 3a6573 bcb7e8 aa18e2
ead014 858404 95d9ae 34a5da 6f3bc7 be6b7c
f6b46f b87902 34a5da b1dbf6 713ac7 d9096a
bc9d83 7b680b 9bf634 34a7ef 584ee7 c8277b
e56016 d3e1a6 34af8b af23fa f18bdb 913653
e59401 675920 8defe3 34b0a3 756ece 993968
aa3833 dfc540 81968b cae5dd 34b2d3 5d5fd6
d3ae45 54663d a1dcc3 839d98 34b2ff 3f6ec0
5f5d50 34b818 9e10e5 f161d2 f9c7d6 a0888d
e27249 aef064 34bda0 7b56d1 dcbefa 974254
a72522 34c202 55feb5 3b68f1 ccbee2 b66c88
c1e0bd 34c84f 627d7d c548cc daa4d4 c70942
ea7f02 57652a 34da94 7e6be0 e5d1e9 b383a5
c82000 d9d7d3 34dd5c 4e906b 8b4196 ba8bb6
bd9d11 e9e00c 9bbca2 34dde9 d704c0 8a595a
b02816 34de57 505b6d 9499a3 dfd7f0 b15cf1
7f5102 34e424 4e8e72 8206fc da3ab5 e6c3d1
628459 cae4c6 34e934 6c05fd cea0fc ac44ac
9f5207 cde2d1 34ef5e 935dba eaa1de f4668d
a31f1d ce9871 caed5a 34efde 436b7b aea7fb
b02105 c6ad1a 5a5c55 83a78b 34efe0 c44bac
5d6800 a6c298 34fc0e 497b7c c076ea eed1ef
97453a cccf59 63f5f2 3546ee 9d81dc e28ca1
915419 c7a684 d2e838 67a1f3 7a7e8d 354ae0
bc4c3d cf9816 acebcb 6c88c0 354ce0 7b5668
fa6b23 a43e05 b7e08a 3555bc b27cb5 6e6b6d
d66330 cac82a a9d4e5 3555be d175f0 78616b
997419 c3d685 8acedc 3555ed 8984a1 a31f5d
726f2a 62d04b 3556f3 dcb3f8 8c307e f46ba9
bc8170 814c1c fed029 3556f9 827da8 c6c0d1
be4035 d6e177 73b68e 3559ec 8d7089 e995d3
bcd127 44a673 54e7c4 3560d3 e295f1 814267
a64a1b c5d448 bae6f2 356272 8899b3 9e44d9
82605d c83809 fa932f 76ddb5 3563b4 b8b3dc
715048 609b50 3af23c cadfcc 3565b3 b393af
e36d39 d3d6d3 5f6061 3566f5 828ebc a80411
a15d54 dfc34f abc2bc 356780 3b98d7 7321e1
963405 bdd007 7dcbbf 356789 a075fc e63a5c
a8e909 4bb12d 356831 b145fb a81f73 f6aacf
d6d020 8ea26b 356833 a8e5ee be62d9 963976
a19e39 686a02 bfde1c 35695d 88b3ad 4b7ffd
ba692d d9d2ca 83958a 4ab2f4 3569f6 784a7f
356a1e 5dee36 3fa954 bc17b9 d596b5 825e6d
c6ee46 81a442 356a24 7a4ad7 936e8c f4ace2
cb9b97 86a021 92f27b 356a5c fd3cbf a70c11
635745 698b13 62da27 356ab8 d3c3f7 f87aa2
ac7d4b d4de4e 51e3fa 7f9ea3 356ae5 97306d
9c4919 8da501 88e09e 356afa cc87bc 66585e
e2bbb9 356b0f 54c430 9e1bc4 e15be5 e20b76
9f8000 cec844 356c4f 3eb092 9ceefa 9933ed
cc7c43 e2cb34 b4c6c0 356c60 5bc6f7 9d2ee1
e4a5a0 ab5e19 8edb03 356caa dbceef 6a565a
92b32c 356d3d b4e3fa 3d94ec 715d80 e490a2
4cb90d 94f57b 356dbc b3aaf9 efafc0 aa5053
ecd387 356e05 b8d4ef 832cf6 aa72d2 e26670
c2b429 356f4b 92f3c6 9b34e8 a00a7a f563af
9d2b00 d9de9f 8ba667 356f59 a554ce fd84ee
903a19 7ea500 7cd6bd 356fca c79af8 b16b84
5de62c 356fe9 d5dcff 942a82 fc8db4 d5205b
b3a43a b2f221 357112 36b09d 8f63fa 990c89
fdd1be a5b24a 577014 79c0d2 3574af b36b7a
fd3b33 4ef407 80a9a0 3574ec e7cde9 af0e7b
bbf30d 668c05 4dcd7f 3575c2 ddaace 8f4f69
9c8176 923d16 ed7f29 3575f5 d8d6eb 675c89
75f404 357800 74ab50 456fff cb97cb 6a575b
a93521 c9a83d 7cb3a3 64edfa 3579f7 82688d
bbb474 b8f10d 577f25 44e2d2 357ae8 9d3c69
4ad22b 357d2f 87868e d8cae8 8b1bb0 d250e0
e67205 6c5c46 b1a68e fbcd4c 8edaea 357dd4
dcdb1b 357e2f 9ed7ec a678e3 71546a f07d9f
80642a efc835 9ca573 357e88 c3dbe6 ce57fa
35803d 5ee38e adb0bc 8027f7 b86ef6 8d2b82
efd3c8 a7de03 35811f 6d20f0 ed6de2 a48f91
98310a ef690e eed752 358269 79cbb7 b172be
e4c266 358436 a2bab1 49b3ff 7d01e8 ad4ba4
edbd61 358a37 b2e9cc 99a4ba cd54f5 776c78
bde1a9 43c912 358a41 3b40f3 9279c5 efb3ed
ebd713 358d07 41ce8d c8e3eb e76bdc 96547c
35910d 8ebdff 714cb6 d96397 8b4158 e6bebf
dbdcd4 6cf361 359246 9ba1a9 595970 b766d6
7d4f2b de9101 b6c8a8 35929a 65c7f1 982bf7
8a7a04 d8e329 8ccabc 3592da 6434e4 ad275f
af9266 9aeb13 3593e3 f5cfe4 9f4c6f b4090d
ee5538 ffbaaa 359595 94c2ed a34cd5 8c4144
caa502 3c6b44 8ca694 3599f5 736283 d7d0dd
7e4d3f e7d216 359b0b 95cba4 646278 e659d4
9a5f38 92e76e 359bfc 9a99a9 654e9a edd0fb
67ec19 359c21 6d18f9 a067a7 a0325b e898b5
7b735a 50e841 c9d6d4 359cbb 744be9 8d3372
e48e8d 35a300 55f326 c0bfe6 9864d0 b73769
6f6b68 f6da62 c19d01 97b0a9 35a3ed a61317
bc8533 d4d77e afe4e1 35a6e2 868e93 7d4984
897070 ecac93 35a902 4855a5 9f8efb cfc4df
a4381b aaf382 35b34a 6d5fd1 997a87 ffbfd8
8bea48 35b36f 927fb1 731ff5 f0afe7 a03f5f
b9302e cdc633 35b483 4b6173 b1a6f3 9e43e1
9c908f 9e492c dd8900 35b8f2 d2dae2 4455c2
b05803 908c7a 94d34b 35baf8 4c5de6 fbcdd1
c7d438 36822b 35bb97 a24feb e68ad9 a31482
7c7e00 c0e644 35bf81 5265ec ef9de2 94345c
8a4a07 aea273 a8f0cb 627474 35c0d2 8c44ca
617615 a9f61c 35c25c 4a77b1 f1b5d3 9c3d63
927135 c3e11e 81a595 35c8ff 383aff 6c5da2
ab8243 e6bb30 bfe8c6 35cbe7 8175e3 bb3373
f9d206 35d8a2 b9a6ec a4359c 857579 e81e2e
af725e fdca2d 35d99c 528392 c7c7e1 9f39f2
d3dcc6 35dd10 46855d 62536f a46cc8 f6aef5
c05104 9f9485 35e032 595d63 4b6adb f7b8dd
a09d46 c4de1a 35e2b5 6746d4 ea77e5 be2961
f24502 b9df15 8d9c99 35f3e3 bf29be 774c60
857406 a7ad70 35fc18 4a7871 e319d9 f8accc
b4ce53 52711e 38ac94 35fcf1 bc65dc 8b3f7e
9c2d01 d79401 679f73 35fd94 6949f6 beaceb
ca966a 6e5e3a cbdb32 35fec5 9abbc8 4c87c7
a16e4f d7b97b a3b7c9 3643fb 70629e b67cff
d5be36 887802 bfe1ea 5a6671 8094d0 3645ec
d8d567 718507 96bba4 364aec fa5cce 8b5b6e
a6c376 5c9378 364aef a678d4 f7a7ca cb0b0c
656857 719f4c 85ec35 3650d9 dcdbe1 d479af
f18926 caddcd 66a2f6 8b909e 3651da bb2529
d5914e aaeeb4 3654fb 8f8de3 dac4ef ce3280
dd4635 be9f99 97df5e 505e62 6ba1de 3659e0
f0580a 95eebb 3659f0 d585e3 8e888a 953a46
d7d822 536a21 8fcba9 3659fd c783f1 c5377b
937206 d7ba2a 5fa483 81ddf3 365dca 94314b
b99650 d1e324 3a6a16 48e4c4 365ef2 bc277d
995e03 cfbc4a 759ca1 36609e b6cdf7 b17ffe
943c17 ddaa7c 52a3db 3661c1 cbcbd6 a66d8a
705401 4df96b d0dfdd 3661ee c8a3e3 d8476a
facba2 c76711 5ea8a3 366266 ad8efb 7f3ed2
c0812e 7dee18 439c89 366461 834ab2 ccb0d4
d45b0b c9e171 43c6a7 36656b 8951d3 db98f1
edb662 36663c 6c9a80 b79fe5 9235ff b04e9a
a78447 62db0b 366658 d3c1f0 ee38d2 f6abad
cfd720 828800 3ecb9e 366666 c3e1f2 d946cc
d1e972 44aa08 36673e 40dedc 8f6bef 986e88
e02c29 a39788 f4ad30 366872 87b1e1 d5d6da
366a07 3df083 a37bfd 6e5590 dbbbdd bf6b74
a9a55b c3f052 366a12 85eaff 779ee9 77606b
d4e3c1 6ed220 366a49 7c38f5 a869a6 faa1ec
dd1311 ddb485 366b6a d0d2df 9290be 9e3ed8
929f0e 586300 bee1b1 57acbb 366bb6 b46f77
d53124 abc96a 6e8f80 366bf8 d89ee4 685166
e3876a e2e379 59e4ff 366dfa a686a3 984a56
993f12 6ba71f 76fa19 366fcf bdbbbe a47476
cac958 90903d 5d5e1b 3670c8 983f6b e18cac
f9cfc7 50c05f 36714e bfc2f6 8a7f99 b730e2
dabd71 8f871e 367157 d9dce6 9041fa f969d0
aa1a0a f3ca08 b5e8c1 51b5ad 367187 ee2af0
9e3204 a0c272 36735b 6df8e7 9946d6 cb89b9
a38957 e9bc38 d9decb 367990 90b9d6 771af1
8c3d36 be8114 f4c010 80af8a 3ed6f8 367cd0
bd1c0d c1ad2e 91e8af 367d5f 8c3591 e758ca
ec9b91 7f6404 dde43b 7cb5d5 367dcd 9f216d
ecd7d4 a0af41 367e2c 7ac0ef 7750af ad6d8d
d4db30 67780a 368478 a8cdd2 7624e1 a563c1
f4cfbf 52f637 368534 a4afc2 aa63f6 8c338a
e3ce00 36864a 93c3af 858195 754691 f85afc
aff47b 368726 64bb83 a112d8 635b64 c889b6
e3a940 36874e 92d5b6 9791a6 62547d d026f3
5f5c06 93ac13 d1e86f 368768 b64ea5 d79ab2
a75718 cca967 36877e 84c7ca a876f5 782fd7
933a32 988f2b 5eee31 3688f0 676788 bebcd7
ad220e c1aa60 c4ee0a 6d807f 89c7d2 3689e2
fdbaa1 c87c16 d2e900 40e0ef 368bd7 853f5a
cede43 368c40 bbe0f9 9a79fb 84349e df799f
915d45 f5ce1b 96cfa7 368c8a 7c2dfa ff6de0
eebf65 368d1d a5dccc 7705ee c453de 7a5a5d
5b5956 b5e39e 368e36 b18eea faccf6 ae1c95
566d0b 8bca68 369084 822fc2 f353f1 f4bbf0
ba4a2d d4b667 36938b 3be1d5 713ecc aa77f6
a44a46 eb762d e5de54 369591 82e2de 8660db
70d53d 3696d6 7b27ea 912d78 e3c0c9 d12d48
8b4206 cdd46b 909c2f 9ae2fb 3698e4 e2318e
bc460c e5aa07 369977 80e2da bf73f9 804c96
6d5252 c8bf01 369a4a bddad4 9b23ff f92daa
5d5b37 dbd98d 369e1c a7a9de 9b5de6 a03677
e66637 ecc997 369f97 c0b9fd 8f3ed4 8f4355
a7f060 36a040 655786 938e95 e0c6ea e575ff
cc4b22 f49a3d dee0b4 99dff8 36a4dc 9d878c
65e610 36a665 5e44f4 726f7a bf7fda e8c7f0
8d5829 b8e379 36a798 6ae3ec 5b51ab cc77f7
bc3402 b6ae51 546959 36a79e b4c1fc 9459cb
a67e14 ddba11 5d5d50 b2cdcf 36a9ee 4a60da
fa8f20 58f6c9 36aee3 6e21f6 95458d d63d62
8a403e cbdb25 36af6e 4af6e7 6d40e8 9482ad
eade94 36b31c b3d2d7 6a3acb d181f4 af4669
63730c 96f702 36b583 d6ced8 bf2dbe f778e9
ef5943 d9d219 c2e8d3 36b8d3 7c62d0 744e62
b79285 9b531d aed025 36b8ed 3759a6 fdc6cd
816100 b5f355 36bb7a 9b68d7 d5bdde c61479
e13d02 f2ad03 36be95 cfd7fd 5f6067 be80e6
9b5a3e ebb405 36bef4 5271f7 725b8b d0cdd0
904c01 a1db3f 36c0e6 a92cf3 f05797 f5c9cb
c28684 e84d07 d6e50e 36c9ea 6173d6 7b476d
9fb864 36ccf8 467dd1 9a7581 b0132c f3d4d7
a19f02 d2dd1c 597a37 36d3ff 981b9c f474b2
c7770e 7d705c c8d51d 36dbbd 447bd9 a10273
ac240c ea7a4c e8d403 36ded7 5679da 706869
b13c21 e8ac1d 36e4a2 388d7c e0d1f9 774dad
6b6665 96370d a09d83 9bd907 36e6e1 bd59ad
913e2f d6673b 36e796 516e70 9c3bdb c697b6
a92d29 de7a6d 36eb01 856beb 86698c dccad4
a24b21 b8ef66 36f0d4 59606b 5363fc e595f8
b72214 e8b977 36f7f6 512efd fb51e3 a55c7b
7c6c25 8cd26f 36faff 45a7fe 6258a0 c298ad
969290 9f4d24 f57d3b 36fcd4 6c82ca b9c1f0
a8806d fa8802 b9c7b2 609eee 666b8a 373ffd
e1b306 536925 80ae96 79f5f9 3747e8 9670ba
9e6156 a8d13a 374add 625c78 9f80f6 f17eaa
d2a39c 7a644d 76e019 6e84b5 374edc d8d0f7
b74327 d69811 737574 3c9fec cdd2df 3757b0
896a45 edbe6b 699992 a3dfe6 3758bf ae80ff
f68d18 775d27 8edbbc 376086 4f91e3 998e93
e2e46f a8e7d0 3761b5 acaaca 896879 dd1f27
8c521c 56cf4f 3766e6 a396e2 efbcd2 e04977
e13e11 9cca57 376869 9842f0 f5cafe be92ac
f16a67 f5c53e 866402 a7e7ed 376882 ac53f9
376920 7fe478 7b6aeb b5a5dd ab1672 b18083
876d37 c3a033 79a58e 376974 c8c6dd d631cc
d5b051 446700 63f2f6 3769d1 9a99c2 ef226b
c97c4e a7e688 3769f1 a99bfd 913682 eabdd0
d5baa2 8bab03 8bbef2 376afe 785e89 be525d
982f21 e65717 788079 53e187 376b8b d39ef8
a91707 877e66 5cc301 c4dfba 376bab e2a0d7
b74715 d1d4b8 7efa16 376c64 3aa7a2 b97ffa
c42408 bde634 4ca877 376d65 bb52b8 ffcce0
e18782 94fa21 376d9e 769cf6 d9ccd7 c5153d
e34703 fea72a 97e2b2 376eff 8d91be 995b5e
8a482e e4ae2e 44ffaf 376f73 aaaeb4 da37f5
a0a78e 9eed1f 377013 749ff7 8228ff 806674
d1c30e 377018 d0e1dc 82b2e0 975ee6 b54d80
b68967 82f975 377199 ab8efb f9baeb a52b3c
ca711f d3ce2e 377361 50b299 9be8ef 926da7
d16a65 a72d12 f1ca56 37739e c2c7e3 754c58
e59f06 586407 69f99b 37746e c0b7ff a86ef4
f3aba4 8aee18 3774ce aea3db 7c436f c54758
8d8d24 cacec3 4de62e 3775bf e49af2 7a4f65
a85a09 d1dcb2 50d21d 3775fd 9f96c4 7a5c8a
f6a139 37775a 6bfac3 ccc5f0 918d9f a045d3
a14305 b9865e cdda34 a5d1df 3779d3 625b72
887404 6af011 377d6d 9b89c8 821bf4 e1ceef
b19048 78ef64 596e5c 377dda b5aef9 f0d2e3
77c847 377f35 9b71bf e5bee7 86416e d78196
9ea870 8dea41 377f75 e9cdf1 d46bec 9734ac
dbbab2 e97c4c b4ec26 378182 6fe3fe 9753ea
dc1f0d afbf40 378369 8beede 8e2cd1 ce7bb9
37871a 66cf45 9478c6 8614cd d4c1d5 99376c
ff685b a3ef24 3788f9 837289 f2d1f8 ac3a47
fc7030 7e5532 b4ebd9 6c7980 378be2 d7b8fa
99b583 379025 754ac4 feaaed b573a3 913d61
379137 5bda70 caccd2 812ab9 e494fe b2669c
987551 eb8307 ebdc80 3793a7 89cbdc 6e41bb
8a9a32 8df169 37949e 813fba ddaff1 af2d61
fcb73e 97abad 3799f9 7743a6 9c4b69 fd1e35
ade133 379e03 49fbc1 942ff8 b589b7 9e264d
fa9b2b 775c15 e4d6ad 37a18b a5c7e1 bf2ed9
d3e4b7 72ec13 37a560 7468bc d8a2fb 982d4a
eb2502 b8a092 75fc25 37a6eb 385dde 94646e
bb7f78 c03902 ddd4cd 8ae424 37a7ce 7a4c9b
e3b65b 868980 c3d1ce 37a7df 635bcc b00108
6a5d5d cfb29e af730f 84f14a 37abed 7856e9
6d5c19 e4d69b 37ae27 476d70 b200e4 eb84b9
895527 37c039 b1e6b3 7166d4 5c5961 cc9cb4
a64220 37c16c 4d5e62 b7c0c6 a43edc ec7bfb
a36b2a abe902 37c599 5755c3 a494c1 f4cef1
73701f 9aa855 b3e94b 37c5bb 5e72c2 973166
fbd1d0 458132 37c943 c7c6f9 9860c1 d37799
8e7f00 dbdd0b 37cae8 676dc3 9d2a6d f58487
a5180c b87e74 d1c93e 37cbff 4285e7 64687b
c72d13 c9d871 37d6e8 5239f4 a267ac e87c93
e0d9d8 448336 37da35 7f2fe0 bf79d6 b42874
f0a63d 486b22 37e5b0 8b9598 cecbfd a031dd
dd2f03 37eb26 589171 5c2ef8 84498c c986bd
6eb82d 37f8a4 d5ddfa a812ee e381f9 c73f6e
37fd6d 9b55fe 7d4283 ee9dc1 b60115 c2646d
606805 7ca840 37ff9b d2d0dd 7d4eec b85f91
9ce01f 628154 4397e3 383ff7 915b83 e8869f
e3a822 e0dfb7 7b7b65 aed5f1 7082c5 3843fc
c9dab6 526c40 4cb631 3844f8 f599d8 a65089
c11f07 73c75e 577c66 3846e8 9a75b3 deace1
bf1806 84c217 3848fb 8179cb d4c1cc a85a70
c19381 f56609 3849df cbcae0 847ecb a4414e
73630e a9aa1a a2cfa9 69887b 3849f6 d96fc8
b8d771 5b8539 384cff a88ff0 885285 e489a2
9b5757 ea4708 e2b877 579abf bddaf6 384deb
406600 51c96a 384fea aa81ff f0bafb 8c5f75
a92b28 c89753 9bbcc3 389fee 3855c3 8a627f
ca613f f8ab87 6e727c 3857bf 7b88fa aea1bc
e69d9a 6e6a3c c6e92c 62e0ee 3857cd 8d8bc6
e45e1f cae08b 64a2fa 6a6d75 3857cf ecb1c8
904202 ecd925 a5a54b 9cbbe4 3858da 746981
de6b5a 824809 69ff81 385acb 8184a7 d7d0e3
548700 68d30b 385dd9 baa6d9 68535c b97d7f
808a34 b5cd1b 385e9e 538cfe ef91be 884c5c
944e13 ded613 7ed7a6 6c978e 386269 9840de
d09894 746028 99bf13 98e7eb 38636a 916bda
db5906 70f565 8cac8d 386450 d7c4e1 b27bae
b38e31 d8e324 7ebdc7 38646e 8574e1 ae242d
d8d7ce 66982d 64e034 3865d4 fc8de0 77596c
825d13 d8e47c 91a648 386777 adcfea e63ef3
e2a80f 9ece9e 3867f1 988ea4 e7d4ee 95355e
d0d63e 868d36 386960 8c88fb 8d2dca ff96c1
eabaa3 6c5611 a18f40 bddf1f 386972 87b0e4
dfba4a 386a19 c2d5c9 9092da 8c2bc0 bd457c
386a3d 45eb5f cadfd4 6d9a97 a75de3 daa7f7
e9c711 585d32 7cc387 386a75 d6d3f9 b429ea
dddf19 a1a294 386b0b a419b5 f468f2 7a6677
ef855f f5da29 386bfe c1b8e8 896e9b b70150
a19383 386d0b 67eb82 507ef9 bbb6fa 884f81
d29b39 386d57 62a6ec ccd7e5 a41ae0 c20001
b32e00 929b58 bde929 386d5c 47e4c4 b84ddb
a65615 e49037 386d6e d1cfe2 9188c0 7a30bb
71b20e 386f0f 3ff9bd 865afd fc87eb 7f6074
c15d14 dba872 38756a 95e2f7 8e8ec5 7d40ad
bf3718 cfa064 7e8c9d ccdcf3 3876ef 83535c
97833d efc90f 6ff2c1 38778e 99abb8 6f1de7
7e5b00 6fbd28 387d71 655199 a188cc dbc2f8
ef7815 e5d57e a0c1c1 387d83 8b5de3 a12330
be4d3a d9a01c 6eefa6 387e7e b6b8ea a353e6
ba5605 a69f8d 92d346 387ffc 846284 f7bbeb
8c8c89 6dcb0f 38810b a149c8 e4d2e9 db82ee
8ed381 388133 7c06ec e13bc3 745e6e d3a2ba
b96f45 cdc36b 47fdda 89b4df 3881e7 646b78
ff9a5b d9dad1 95aac4 3882f7 785074 d52743
6b554b 988c82 dc7a26 bbc9c5 5cd0fe 3887a9
d96d02 ecd10a 61e6c7 3889aa cab4fc 8b425d
eca703 388c4e 5dc896 cbcee3 9594ae 9e40d7
715d56 d5d55d 389110 7fc3ca b415e6 e48384
75520e 9cb653 389175 9ddce3 615b7d b96fe6
b98935 645f4a 7df5a3 389293 c3bbe9 8446f4
b53829 c7912f 94b2a1 55e2f3 3893ee 64527f
cd7b55 4cf5a8 3894ef 683fd7 b8afbc 7d5a6c
625c53 389530 75e877 8601ff bda2bd b447ab
e56e26 ebce19 5b6347 38968b a3b5e0 9d59eb
ddb747 99dfd3 3899df 5946cb 966981 e52c3b
a3610d f8bb13 97ab7c 44fadd 389acd 614ebd
b57203 c9be68 617b62 71e7ed 389cf3 5b3ced
e6ad57 90f1d0 38a091 b691e5 9c41d9 a12647
e6270d e2cc43 8cefc3 38a0bb 523bf9 b25974
5bfe68 c2cec7 38a0e3 7522ef 924f7f d54e5e
eddd65 55624a 38a136 a7e3dd b97bea 884e87
8f6029 cbb80c 38ae89 4bedf9 4e5f64 8d6cf4
5b6233 38af20 8ff197 a22cfc be93c2 983f74
894609 7ea52f afe5ec 38afe5 526a82 a526f0
a1df30 38afe8 9423eb d37392 7e4753 f81123
7cee0c 38b059 8871c9 d0a9e4 975871 aa191d
edda5a 446c1b 38b6e6 a440f4 b12478 f66a75
e17e0d e2e19f 7c9c8e 38b6ee 575c74 4c62f2
a2231f fe5028 b3e561 38bdbf 8463db b26174
78866d 38be12 c3d1d8 6631e7 e67df5 815085
a38a38 c4c92d 607060 b7dadb 38c3fd 4b79dd
888484 7c5408 38ca6d 55649a cec9d4 f483ff
d56f49 c5ee49 38caab 547f80 a48eed 8c3fd8
38d309 519140 5d40fb dcc2fd a880bc 9e1a59
568401 9abb5e 38d6f8 6517fd a06ef3 ad1875
607240 38e536 5d9797 b7b1f3 a25de5 edccd1
e13327 d4d422 38f9d5 8aa5a5 543ce9 8a5894
889a0a 38fe9c 7a95e2 872bff d7c9dd 893965
744e44 acbb9f 4c9d32 38ff44 fab7f6 ea4cd0
566a1a 7ca52d 57eab8 393dfd cebafc a03987
a4d112 47a239 76777c 3949dc f96ad6 ffbed6
90aa68 c4e4b9 394ce1 d592ed 8e6a9a ba1f21
bf4f43 df9f30 62a7ee 394edb d2cddd 85627d
b96626 6c6c67 83d336 3951c8 ad89ed fda2c5
fa8156 bb450a 63635f b7e8f1 899ec4 3954cb
cc6013 cac12b 7ad3f4 3958ee 7f87cb 7c4d74
ddc63b 585c4a 50eaca 479fdd 395bcf a97f88
f48c5a 786d00 85d6be 395db3 848cb4 9c4162
bf4f15 c0c143 717368 93d0d0 396083 bb6bff
bb5a34 cfa41b 72948c b4d2d7 396276 a130ee
d5b136 85968b 7ee0cd 3963b6 5a5865 da2d35
a5612c dad135 396461 b7c4ff 8c6db9 fe7e8b
d1977a 69652c 72e5cd 396466 6e9fbf 8a5aee
ce9534 83f0a3 396469 8c9db2 8e4fd8 c40626
828600 a2ee16 396541 46b7b7 4767f7 854387
9b7f43 beca0e 396559 bfe6f2 68b1df a7139f
84571a a8d115 95eaf4 46acf1 3965d8 e8a4a8
a6dd2e 6f9b6e 39663a 8f4cf9 a993b1 f4c8fa
f6c636 89943d 396747 70a1c1 badff8 8b4ff5
8a7256 b2d883 4db202 4cfaf2 39678e de7eda
fe8225 9d8e7f 396800 92f0a0 578ee8 f9b8f2
cecf58 39680a 7dcaf5 8461e6 90486e ef759c
ba6e40 d8e37e 85c5b3 6b7986 3968e6 ff8dff
695d46 f8bb12 69be91 3968fd bcaada ba4790
c55e17 4ffc7b 58ae86 396957 9c61b8 eba4f3
fcd08b a0ac1b 396b25 9cc3c1 8767a8 d1667a
ca6001 b4b180 396c56 44e5e3 7488e1 7c29c3
735f49 74a629 b4dd87 396cd6 9d1b79 ee90bd
943720 e7dc2c 889835 396d72 99c2c7 8f47d8
f88e8b a9741d 6d7b92 396df8 e5c8dd aa2653
eb9c54 396f1d bbc1be 47a5cf 8b45d8 d9427a
bee437 57af46 396f87 a563ff edb2cd 972f43
8da03a a4f860 397053 5f87f2 9a2587 e2ccd9
f85f18 676963 8cef88 3970d2 b0a2a9 ab0104
963433 c07441 e2d11c 8cc29f 397195 b77afc
da483f f2bc19 59f5b8 397485 96b2c4 c34cee
e8d6be b79d13 397531 4cbfd0 c31dd9 735165
fdc040 9ea891 397563 4dfadd 7933b3 b073b1
994508 c78029 99e5af 397887 9464ff e8b8ec
b17d36 77ed9d 3979fa 949dc1 e5d8ee 72536c
fa9410 536014 98aaaa 397a7d 9aedfb ab6deb
785501 e9b80e b0cfc1 3fc6fa 397bf0 d04c6d
f94508 a0b796 6aff5e 397d82 f9bee6 ac0f18
bc877f 615c38 d4cb86 aadfe7 397dcf be1281
f7b7a7 c4de10 397f31 4ff2fe dc59c5 a22a76
766535 fed948 a0a95a 88e5c6 39807c 9560ee
89e028 398146 6e2cdc d684c8 983b78 f4cde0
e7a11b 526f1b a2c7b9 3981e3 dbb2fe 8c5f80
e3b14b 5d5950 398307 b7dfda cc30e9 989698
977134 f8c805 5ee09d 3983f5 c0b9d1 bc1688
9ecf00 39852f 53abf4 7540cb a46495 ecb1b6
655751 f1c206 398703 52f6bb c9b8e4 cc3bcd
c97f3d cbd10c 39887e 8fe1f5 9622f1 a02130
c92e01 c2bb37 8d9da3 3988d6 d0dff2 934662
ad673d d2c11f b0e4da 65747a 3989f5 a0a1bd
d0bbb3 62e900 398c3d cf29df ff88e2 805170
f3c69d 398d19 c6e2fb 7b01e9 cd75b0 894a69
9aaf13 477e17 56f7ae 398efe 735a91 d27684
ee3f0f d9e211 57d486 398f71 af8dd3 745095
d23f00 8d9786 41e968 3997b4 d2c8f9 675e66
dbad71 517846 bee5e7 3997fe 8c09f0 973079
9cd339 399807 7aeefc 8d51cf a33155 cc9698
9f541d 9cd878 399986 515b72 a35bd2 f0bbd8
b77427 9aa390 7be231 399bb4 8b35c2 992d32
9e9392 765c4e edd186 399d14 a4c8e5 b51487
e8d2d0 e39d25 637401 399f92 80ceff 9651f6
d74432 f5a598 39a1ec c3daf5 3b50ed 977e8a
696333 dbde66 39aa15 9be0c3 4448de d477dc
bf701a 88ec03 39ade7 7054d5 afa2a4 67595a
e42000 dea265 d0d3d2 39b9e6 5556c3 a65c5f
b8da31 39bc80 876a91 ec28fc e2a3dc ac3f51
725341 8b8f1b 39cb8b 658a8e e0d0eb ed69f8
fbcbb7 8f8269 39dc05 b9bed9 8c18ed a84b91
d18023 b8e991 6a957f 39dff4 5d5f6a 6043fb
9d4800 7bb71e 39e2b8 4b62d6 d79df2 64555f
a42d01 619462 39e851 66636b ad49cb c3a4b7
fbd004 a6a557 5b6e2f 39e9bd 809dad 5c46d6
39f41c 3f7367 58a5cd 923ef0 fdc3d2 df0110
8cb687 39f629 70648f dfdae4 e762f4 de0631
e1791f 7f7d69 e0e45e 39f6cc 3c619e b2aeda
478100 99cf61 39f6e2 753acd bf8cd1 f4207e
a32e20 b48844 39fc56 3f7c73 a7bdc6 913bb4
d59745 39fcae 533fe8 9a80e6 90697f c01a3b
89c05a 48694a 39fec4 8f86a3 d3c0ef 8a23a7
