# colors_mcd18.0_mld2_nc8_cvd100.0_minj40_maxj90_ns10000
# Python 3.6.6 |Anaconda custom (64-bit)| (default, Jun 28 2018, 17:14:51) [GCC 7.2.0]
# NumPy 1.15.1, Numba 0.40.0, Joblib 0.12.3
004ffa 447c62 9593e5 a0edfd a7ae0d af3108 e69f97 f81ca2
257b07 79a584 7be3d7 8c01dc aaa90e c1ef47 c42186 cc5ff0
257b73 38f925 506221 62af9a 9c9437 c4eab2 e4b3ff e90de1
257bdd 31fbfc 636c60 8a93af 92cdb4 9a2d16 a87b19 c1b811
257c31 735063 7e8b86 80c8c0 b680fe c215a7 d2a02b dce29b
258015 5691fc 56fbaf 6f45e4 956283 aed312 ba98bb ea6067
2580e2 5cfdb6 636f8c a11f4f a799be c37d44 ced2fa f0b62a
25833a 46a3e3 47fbba 4c39f8 745b9e add838 d28c9f e7c7ea
2584e6 446481 59f6ca 76af98 964c2c a38e14 bec765 fbacf1
25854f 2bcd02 6d29dd 8975f5 bab7fe d18b9c d92998 fdd1d3
25855b 62f7fd 776083 79b695 af8f0b bf9bf1 c423fb fecc53
258577 26e101 76984c a106e5 a51d3d cae8b3 d85cce f3baf1
2586ab 66b8bc 6c38c7 7b5815 a4f32f a9b487 b72067 c8820b
2586b5 5fddb3 7522fa 9a8c80 9e1369 b8b0ed dbcc2c e82b14
258920 4bff27 5839f4 7fc079 8a71cd a14065 c386a6 fdbae0
258944 43f38c 735b6d 8eb11c 970d9f a783a3 d6b7ee fc19f9
2589b3 60b7f3 6a1ef0 6d6f49 a21f6d ae8b8e e5d3e6 ed9c4b
258c06 26c511 6e16ff 8bfe04 8e7a76 a4b9ac b91b95 d56de5
258c61 854c8f 882dfa 9ad09f 9e3607 c26fcf e6c4e2 f99707
258f17 535c54 5af2a9 8b37ff a71d88 c7ec01 f2a1fc f346ab
258f80 50f608 91452d 922bcd a08b07 aeb1d0 dd53fe f7ae9c
2590a0 35e988 792ffe 8da594 af3a6d cfe0ef d6a1f9 f71f19
2591f1 33d508 544adb 78715e b24005 b8b9e3 f8d3cb fa649c
25932c 3dd402 61666a 8ca09e a53dcd d4d8fd e475ea f0c8a1
259376 4ff1f8 5b596f 8f0add a1d4a3 b171da e4cf1f fd4f13
2595fc 486631 48ff6f 58991d 8713fa a4b7db d3369f d78c8a
259f8c 39644f 81d3b9 a59aec b21b01 b50eb3 bbd941 cc8239
259fd8 7742c3 82d4f8 8dba08 91527e 9c2b25 d27590 e3d9d2
25a017 2f675e 36fa04 a39cb6 a92db0 cae0fd d067f8 e0b9a8
25a293 6c5a16 7b5ebd 8cdfec ba93ff e19f0e e53562 efdbad
25a546 4effaa 535f3d 7e02ff 808690 93d218 993ba1 d79adc
25a683 285cb2 68626b 73e6a8 a8a4e6 c13d29 cec634 d9deed
25aaf4 49f9e7 891ffe 986572 a10f79 ee8a9f efd251 ff283a
25ac16 4bf8b3 8304ff 964db0 a12c19 b4befa d3ec34 e56f8d
25adf2 376a1b 8edaa5 8f03e0 a8aa22 b51770 ce7088 efdd08
25b5f2 507e9b 697319 8419f2 90a597 a2e7b8 a30d5b d0b038
25b618 4ae9e3 536640 8a4ffd b32197 b59cfb bef052 d2a592
25b698 27fbae 6a6c75 7603f3 957500 b3c6ef caa429 e02bc2
25b707 5a7206 6035f8 8ae5e7 990e85 caca93 e52b74 e570dd
25b871 7552ea 85f3d5 aa6384 b0012b b1b9da f5d126 f61d11
25bad3 366814 6843e6 8ba424 a85784 abe9d2 bf9295 cfdd41
25bb01 766907 781afb 9d1a71 b66c77 b9d7df f6b290 fa0fbc
25bcc8 52952c 6f1af4 a855c0 b0e735 b21672 e16491 f0b09e
25be4b 2963f4 587f66 784b8c 8cfa4c 9681c0 a02305 c6c3b9
25c026 578025 675d56 76f766 a34bea ac1289 bb9f9f c5c3e3
25c3f7 4c83cd 735b6c 7603fd 9feef9 a0c709 e35650 fdaeb6
25c419 4862bf 50efed 705739 ac7885 acf704 b289ed e8a49c
25c72d 3d8d01 6c5a45 7437eb 8ef3dd 929c89 ca57a4 de9aee
25c82f 62782f 844057 9a1fe4 a0a395 b6e9a6 cb4298 d897dc
25c91b 4e6a29 6d05fb 869f81 9eedfb c138a8 e5d0aa f57dfc
25cb02 62858a 75751f 850aea 992a51 a4ed8b da46f6 dac6cc
25cb11 5c59a3 8b3b5b acf286 b974ec c70405 d7636d fd9cd5
25cdd0 5b8dcd 6f37ec 7c427d aaf600 b03438 b59033 ceca8d
25d0fe 645370 7f5fd5 8f462f 92b59b 9c83a3 d4e0e3 d6c34f
25d11c 5a5c50 6f916e 9425fa a73900 cab9f5 efbbb5 ff14ad
25d4e8 39635e 8c22c0 909383 b768cd c3d9bf da3f17 f59a38
25d718 639149 800ad8 824e55 bdd7e8 d80f95 e271ff e8daae
25d740 276c7e 7704f4 a068e1 c71d20 d07a7f d1ddb8 eaadfd
25d7f8 7827fd 7a8dd8 916215 9ca72c a1f913 da3475 dca29c
25dbea 547627 734e58 7642d2 7d8ed8 a2a565 b1e806 ffd0b6
25e3a7 2f4ed8 6893b9 706b24 a4974f d50a7b e1daef fecd3b
25e716 7916da 954a95 96a1b6 ba4033 c3e0f1 cab291 f51cff
25ea28 475ae7 796d85 9499d4 a46643 b3a284 c9d3f5 f8d4c1
25eb11 2e7f49 789d05 8637c1 93356c c9d6f4 e456bf e8c1b4
25eb4a 718cb2 808b0c 9c35dd b7baea ba1c58 d59393 ebd7dc
25ef5b 4b5d74 7b6ef3 9b4e12 ac9106 b5a8ea ea6783 eeced5
25f0d4 2b9290 863488 89ad7b c32448 c7eb86 d600f7 f29313
25f1fa 6b24fe 8a3471 915cc3 98d056 c2193d c38ffa d47f91
25f5bb 276e04 64ad7d 7138e7 a16da7 a1dc37 b61b6b f5c9f6
25f615 43b43d 6b21f4 6b6362 ae1f19 bb98a8 dd3dbb f7ccd7
25f6d1 6f0bfb 73736b 7eb47b a753d2 a84c05 c7abef d7a809
25f6f9 299783 79c011 8027f5 9e3f96 b0020a d466d5 f7baa1
25f807 358389 7eb384 938119 a121e9 a30e52 cab2dc d469fa
25f93d 2a53f4 467d4a 6eb27a a4096d c86b9f c8dbe8 d197ec
25f9ff 475fe1 53a164 a05279 a1c8ad ae172b cf82d0 e4cc13
25faa3 3263d1 4e9fec 854832 b4cfd7 c09288 d8600c fcd920
25fbfd 6b6d6c 74c4a3 8d13be a63318 b3924b c7d95a eb34b4
25fc15 409ef1 5037fc 774d9a 7b8389 a7511d fbc9e0 fe8b7e
25fcf5 3a6a13 709502 83b1db bb006c be15e0 e2bc4c f85e91
25fd97 326f6d 50a5d1 8e9375 a612fe a6cbc5 a90136 f37707
25fdcf 59611a 7532f0 7ab5ae ac5aad cbd0fa eb775e efc302
25fe2b 5f6175 a31935 a71fd4 a9d2a0 af85b3 ef393c f6ccff
25fecf 7f3f7c 9b831f adc4ef af3b54 c51ffa cab652 f157a8
2640ff 487b72 6cfa3f 895d0a ad9917 c2cec6 db4ab9 fd9ffa
2647fc 5ae4f3 716bb0 876062 999afb b6ae96 c1ea2d cb4900
2648ee 3af32a 70766d 7d91d5 884f8e d69d8c e33b1f eccafc
264ff0 64d098 6b6094 936010 b286ec c3ec10 e78632 f8b3f1
2651f0 458015 63cbe2 665455 8f7abf bcd9c1 dfca46 ed6d74
2651fc 4de72a 89567d a5073b c099dd e1423e e18298 feceba
2655df 4097ba 626771 80dcfc a35a2e afcaa3 ee8742 efdc15
265cf8 366b52 5d9e39 90e2c3 a41903 ab4a96 c992f4 eedb4e
265dfd 2dd728 9c1976 b494f7 b8d6a6 ba6868 d30902 fec2ed
265ed1 29e1b3 79b936 83837c a54f1b bef233 ca81d7 eac7fd
265efd 26e8aa 2f7331 853987 9d89d4 c6a83a df5888 e4d3f8
265f9f 49f53f 7689f6 858495 944246 c3dfc9 d2adde f4634f
2660e8 50c09c 5a8375 a80c21 acf736 b58af2 dc4f23 edc0ef
2660ed 2e6f35 31bafe 8a9b12 8cfc34 cdac8d cfd1e2 d73b89
2662fe 38cde6 599d8d 95388c a71421 c2d7b0 e3934a f9d815
2664ef 56f011 775555 b3368d bc010e bea7de cde2cd fc7173
26693a 47995a 7be8f1 8701fa b099a5 b1d30e c532a2 fdd3b1
266943 2ef66c 719147 830bfc c9b8b3 ccdafa cf009d f551f4
2669fc 35b0fc 55688a 88404e 9ecbd9 b8bf48 c5432c d77b7f
266a72 3ba898 7338b4 ae2b33 c7e8af eb5be4 ecbf10 fa2b01
266af1 4f724b 62e7f9 6ca4df 74468b 90ba42 e4658f fad4b2
266c81 37bc6b 37f2fc 820ecc 9694a1 b3da36 c73a24 da65f0
266cc7 50c1a0 63fae7 89930e a16375 ae0921 bcd43e ff82f0
266f3f 47bd66 6efe33 868384 893578 c6dbbb e116e3 eda2d1
267049 43a68a 54e1ac 778f0a b5b9f0 b82287 ba19f5 dcd23f
267058 42f8cb 4cb0d0 8b3efa 902686 acc170 d63f08 fedb15
2673b5 78a7f0 7e5e4c 8a962c 9e0d6c bddbd2 e0cc59 ea6c92
267577 6c2ed8 7e752b 8eb236 96f44e d3cbed f7aaa9 fc40c6
2675f2 5cb7f6 7f4832 979e9f b6882e b80177 c8e3eb ebcd05
26792a 64b69a 8ff6c9 9c2367 9d9901 ac33f9 b8dc44 e19ef4
267a10 4acbb9 69507e 7b5fe5 917fa1 a598f9 d66f63 e3cb76
267bfa 3d6e59 5bcf76 7e4c0c 8293a8 bb771a c0f236 d7beca
267c0a 810edc 85b2ec 9d939f a45bb2 b00f6c b9ef3e e69f83
267d17 59a8d6 5c585a 7b51fc 85ed29 943194 9e8f74 ebd6b1
267ffc 457670 71d96b 8ba386 af022d b580ad c76817 d3c1d0
268002 57d984 70605f 95229a a48792 baf31a f0aae2 fb3ced
26806a 6eed21 7447a8 9da35f ab3822 cfd2ea eb79f8 f3d2b1
268193 5cea38 795119 9a32e0 a28671 a81c62 fbc0df fd70e7
2682d2 661afe 6cb990 6cfb84 7d5d07 91a000 bd2d79 ffb0da
268381 3ac19c 8c14c8 9e5835 b6a007 b9d9e0 dcdf64 fb74ed
268516 4bbf19 8d29f3 8ef19c a1175f ae917e e92ea1 f89cf7
2686fe 437432 4e3ce9 80edf9 9a9813 d9218f dcd518 e4988c
268c3f 5d6162 6b22e9 9dc5fb af78ff bbbc97 bd4aa2 f39b0f
2690e3 3cf8b6 3e44e5 3f6d0e 81ab61 bda7c2 c41972 f5dd2c
26916c 4dd22f 8405ff 8e9baa a340a1 bd81fb cfd4dd da1c1f
2694fd 65f528 7e00f1 825856 c03b9c cda5cb f4877e f52212
2698fd 597b2e 5bec32 775c68 7e04f8 d3d2f0 e20daa edaeb0
269908 6d675c 6dfbb7 770ef6 8d9e8e be3aa3 ccb6f9 fbcc0f
269983 6e5b19 84f26b 905efd b4a6f9 b7079b bb9f12 edd3d9
2699ef 4f35f9 6f55a0 7e9238 87c8ea 9f677d d8e0d2 e1c34e
269cfe 55827c 56f4bf 88b4b6 901ef8 94288d df552f ecb11a
269da4 48fdc4 6258d1 8c6e50 90d643 a01f6d a7a88a ec8cfc
269ef5 26e5c4 738650 9a14f9 a30e73 ba9e07 d74f98 e2e23d
26a0d6 6b1def 8f5678 9dedba a69c78 dacae9 eab801 f02517
26a1e9 5ffa1e 793bcb 936389 962e41 dd463f f37f9d f6d7b3
26a507 46e8bb 5a2df5 5e6e48 9a80de 9c648c c3baee efe12a
26a5db 5145d0 7b5c72 909fa2 a72909 aae9f5 e75442 edc190
26a65c 4d47d5 7f6200 8dcdbe 9676c8 ad125b bdabef ded667
26a6b4 5de626 668068 884888 9243e9 ae0d02 c57708 f0d3c4
26a777 396d4a 69e827 6a13fd 8d760b bf219a c37fef d6ddd9
26aa14 50fac9 645f5f 8b9a88 8c410b a4e63d bf89c7 c829e1
26aaa6 6c3ced 88dfe8 897804 a0185f b77ef4 d9aa5d e24677
26aad5 2cf0e9 4e7d81 a8213b ad15c4 dae63d dc9f92 fe0b1c
26adc2 456982 6af1b7 8f46e4 9a2646 d4dff4 dec139 fc3a56
26ae03 4b42e2 6aee3a 726404 9891fc bb498f df8ba6 eed1eb
26b1b0 4b4be5 5e7345 74f7e7 897cf5 9e0e75 a7de37 b18a04
26b7e5 8023d0 99e7f1 9e549c b20e4e db7e97 e3c73d fb252c
26b8f3 4e720e 6259e1 8ff1eb 96285d 9f7690 add81d e69d8b
26b9c3 4039ff 766dc4 91536e a1dec8 a72c21 e36057 eed443
26b9d5 4659eb 657586 65f8fe 933819 94b2a7 dcd69a fb5c51
26bc46 2a8613 4640e9 4ffae1 586250 b2e307 d3418d e194fa
26c3fb 6c79b2 791cde 983f55 a49788 d1dfd8 e54d21 ebc750
26c40e 3e7f1b 6ffd51 734e6e 7a1afa 908ee4 aa7883 c5c6d5
26c937 3983f1 518837 6b1cfc 983c8d c5c1f5 ca8c9f fcd29f
26c949 3f6c64 7d3afa 939b90 945eaa ad0202 b5f504 d4b5e4
26cecf 4c7eac 7019f8 756d6b 9fe966 ad977a b83317 e66d0d
26d105 399650 5e676c 80429a 9680b7 a71101 beea91 e4a7be
26d819 2e83e2 6a1cf0 825b86 983e38 a5aac9 bc7c86 ded6c3
26d83c 277834 7528e9 77a16d 98627a 9d6ff4 bbd0bd f4a0e9
26d9cb 607f15 6e2fe3 8cbe07 b55189 bf86e3 d3e680 f87390
26dba7 5a8a8d 8d3d98 a02948 a174f0 a89628 c5caf0 e1da53
26deff 5bb36c 67704b 691efe b20f79 c4e64d e448c2 e9c0c0
26e052 4d92d5 6f3beb 9f9b9e a27401 bb2961 c4e6d5 debff4
26e24f 646864 870dec 8aa581 8f2885 c1d4f1 d23006 ec3ae4
26e292 35921b 773aeb 87416f b484ff c7f01e f452a2 fdadef
26e2b6 595e79 8c7a73 9a04df b3b23a cb1d0f ccc1ff dd59c9
26e38f 858e28 8c3f18 b11be2 c3eb13 d53690 e96be9 f3baef
26e549 5746ed 616d3f 61a200 b6a695 c54e8c c9e1de f88ae2
26e8d6 824f67 8ea4eb a38589 aff536 c604fe cb130e f2711b
26e9be 586ee6 68535b 76a285 867a9d b9412a ccb2ee dea646
26ee6b 36a5a2 456072 a202cf bfb9fb d15ffe d4152b f0d0d5
26eeb1 277f0f 7c59e0 7ca3f4 972581 a97f88 d8cded e0b720
26eed0 5c9a6f 6e6775 9102c3 b32623 db7cc2 f8da38 fa4c10
26f0f9 2f5bcc 59a5bf 63574d 868681 9e671d b4f18e fc8d21
26f2fe 279317 6048df 6a5648 8dd621 8f847b cb73b6 ffb6af
26f4bc 3b93e5 810de5 914381 94b9c0 b23804 ed7c71 fdd310
26f5f3 4d6534 4d9605 8c867a 9300e1 93c6a3 bf6ead ccdc0a
26f779 503aed 867afb 884f0d a88dad b6c0b6 dd8a1a df2476
26f890 487a28 5a8efe 8a9b72 9102e8 a7bff1 dd30a1 df930e
26f8ff 776658 8c98f8 900bb0 b19208 bac9b4 f5c45f fc089a
26f9c6 2e5ede 2e99fd 7d6a11 85a2b3 aa0d5e e8e506 f1975e
26f9eb 73b419 853af6 8f448e 9f272b b5a89a b9e174 d06fb9
26f9f0 488acb 6029f3 7e575c 948893 d02d20 daaea7 ff8548
26fa0c 2b8c82 8204d7 884d44 b7bdf2 c748f8 d6aeb3 ef550d
26fa49 576001 6c31f6 879403 b22264 b764b1 ccb3d5 f46083
26fb06 6241dd 7c9390 916c43 9e1166 acaa5f b8cdc1 de62e6
26fb0c 5b9693 756c0b 922b82 9250eb a0aa4c d8debf f8abdd
26fc3b 5b9982 8b12fd a43f97 a80925 ac98f0 b19e2a f5b8d6
26fc53 759188 7e0af9 adc099 bb30a1 cb0533 ea8ad5 f96200
26fcbb 2a62a6 6e7ffe 71ca39 7a7375 824631 bb9bcb c25708
26ff30 3ebd5c 712cff 7a4d4b a26ef1 c9e7b4 d5139d ed9ffc
26ffdb 790fe8 7b83bd 9bbaf4 b68204 b9ea35 bc337b fc7283
2746f4 48eff9 5b9628 78615f 9dc73f bb8d94 df46b4 f0d5b5
274ae6 51f4d0 61a1f6 915087 b11747 cd7287 eec452 f52827
2752fc 56a996 77e93a 8b3c6f 9674b7 bcb0f9 c3304b f4d3ce
2753cc 6e6589 7a9c45 81f93e b00d09 b07ee9 c5caa8 ea9dcb
275bd9 28e1ee 898fa2 9c0380 a4665c bee7b1 f66113 fec11a
275fc6 36f129 8f3368 98bb96 bd6998 e3d9e1 eb1820 ff9afb
275ffd 676228 6de8e3 81b4a0 b73a7d be9cfd c99315 e4dd45
276375 2df528 2e9f2b 5f643d 8133f9 9bbe91 a380e3 efb2d7
276566 848a9d 86f131 a91ac4 aa2114 d3c4e9 d582fe f46259
276867 4a97f8 66ddcb 8501f9 a5693b cbeb0c d1a962 eb2ea1
276955 559b99 7cd563 7d8b27 a02fa2 c76ce6 d2d6d3 f9abfc
276a3c 30fbfc 39ad9e 847c00 b2e298 b594f6 c50ca0 d9a712
276a85 50fe3e 81b5ba 886354 a23ffa b091f9 c68f52 ddcfaf
276cb8 429ff1 708090 93f7a1 a50254 b6bbba cb5d3c e2bd06
276d66 3bbb7c 96f3c1 9c83b3 a70f13 aa2be5 f3b0fe ff481d
276f28 61f9c8 6e00fa 7fb4d5 84818f 9e4fc4 bc9773 c4e04e
276f32 5ae8ff 979db9 a83df3 b51487 b5a709 d9e916 f9507b
2770e9 3c6618 65d8b2 b991cf ca8208 e2d7fc eac536 f30389
2770fe 3bb807 40fa5b 625a5f 997c63 b216a1 babff5 d3b4a6
277167 42fa8e 9821df a8231a ad8ddd bdd0d9 dc9a16 f9179e
277169 7d1ee3 837bdb a0cbfa a5140e a89b7b c87307 e5db4d
277268 2baf3e 2dddf3 ab0534 b34cb0 c2f127 f3c1a7 f473ab
277277 33f3e8 5cbc91 7e30cc a65420 b8efa7 db66d1 decc04
277406 4372f7 5ca62e 64f981 857b7e b6ad95 be01a0 f797d4
277409 37b611 5cf9ef 725057 918a6f b4dd88 b705a2 db77fa
27787f 35cb7f 834c43 99a1ab ceddec df04ef edd019 ee1901
2778de 52667a 67acb5 868479 992a3f c3dbf9 ceae7b f23610
277921 6ebe4a 7102f4 8975f2 8cf8a2 942e91 d36a92 e4caea
277d13 2cba29 5c585a 86867c 8bfa82 b32ab5 bcbead f58ad3
277e92 3cc3ee 849991 8e3f44 ac5dfe ded0b3 e62d19 efa41b
277efb 436709 78905f 7df799 86467e b780ad cbc2d6 ef8d0e
277f2c 41c44c 5f595f 7f02fa 82958a ae55ae ef7af2 fbc7dd
2781b4 566c58 6f25f8 94620a 97958d 99bcf2 c8cdc0 d1a422
27868d 61c0a8 758448 900dd5 a10c58 d25fe6 d4c4f5 fed143
278b8e 45cefc 8b49d3 9b3d35 b9e1cc dee720 e04802 e38b72
278c55 62ecbc 6d1aee 756381 a3a3b3 da4df3 e6ac31 efc8fd
278ffe 454ec3 60ee68 68ae14 865640 8b798f dadfd6 db9ece
2792e6 2bdafd 5e2ef5 6bc322 6e6f8d 9a4407 cc6f72 f1d3d1
279596 78f898 92315d 98b69d ae4add c61d24 e88322 eeb4e4
2795fc 3949fd 67e2f5 984c74 c39c90 c3e519 de4620 fed2bb
279746 62585a 7bf0f8 848995 a320bd b1d8a2 b876f3 ebaf12
2797fb 42e9f2 6735de a97300 b80c48 ceaa4d d1dabb f4549d
279a9a 70e5c6 8009dd 8b4c61 a1ac63 ca1218 e5d625 fc24fe
279ba7 63e2d8 7f0be1 9b436a ce99ff d81140 f5dd06 fa9c89
279d48 29e8ce 3059f1 31690f 854b60 8c71a0 a598f5 b9e70e
279df5 395ec4 a4dcf6 ba455b dbdfcf f3b56f f71007 fa659f
27a011 5d7351 86d6eb 909f97 95188a b9f103 cabc78 f50cd4
27a052 336735 840aee 96949b a5cdb2 ad4db5 d3cf44 ff77f8
27a08a 31eeaa 506d4a 8b269a 9588cd be9a10 c2f007 fdbdf9
27a4fd 6b4ed3 988da6 a0fa10 ac0b42 d9c3e5 f71028 f99f92
27a834 3f7036 9814a4 99fb04 a07b85 c1bfa6 ea58c2 fface4
27aefe 635561 6c32f7 72f798 a9632c d1cbd6 e3aa0a fe2baa
27af3f 49650e 8460c0 99f042 b6aca6 c4116e f588e6 fccee9
27b115 5b6e6a 901e94 92f93e a19faf ad1830 dacebf e813ef
27b7c6 578865 625667 83ebe7 a72eb3 d60203 e1c28c f78602
27b86a 5c41d1 8f789d 9589f9 9ee3b8 a44d39 c0b2e0 e4c713
27b8b5 345df7 766a7c 968af2 a22146 a66b24 a6b433 b6ecd4
27bafc 426529 72971e 79f479 864eba a81468 e367ab e4bfc7
27beba 67768e 84f6cb 950dbb a875f5 bd2711 ca8b5e e5d74a
27c114 2e45f7 62fd52 7b7dc1 7d6605 b1025d b3928e c7c9fe
27c1a4 576e7c 83fba3 918e58 9ec517 a80d35 b91ced fb75eb
27c2bb 518577 677210 833c85 8cf1ff b1b469 b5ec29 ec21e5
27c3d2 5d6e33 60a303 9a1479 9befe6 b458d6 ef6496 fdc88b
27c477 4cffca 5c778d 954842 b9a6ea bae741 bd2efc f04e05
27c7f6 528258 97a410 a25bdf a72176 acebea cfdc2f f29da3
27c8a4 6a52a1 824a16 8c86b6 c6c8ef c99c1d e61e5d e7dd5e
27cde0 6a22ee 7584f0 8eb40c a66b90 a73911 cfec56 dab59f
27ced9 318f2e 6c0dfb 6f706d a3a493 a4088c a5e280 d440e3
27cf26 3068d9 715477 8f93d4 b94e43 c797a3 c7e5d7 e9c5ff
27d4f4 696485 8601d0 96d946 b35057 b950fa baaea9 fe280a
27d5e9 726ae3 744a6b a8a07e bf0737 c5e042 d97514 fecdba
27d6fc 46726f 5fa1aa 7119f2 9f5d25 a066e0 cc8c66 daddcd
27d8f3 2d9d24 4b49db 9079f1 986695 a03d50 d2d43c df969f
27dad5 71a37f 7d01ec 866474 b50639 b5f23f b9a328 e026b9
27dcda 4d94ce 543dfc a74e7e aaf031 c1b296 d72232 f17b02
27dd0f 6242ff 685725 9e2a6a a477b2 bae9a9 dfaedc ee636e
27de2d 447f79 781de7 855336 8dae8e 9e872c e463eb ecbbe9
27df3d 555871 815c30 8384af 961ff8 acaffe ec6a80 f7b2c9
27e0ee 61bd1e 6446cd 917ad9 c1526e c5db92 c80a07 f586b2
27e1f3 3094b9 6a3def 824171 91b313 b19383 b8501b baf339
27e2db 418dbd 754c73 78807a 8421f3 ad4c1d dfd822 e69d7c
27e444 58926a 824584 9a8801 a70d0a c6e7bd cab0c5 ee2fe0
27e529 3e8e05 685e46 9a8893 9c20b8 c2d6ff d8c7c2 fd2ffa
27e61f 3d4bd8 7e5168 9c78e1 ba3e37 bde0af d6739a f2cffc
27e84e 6a4eeb 8eb597 946b6f ac0e86 bd91dc d3d8e0 f0101a
27e8f5 453efe 7a6ac2 854f60 a9a28e ca1b0d d2dec4 ec993e
27e9b0 6e9448 825662 a71908 a988a1 d3e601 df28fb f0a4ed
27e9d0 4299ca 765216 809010 8620e5 accb4d d5107a f3768e
27ea31 2852e9 449dfc 4b8b03 aa1685 acc3cc ad6e84 b2ab83
27ebff 627f6f 639ffa 8106e8 9c630a aed48c fcd819 fe2ab3
27ec25 346371 6c745a 8133cc 8c94c0 b09a95 ba3404 d3e0e7
27ee93 6a5352 6a8540 8132f4 8891ec b7318f c3ac0c d8cdf4
27eeb5 6352e4 86a37b 90337f 947b90 c1c54e c3233c f681ff
27eebd 2999fe 4a6903 603ff9 a0b8d7 be8f05 c14c6a caed5c
27eeff 4068f6 65b99b 936f28 9f8db3 a91b7f baecb4 e8b519
27ef36 308e60 6b44e7 814369 8e7bac bd3d06 c0b6e5 e79ea7
27f0f8 4f7e80 70c672 8347ef 9a4334 c477e7 c8ea04 f93e00
27f1e0 337f83 7e23cc a3f513 a98629 b48cfc bb165a f99981
27f3ff 5e7493 6ea3e3 6f5656 97bd03 9e4117 a734ff e2c3aa
27f41b 4bac93 4e5e66 844cc7 a63029 c3aef3 c87525 fed2b8
27f5d3 44919a 6c5062 a69c5b afb6f8 bf0ee4 c9090b d2e967
27f5d8 6549d2 6dc526 8b89c5 a85d74 bcef88 c00d12 e08991
27f5fc 427c66 87851e 98e927 9a0f91 a73bfa c3a974 de6db2
27f5fc 4385c6 598001 6b0bfb 968f94 b3245d bac3b5 cba834
27f6cf 296ef1 4eb975 854c38 878500 b1affc cf2f8d dac120
27f9fd 794761 7a8a6f 82d847 8f11f6 bab0b5 bc5d07 c161e3
27fbca 2c3ffe 4c88e2 618236 90d526 c31190 c799b2 dac8ff
27fede 3b8110 653bd8 7bc083 9b98a3 a43f74 c6d92e cc7de6
27fee6 7c83ff 7f28e7 9d331a a4ea0e ae8eb5 ef2b61 f2b19c
27ff92 55951e 6d6081 7b18fd 9faf8e a51d41 bf57df f2a4da
27ffe9 48a3bf 6258d9 7b4d13 8ee423 ac0278 e9b39c f10568
2846f7 34e65b 826f40 94ad98 a91f78 c3e9cb d067c8 e9ccf9
284bff 794a56 79de6e 89a08c b165a8 ce9af6 dcd8f9 ef4422
284ce6 5e7175 98b198 a2f3bf ca6afd e03d20 e0d0f2 f6ba15
284de4 2aa01c 6c5889 71f7d9 966163 9fcf6c ada3a0 d67bc9
284fdb 5cf8d4 726a9e 83a1f1 986c69 a9af37 b00e1d c3d3ff
2850f3 489c6f 77f4f9 825d99 a186fc ba92b2 bb5a0f bfd625
2851f6 68bdbf 696197 942f54 a184fe b66f4d c5f011 d7b67a
2852fa 77dc2f 815697 939a72 a72023 e2cee3 ec3f0c fa7cee
2853f1 2cdfed 42a72b 68724d 9bed17 a3a998 b11777 c271d8
2856da 40c8c3 588a91 73520f a88bf2 c7d75c d07f0e dd0565
2857d0 3bb025 40ebfc 7a6266 969c9b bb070d cfe83c dd6cfc
285cef 2afc4f 5f588a 9085c0 925e48 a4c3ac dd834f e2bbeb
285cf2 599d95 5eff3b 775182 adc18e bf83f2 ce4c1f fbabdb
2862a9 47bc31 515d55 91f743 94788b a24213 b29ef3 e6c6b6
28638e 30af87 3ef6b7 b79cd3 cb3df9 d1def5 e41a3c fbbe01
2863bf 319df5 5df8c4 727890 abaabb c82551 eac925 fb7274
2863d6 50fc5b 8d7691 a25556 a4a6f0 dbdbfc e1aeb3 f62c16
28656a 7530f8 7a6834 86d9aa b5a641 d6d2fd d867b6 f7de13
286655 55bf50 834289 8f04f5 9c8db6 d7d9d0 d80d07 fcb5f8
2868d8 33a8c2 40ee8b 658b68 67597d be3700 d8d5e7 dd930b
286a68 3dfac4 5da57b b3b6fd ba9d26 be0dd0 cc0d24 d2dc11
286ad4 69e922 6f96c9 a3076b cbc09d d3dcfb d55c7c e00e1d
286b75 32ede0 708ebf 7125de a7f61c b6a310 bf6054 fa9895
286b7e 58fb43 75ac3d 7c37eb 9c5752 9f8e94 cac7ba ef91fe
286e23 46c67a 4dfbef 739300 a031f2 adee22 b62675 ee54b2
287008 3bcbfe 7d8fad 9311f7 9df923 bd9c71 c8036f cfccce
287017 67d4d9 6a8cc2 8916f2 965073 bb8a7b cbd490 fe8316
28705b 369ef3 701ef1 89519b 9ad0d9 cb2e02 e98047 f8db27
2870f7 61e7da 70a2e5 9fa986 a6093c ba4b94 f52a0d f9ae14
287263 44de1e 789934 7e42ed 855010 c3d9b7 de93f1 ff1c97
2875ff 34700a 6caca5 76fda2 866168 c115a9 db8f4c dbb2fa
28775e 59fc84 841af0 99ac41 a370cc ac1413 c8d0ff f798b5
2877ab 3fedfc 4ba9f8 68615a 700bfb a1cab2 a9b039 ca3900
28793b 31bbff 5c23ff 85c919 9061fd ce1096 ec7892 f8d0b2
287984 7dbf34 814a4e 83ff0f aa9992 cd260e dfcefb f415f0
287d86 47e1ce 7f9d82 a42b55 abee21 af0ef8 c39af7 f40b32
