# colors_mcd18_mld2_nc8_cvd100_minj40_maxj90_ns10000
# Python 3.6.6 |Anaconda custom (64-bit)| (default, Jun 28 2018, 17:14:51) [GCC 7.2.0]
# NumPy 1.15.1, Numba 0.40.0, Joblib 0.12.3
# Python 3.6.6 |Anaconda custom (64-bit)| (default, Jun 28 2018, 17:14:51) [GCC 7.2.0]
# NumPy 1.15.1, Colorspacious 1.1.2
88e0ce 5783de 0045fe c4b5f7 a62c23 e37a34 e2de3e 65756e
29646e 399bb4 8b35c2 f9bbf6 9b3832 b77427 7be231 9aa390
29685f 4fede7 8c9ab9 366bff b309a0 fd9982 a7783a bdf20c
296f73 6897ab c3c8f7 b618e3 a81f0e cd8121 e9cc98 86876c
679b9e 296f85 c0d3e7 8e3ceb 886c5f bf550d bdad1b 61fab6
c4d8fb 7947fa 9786c8 9a1e77 f78413 297042 42e5b1 2b9f7f
7c8bb7 5e5578 aa18e3 fac5f6 828b00 bede03 5ac981 297156
bdded8 297379 5faee2 784fdd 735221 ac7b18 dacc1d 959793
3398b4 c6d9f5 884fe9 81436d d66971 d9bdae 97ba0e 297418
29759b 8ca3f3 c4c2cd 745c5c 8f3e01 ce8536 f3c545 959384
d3e0df 516869 2978c7 ca9ceb 983c09 c17335 34e350 93ac8e
80c3ca 297983 7b20d1 ae5ffa f15455 a62d0e d5cb92 baf402
95a3d4 9350df 91257f b20b1b f8cfbd dc5a09 c1e333 297b64
297f71 acbec9 7648a3 b17de5 bb0338 fd7b46 fbd92c 48f5a7
c0dff8 61b5fa 9a9ea9 c808eb a8056f d98f6d e4cd39 29811e
5fd3dc af85f0 8928ec 9d5a9a a3055b c8a55d d5e73e 298201
b8d6cf 781bff 6b686d a36bf6 cc7aad bcb90b 298338 2fbd7d
29837b 8feae7 3eb0d3 b63cf8 bf7c14 feaa2e b1a883 5e5e1e
2987a1 7eccfd b1afb5 9628ed a5220e c87439 f9c530 717269
afdee5 7e979e 2987f9 7c4c8d a6133f f92735 e8b07a d8eb02
2988a6 6f13f6 f39bff 755d5c b5440a a49a5c d6e568 4feec9
5e5e5f 690bfd ded8e5 c980d0 9d40a3 52e308 298a38 9aaa96
99b4e2 3f3dfc 9870f4 a02b91 c67095 f5d18d 9eab23 298b49
298b7a a0e1eb 9087bd 634ca6 b01e25 e16c0d c1b47e c9ee40
55d1ee 8e9aa2 298cd0 7c4f5c da6560 edb9a6 c0dc0e 54730e
c8d1d6 7a4571 eb08d5 ba9816 ebda53 58671b 56c38b 298d74
63716e 298dd9 979fab 3852c0 f1d4d8 d17f0a 6e5e13 aee92d
696289 b11ff0 f597db 79521f 918922 d2d138 5cc896 298f71
8ce5e4 6e38e2 967be2 85397f f37899 6c6464 d4be04 299037
2992f6 6144f3 942e80 d989ac ff5058 c21710 ddd01a ade7c5
bae3f0 5e5d6d 6d48f6 e15aba d82b1f ccd709 29976b 2ad094
386a70 2997b6 c7c8ec 8229b9 c92837 f7cfba df9718 a09d8e
8ea4a0 83e3fb 299bbf 713ddb 6f6a6a fad1c8 ed8658 316c1b
299eb8 3b5f78 9b23e8 ded2de 933f45 d9a00c 9a9776 69eb99
299f99 3551d0 b274ed c70102 f0d7bd 7c6c57 93ab4d 73f01c
c11dd9 7e596d ed7dc0 f6d328 969805 4a670f aad294 29a070
29a0ca 5c58b5 d8d7fd 86737b c4a49c b0431f e77044 45f014
29a395 88d5e3 5d41e8 d165ee 7a5b5e ba490c acad1c c3ee7a
2b47f3 70618d cfafc6 fe5def 954940 d4e4bb 7bdb40 29a524
29a5fb 623fc9 e0d5f1 d553a9 a33b00 bba709 6a7460 92dba7
949c9b 58686a d5aae2 b519ac a60f16 b1e307 29a64b 72f7d5
29a6a7 d6dada 9fc2fd 8600d7 c44ffc d0b545 8c880d 307142
29a9cb 6e5cea e5d6ff 8c3b6e f8bd32 ae8a0e 5d6f3a 6decae
c6cdd2 29aae6 5b5ff2 85547a bf7105 f2b269 545e37 88918a
627973 89f3df 29abd4 364fea 65507e d3a399 9d5000 afda2e
7040e5 817887 d074e4 b7acb4 fec7ff 9d322d 29ae02 90e788
3cf5f6 29b2e7 af2ee4 d34e94 645558 c5b0a1 9fda3e 488e35
29b3ee 8823f4 9d4a9d c19f98 615d57 d4e3b6 7cda06 50a01e
8c77f9 6f03f9 b73a9a ee95c3 b3d001 53752e 29b46e 64fbb0
29b4b0 a7ece9 7d43dc b40430 fa4e06 f3cc07 a5b27e 428070
6f08ff a146b2 e58be0 ca3c15 9bc83d 29b580 85f1bf 656664
849290 a1d1e5 6816fa 675f6b c34ec6 ffcb8b 2e811f 29b716
4b6c68 b9d4d9 9f38fe fe61de 8d4915 afb626 33fca6 29b88d
626e6c 8213dc df4edf fda6e1 875922 d2d906 29ba6f 5afcbb
e8ccf2 b77cbd 9935a9 615755 fda31f 60813a abf2a2 29ba9c
7857f1 d2bdde a1879d ad0b8d 794956 597622 64fb90 29bb6c
5e7574 beb1e9 e406f1 941896 fdad4e 8a8441 9defd3 29bb9a
64979c b7d7e7 29bbff 8559d9 9d1180 938820 b7c63d 4c6a3d
8e4fd2 f9b7f6 db72b0 a72e76 97d028 4c8730 29bd79 7df6bc
677675 29bec3 9d7ffc 7f05fd 7b4194 b53024 a39f33 b4ea78
4967cf 595d72 f281f3 d9c0cb b42c07 82705e ade797 29c11a
7c8785 3381ad b2b0f7 8901e6 e0c1cd 74653b 8dfc1b 29c742
a6eee1 8cadb2 29c7fe 805baa 953e10 c4941f c2d68b 4d846c
497f8f 29c9f2 ae3cf0 aa3033 ee5d14 e4ddb3 a2a68c 93e208
6349f7 d8c0d5 d775d7 8c415d 8b7a28 c0eb95 29cf25 8e9d97
bfd0f3 5b5960 b68ffb 9646c6 c588ab ba563c e9d7cb 29d64e
29e2d6 7438f2 a368c5 7f4174 a42e29 eb7041 e4d32c 89928b
8987f4 8d11f0 817a83 e9a6d7 a91f49 db7a4f abf435 29e79f
7370fc b3abfd 957ea0 9b3665 d57e0b f4cd42 32691f 29e7c3
cbe1ea 745ff1 bfa9ea ac078b f053a2 b1805d 566312 29e97a
d0d9e5 8da1c8 2c5bc6 aa4e68 a70c07 de9f8d e74819 29ed17
317469 879ff5 8259da f4caf9 f393b3 685b03 8c9029 29ee3a
29eff0 3d94c6 6242da 715c7b ad4c48 f56e2b d5e765 a1b6a9
cbd8e2 798fac 415bef 585e81 d21749 d37d05 b6b285 29f400
6296de 5d5aa2 e3bcdb b06370 99311f a19d03 adf200 29f4a8
3c96b9 465e82 cbd7ed 8f40fe f3878c 864f46 83820f 29f630
518af3 5849db c8bbfa a7869a 904a6a cf404a eca186 29f801
29f8f6 7d59e9 c091e8 a3026b 8a5b4a c87738 c9d944 71c492
2b6f7f 55acca 8e54e2 a90d31 cf6d45 cbe4b9 29fa1f 9caa9a
90b9d6 308ff0 771af1 745f8a 88560d a38957 e9bc38 29fbab
419fb3 b130e5 f3d1f3 70585e 9b947f a4e320 4a7c13 29fbac
29fcfb 6ab5c0 5c68e9 9a0386 986d83 e7ca8c a2a820 5f7302
5359e4 8b89e0 e2b4de 916773 d06943 973708 cce6b9 29fd0e
65aba2 4c6e79 2a44fb d25cd3 f1cce2 7e734f a4c078 72f400
b9e8ee 52b4f7 2a44ff 7f4e8c ec92ab c64b04 dbd271 677067
2a4afb a277ff ffa1f2 b14b97 ba2004 afc67d 2d9762 a6ecd7
71c7d2 2a4eec a67cf1 9b528d e98e8d 6b6940 b5dc12 5b9c12
2a50fb 66618f 9385e1 cdc2cb 774f45 b44903 d38b5f 49fa61
79c4f5 2a55ce 977bff d5879c c02d07 655f5b a9af0b bfed69
46615a 4ad9f9 2a55f0 8b71a8 ab4103 e86c19 c5d822 77b283
82effd 6d6d70 2a57e9 9b9bf5 a06722 f9c405 a0a075 d3d6c0
2a58b8 cec1fd b582df 786672 a35c24 e4d25f 8aac9c 7ff2c8
65e2e5 339dda 2a5d9e 675f60 de8d99 a36426 e0e284 9cad04
379aae 5bceee 2a5fa5 91556b fac9c6 c54807 ae9976 9cd64d
3b9aa5 2a656e dfd9f2 bc44f0 fcaeae 8f4924 9d9c47 91ef38
6f4ae5 a982f3 d099bd bb2779 dbdab2 8ae816 2a6921 409d57
2a695d dad9e6 a457e0 dba1f5 af460c fc751a 88eb83 8b9990
aec0bd 75d4ff 6b86ab 2a69ff 8f5569 aa0e22 e47210 e1d031
b7d1e8 8645f4 8a516c e7749d cbc915 729b0c 2a6a20 38feb2
2a6a65 41d4ce e272fd ac3cc5 bb1713 fa5522 b3ea88 589d83
77d2dc 6b92a0 2a6af7 664c8f 8e5263 f55752 ab2712 f7cf72
6fa1d7 7739fa a44291 e65c84 b0ae41 7b7f00 2a6b4a b9cbc3
78acda 9c9b9d 2a6bd4 666078 c06e54 96381a fac806 dadad4
315bf9 888af1 71678a e6a9cd ad6f68 dde0c4 2a6d12 50ee53
9c9f9f 2a6d7a ace8fd 730bfb b675c9 95574b fd8649 dfd2aa
2a6d90 a2c0fe d505fa 7c4954 c5998a fed2b3 aac50d 5d7a0f
4fcdb4 6a8582 2a6dcb a997ed 9e007a 84783f b2b31a bbee8d
2a6fee 706888 e2d7e5 afa0b0 fe89fe 884c24 bc771b 95d870
90bbdc 989497 b24fed a43b76 fb780e e9b38f d4ea28 2a7239
2a7477 9bdefd 8b45e8 b477cd e48851 66592e ffd32a c6c2af
a1d6e7 769cbe 2a74c8 9b325f efa107 887333 d2d7b6 9c9f8d
bea1f1 9b4dea 9a0b80 c09405 e0d219 2a751a 39fba8 7eb8a6
2a7581 9387eb 6b4ac2 f2c4ff dd9817 856e33 c3ed7c 6cceb1
779daa cacacc 2a76d6 e99bff a6300e ee874d 51fe99 5b6c65
b0dded 575e66 2a76f8 8589b4 b2999b 945c2e f8ab55 e5dcbd
2a796f bfd8d7 9e9bb0 b23ae2 964d00 cb791e cbc905 3bd58a
d1d6fd 938d9e d926d6 971a83 695b5d c9a26a 2a7a0b 37f2c1
67cbc5 5335fb 7f5cb1 bc8cf9 95435d e0b830 85a062 2a7b04
2a7cf9 5c5381 9e84ac e1b1fd 8c515a fb7708 69fe89 97b7ac
2a7d99 51aef7 8a2bfe edc5ce b28c04 5f6054 aeda42 859089
56c0e1 2a7eee 6f6c85 874c2d fcb961 a58424 bde9c9 a0ada5
4e6e70 2a7ef4 bed3fe 8f96be a7022f a27e18 c0c06e 44f9ca
2a7f92 999df6 7a36e8 ccb7be a61321 d08302 7e7b69 6dee30
68e4e2 2a818b 6a1dfd 9370ec ad195d bea895 a37541 9cd812
848a8a 2a81b4 7bbaf5 645a5c a0542a e7d460 b0a00d b7c5b7
54bec0 2a81df 4a5f83 9b5153 e24c16 dac154 93a37a c5e7cc
949499 8059f3 fb7ae6 714e68 e9c0bb a0f764 2a8204 3cb765
2a8390 7e40d4 feb1f9 7c4c5a bab3b3 e38f05 96845c b6f26f
44f6fb 2eabd7 6d6187 cbb4b7 884613 b97e13 9ddc3c 2a8467
d3dce6 939db6 cf2af5 941f98 cfac75 626d1e 74f604 2a856d
5437f6 9172ff c7bae5 a22d80 ba7d9b fdd0cd 80c44a 2a8c37
c1e6e3 81acd9 6d43f8 817d83 794c7f d2cb52 4b6044 2a8d23
2a8ea7 92cfeb 7c26da ae216c 93623e eb9411 d1d8b6 9fa19a
c0cfdf 2a92fd 7729de a1969e af3b86 deaa5c 64874e 7cfabc
899497 aeccdd 2a96d7 6b34da cc3501 815c50 fd8a4f ffd1ba
6541e4 f8b2e9 ef60e0 9d5290 a08c95 c3c7ae 36e001 2a974b
2a9888 77cbc9 6c06fa 9648b3 f16fff e5da6f a4a443 4b6d48
2fe2e6 2a98f2 783ee3 6e527f f66ea1 a50143 e72b3c dabb65
83cff6 2a99e3 446a91 b9919a fbbfc1 f67a42 63602d c5f00b
db3cfd f8acf8 a899a3 c80195 735d59 a7d445 2a9b11 54efc6
98edf4 9d98b3 a73afc a74172 f6b79a ccdc18 526206 2a9d54
834dfa e4d2fc bd77b3 fdbcaf 7b4e2d 7b8d06 7dd428 2a9f72
a1baf8 694fe0 8c78b4 e8cfd5 a2224a fcb14c 957203 2a9f82
40655c 7d1cf8 f930d8 cda4bc 8b8220 d7e0ca 65e341 2aa07b
2aa08f 65dfd3 9ea5ee 7761cd 854d59 a61105 ca5f3f f0ce47
2aa2e1 4b5cae 7c484d ca1900 978164 db9d15 e0e081 8bd6c0
d5dee3 2aa3cb 356298 a80605 a29894 6f6458 dcc77f 6b9e39
2aa6dd 828388 4f59bf f2cbf5 893e45 d8260e f59139 a9bbab
52f4f8 8a0cd9 fa3fc1 ad525c a90704 dbd738 2aa80c a6ccb1
37677b 8f9498 814be7 ff88e4 9c263c d3d95c 2aa82c 7cd7b1
7cd5f9 6135e2 af74c2 765950 d7ba16 708f1d c1d4c8 2aaa88
84d5e5 3946fb 9277e9 92678e ec8fa2 ac4651 f9da50 2aac22
2aaed5 7d60dc e0d6eb 972872 d9508b cbab80 8e7f38 95ea1c
abdbed 2aaefd 959bac 5e5d7b 991ce9 ad5b15 f7b14b 43916b
89f1db a494ad a62fe8 bc1571 e1ae8a b3e313 437220 2ab007
8ae2eb 3c55e4 a4a4fc 7a78b2 7d6060 af5811 c4b857 2ab091
a2d2e2 9211a0 f036c0 ac6d18 70614d d4a912 dfdc9d 2ab390
2ab3a0 625cd2 a097ee 775a79 f4bfe9 8e4142 db2201 b1d66d
687a79 89dff0 b376cb 8b3b99 a1201d e14b16 f9b834 2ab47c
34fee2 2ab4b5 457086 8006d5 b452f7 686533 819c46 a3ee0a
8144fe 927fb1 f0afe7 a03f5f fb535c 705c06 8bea48 2ab79d
2ab7c1 8d42e3 8b5466 db2e27 ff7d02 dfdbda 899d86 55f87c
5af5ee 566160 2ab9c8 cd13d6 7d6010 d1ad13 7a9469 b5de9f
837bc1 8226cd c9abe4 aa3510 e76c10 93ee0d 31795b 2abc8c
6f80b9 3b52d6 fb9fce a34124 6e6b68 a19f16 afec36 2abd84
538681 aae4ea 3343f3 82438f ea83f0 707c2a bad642 2abd91
818798 bdabf6 605565 b93be9 e18502 fdd856 2b7a49 2ac18c
c6b2c3 bc26cb f978ff 756671 406903 7e9371 2ac332 b7e3ad
2addfd 3b78bb 9a3c6b e43255 e18903 fecf17 67590f afbaa2
2ae5db 336e78 8c9dea 8250d6 982e3d c8a19c db4330 b0f504
855ce4 e3d8e5 735a72 d695d0 7c8f21 2ae705 2d6d3a 48a28a
5da6b9 742afe a06dfd 7e4391 f0797c adcc0c 557424 2ae9c6
526d67 2c8cbe c7cde4 973400 d86908 f5d3ab 2aec00 7ba27d
99b2b0 7b7880 e2d9f4 8832ac cc5adf c72113 f66812 2aed73
2aefd8 4a48e4 b7a6ed a368a7 c43263 e28616 f6da4f 77ba86
c4defe 6c6dec bc9bf5 957899 8c4836 c27851 dcca21 2af1a8
2af4de 67a9ca 5a5aec 685384 b52100 c9a337 b7f311 849378
e7b1fb f409c8 95617d df9510 9ca67f b1f272 3f6c38 2af5ce
c9d9f1 d722fa 96346f 976f6b c2a194 5d7403 81a61b 2af760
94baba 7235ff d05fc9 da057a 6c5525 b8c002 6e8e06 2af7a2
b5d3d8 68b1df a7139f d95f92 9b7f43 beca0e 2afaa5 396559
6490f1 bdbccc 90869c 773fa3 cf1b1c e47f5e e6c219 2afcb9
d1dee6 645e7e a449e1 e498fd 8f3e38 d36206 2afe26 69b794
d6dfea c79fdc ad37df d75392 a80d01 88a534 2afe81 306e59
546074 2e7be5 fab4d7 715143 ba6424 cde7b0 2aff12 87ac92
616fb2 d3a7f3 655c61 938a8e fa4a31 993204 2aff72 abcdb8
aac8d5 659cd1 2f5fa9 8e8b91 a2355b ac754d ecd43e 2affbc
2affdc b0bff5 546ee3 7c6478 ee8986 87413b c8d02b 608909
8fdce3 2b47f1 6e7dcf 9f4f69 f283a6 ac9d49 5d6701 c9e29d
52dac6 2b48ea aba2fe a762ac f47856 a63f00 c3e424 556557
b0e3f4 478edf 2b48f3 636786 bf7b84 f16311 8a512a bcd074
3f9187 2b50e3 9881ea d1b3fa ffbda0 c46c18 766149 a0f313
a9e3ea 2b52f6 8c89e3 99678a a3104c da8a95 f10c31 e2cd53
2b52f9 64639b c5c2d5 9c84fb f28d2d 6a5c22 54f4b2 48a487
6c80a7 2b54d5 dbd1d8 fb83fe c01e6c 736109 95a761 86da00
30f0ef 2b58d5 698ff1 981a7a a76483 e9a47a b6f025 51822d
2b59b4 ac86fb dacbe5 69636b df8789 956826 95c704 6bf999
71c2d7 2b59d9 7685cf 7a4773 be8095 ea553f fad3b9 bcdd19
9ceff4 4e6068 2b59e0 6c89d9 bb8e9e fb7d5f 806229 dcde05
31e1c9 2b5afb 803794 e282fa ce416e 97a939 506900 b3ee00
74dadd 3f95f9 2b5fbd 9f406a cc8f2c 57601e c3e924 859c84
7192c0 2b60bd c4c3ef 942d55 de9a95 7d7536 8ba703 7bec41
afdde9 2b6372 832ce8 c76bf7 b94330 d0c8a6 86837c 41be0b
2b6760 75a0d9 762cfa 8653a3 f7ceff b64823 aab874 77f900
81f4f3 2b676d 93a7aa be44cf fe7aff b8ae6b 6c7b00 b6e416
8cd2f7 8096bc 2b67ee 99398e ac0e40 ea9093 fc202c f8d71c
65f6dc 790bfb ce9dde d023ab a37483 a8e221 759f38 2b691d
34e1ec 9200f4 c763d4 ad9da5 a22187 59b251 2b6939 bfe5c6
37c8f8 7891a3 973ba6 f2c7cd dc3964 a29f10 b6ee6b 2b6a03
d5dcfa aaa3c3 6d5d6e ae5cc0 e89d9a 449d34 3ef74b 2b6b2b
bfc0e7 720ff2 ba65f1 b44793 f6d773 787301 6caf6c 2b6f51
4ca794 2b6f82 6f21e4 9c79e4 d3c4ed 963e38 f28f16 30f4c0
4abea9 d1deef a98bfb 5d566e a22ac5 d7c34f a09023 2b7141
6f9b90 cbd5ff 873692 f641d4 848303 bcc617 2b714c 3aeaa8
2b72e3 8f8ea6 ddbbf1 725b58 bc2710 f75d10 85ec8c 2fb77d
9cddfb 2b73d1 8d99be 8d3272 fe8e94 fbd267 9a9121 4c7241
808f90 78bbd7 2b73ec 595988 f2c0bc a73132 a19347 abcf15
67dfcc bd99f0 9a4aea 922185 b16996 d2df81 77b404 2b7428
62dad8 af9eff 995fd6 7b447d c56e90 c6e28e 67a63c 2b7450
a62cfd 8f2c91 ea83be f80173 c8cf95 87ac07 90f908 2b7608
2b766b 7333ee 8e71b6 eda5e7 735715 c0f10a 41bd0d 6df3b0
d7dfde 2b76fc de9ddd a0187b 845c5d d75f16 78e425 8d9e8b
2b7771 811bd5 b35ac2 f694e6 b94817 aea817 b3f046 40e0ad
2b7b81 bb18e2 e49dce 794a4a a72802 fb7b16 abf749 84ab8e
5430ff dfc0f2 e63fc1 8c7c7d b9ed3e 7fb422 2b7d14 39e5b0
5ed1c6 2b7ea0 a68efc 8730f8 8d5137 eb5e0a ecbf6b a39675
2b80a9 c6c3db 6d15fe ae006d d2780e 7f6037 41fa50 7fa292
901efd ce61d9 913c8a 635951 d8d2cd 82df30 2b8623 8da38b
9b63fb b083b9 8a2d9e f1b6f5 e52811 72d647 d4ddcd 2b886e
2b8977 9307c6 cea7d4 cb4eeb bf3d1b 8fb367 7bef08 d8dfd2
928acc 64587a a626e0 d4abc2 d14c09 d5e2bf 7edb50 2b8a64
2b8ada b4c5f9 8201ed 974e7e f97da6 9e2700 bab93d 658659
6e0af6 695b6a cba5c5 e104ae 888c7f 2b8b1d 6bd969 d3e2d4
676768 e2cafd 8610cb c75abd eeae2a 2b8d3a 61ffa2 8ec1ab
77cce1 b874e1 793f8d b40706 dc882b f7db01 bcd8a5 2b8d70
3ae5fe 2b8dc7 770be5 867281 c8aa54 a0fa0d 4a7a04 bdc2bd
52c9fa 2b8dd0 ad1a7e da6c88 ffcfb9 6d5c39 b7df1d 7eab1b
7439fb ad98fc 9f6a9c f4bae5 5e5953 d1ec30 2b8e40 7bde91
8522b5 ca50d0 e7a5d6 5c6805 899c15 2ff439 bee4b6 2b8f6f
4f617a a5b0dd a26aee 9a4b30 d87907 dde52b 57e5aa 2b937a
ddd8f9 8165c3 c395fc ca7b9a 734e58 f1ca12 8fd48d 2b9542
5145f4 8f77ff f9c8fe c472a8 893d5d 42d730 2b972e bdd5be
356960 2b97a2 d3d7de 97b5f9 984edb cd540d e9be45 9da587
3ce9f5 6221f7 e23ddf 774f70 bfaaae 566c0f 86d51b 2b9868
2b98a6 4c5d61 94b0fe 5a3ef1 75633a b19858 c3d70f 39fad1
2b9999 d39fe7 b414c4 d22508 e38c62 6e635a 4bf601 c4dfc6
5a6970 b099ec e2d0f6 be22f8 a32301 feab41 2b9b65 35f0b2
a1a1be dcd9e9 605a72 a25dc8 c5381a e7930a 64ea8e 2b9b6f
2b9db6 80cfec 734fb4 a22352 c1a891 9f6a1b 8db706 bcee73
b2b4dd 8519f3 bb48b1 a08f98 e5b09c 79f436 3f673e 2b9e4d
838888 2b9edb 5e59b2 cec5d4 962e58 cb9c69 836b22 57f810
2b9ff6 585aa9 ecd2f4 ba99b2 73616a e50b32 faa189 adeb0e
2ba2ce a3dcf9 3763bf 6b5967 d71036 c3a540 d9dfcf 7d8f89
465f6b 2ba3fb cbd8fd 814bd6 e2a9af a23333 dc640f 32ea1f
625ddd 9390a0 e198f4 765667 9e2524 cce14b 2ba43e 9ed8b9
2ba4db 464dc3 fec5e7 a57189 e64654 93440a ee920d a2d89d
9fd7d8 2ba6e1 4b5dd8 794f5f 9e858b f37341 b34703 efd192
cde1df 84d1fe 5239fe 986eeb 696074 d73932 d8bc43 2ba78e
2ba79a 854dd5 c599f2 a70864 ed8130 766224 f2df42 c3ddbc
2ba7ef 2c63f6 d9c0dc da5893 a21f57 e70f36 98c80b 83f8a4
b2c4e8 6f5df1 9e3388 a67b8b d5e605 556606 2baa3f 46eebc
2e6c73 2baab8 bb03f0 a60f31 df5023 cac50e 9ab295 a1f5a4
365af9 6f72a4 e993e9 b1a9ac 78585d 953e0d 95e184 2bac3e
8558ee 7a4c86 df88e8 f2d0ec da6738 aee512 31eba1 2bac88
48edfa 2baed6 7a60e3 7b6886 be7b7c e1e0a2 7fcc1d 35711c
68f3f3 898d9d 842aba db5ff4 e9c3a7 b4e716 58693c 2baf16
3ef8fe 2bb4fa 7e5dd4 e03d72 b9922b dccc1e 5c5c28 b6dcb8
7b0aeb bbabdd ca3dbc 705e69 ff2a44 f4c344 79fbb5 2bbf94
6570d1 cab0ee 98427e a67f8d fdb8c4 5f5e0e abf21a 2bc26c
b0d9ec 3152d7 a993cc 9c307a eb5482 d6dfa5 497236 2bc713
2bc8e6 a3a3a4 5480f1 5c5f70 824a03 a78506 d8bc3e b6e6b6
7e3eef 977ea7 ebb2dc 7d4e68 5b7f36 2bc94b b2e1b0 90a795
308086 d1ccde e48dfb d71ae9 785050 76852a 9cf432 2bcb6c
2bcdd4 6929e8 977ae5 6e6871 964d09 ad927e 8bb90b d0e4ca
2bcff0 376470 89939a 308cca e3bcb7 e27656 5e6706 cbeb6f
2bcffc 6e41cd a375a7 be3626 fc6302 fcd646 63a182 ace0cb
696475 9d0dfb f1bded f842d2 874905 d4e0c9 2bd957 3e9b75
2bddfe 2f6b81 df4be2 dfacb3 ac0002 877c60 b7ef4b 4bb61e
8830f3 b76ce9 e3aeeb 804877 9baa8b 4f9325 2bde26 c8dfcd
6776ed aca4ef 745482 c67a93 859a04 a4e71f 4e723a 2be9ae
4a5f5b 7f2ef0 c8b8d3 e466fb c03c9a 7e7233 2bed85 61ac8a
cbddeb c112b2 fc5dc4 9a6b7d b4b1a0 5e5e36 32aa3e 2bf150
7194f5 6a6e81 4d4ade f3cfff f1a1b2 ba1d15 94a849 2bf51d
878e8c 4b6d82 a531e3 f161d2 f9c7d6 5f5d50 34b818 2bf57e
4d79eb c2a8e7 89648f 8d4008 f8850b cdea73 6f8a60 2bf7d4
2bf9d9 a4b9ef a464f3 cd689d a4175d eac32f acaf8d 448710
b4cdef 7a25ea d863d8 936101 c3b915 2e8971 2bfed1 45bda3
c7d5f9 5861ef b797fe a0769e b81a3f f2af43 57b089 2bffc0
6c6cc9 d09ff7 83787f 9c4a1e cf7d2d c0e545 79bf8f 2bffda
2c46f7 e3c8f3 b88fb1 a53f7f 677808 b0f236 4aac71 35e8b5
58b5f7 2c47eb 7472c6 804a75 d4bcc5 898082 cd283d 8fcd2a
2c53df 9397ec e1c7f1 8f5a7c e2859e 6c872b 2ddf59 bfe9ca
2c53f6 a5a7d0 dfd8e8 8470a7 b88a91 9d2d49 2c9f20 74ef86
5b6974 4a86fe 2c56c3 daccf3 a694bc c35f41 e7be26 54d9a3
5f91f6 2c56cc 6e6a81 fab3ff b094ae c23c47 f88f55 c0ccc2
2c58ff 8f99e6 5f5695 c6beca aa4f52 fbc405 a38e09 abf0b5
54defc 499ad8 2c5fb4 7d455c e27a94 f1ceb6 787b48 aad211
6d807f 2c6186 a330f6 d181ea ad220e d8d5ba 86fd4e 2fb430
3efafe 2c6278 943cf1 e05ec2 7c534d f20500 b7b2af f7cb89
2c64f2 96a5ff 7d4b8c b087a6 e8bad1 eb3b62 953904 81fa7d
adbcb7 446263 51dafa 2c66f8 9471a8 954426 bb7936 ffbc32
c3cad1 9f50f0 e98ef2 9f2c8d e755a3 6f8e05 6dbf76 2c6754
2c68ee ac89c7 5f5662 f6bff0 934929 c6801c a2f3ac 65b48c
2c6a6e 8198b3 6f08f5 9b5bdc 995a27 b99e7b afd74d 60f6c3
2c6b86 c1c4ff c446f4 c2a6ae 755117 847e72 56b525 63ff3d
7d3ae3 a184c2 e0c4eb 854781 ca516d ca9645 2c6c13 7bf499
2c6cce a496fc cebbe0 b27281 7e494e bc450a f5c222 7ad1a8
9d7dfe 9213f2 dec3f7 b991af d00274 2c6d04 34c628 bbe1d0
3e97af 98cae9 a63af7 88348e eec604 6c8b38 a9b1a2 2c6e57
2c6ff1 b7cbfc a97aa3 a40d7e e22362 b5b0af 6f5410 e8b428
72ede1 2c70fb be9bf7 ae3b83 fa5fa1 e6c38b 6d9b0b 416b48
d3ddf2 974af5 fb68d5 b7358e e4bb3c 2c7123 76e6ab 769f8b
b5c7d2 6ca8e6 2c71f6 908e94 5b5a65 ef8364 916233 f6ca28
a6ceec 2c72d0 8690a2 566079 e29e94 fa5b01 89441a e3de5f
77daf9 7d8bac 477af9 80408f ffcdcc 9d9081 9fce61 2c7431
cbc5ea 9088a3 904fb5 be520e c4aa00 79ae8b 79f5c0 2c7562
2ef1d1 2c76b9 a0a8fc 9e93a1 e31b66 e28e47 6e5b0b b9f164
2c76eb c1befa 834771 b38294 e4cfb1 6c923a 3a662b 47f214
2c77a1 9694f3 efc0f9 9b3e1d 979c0b b3d84b 636761 5edab9
56e1ff 2c77b7 a9a1af 972d56 e3b696 b38155 676703 aee91f
cbcefd 605575 9e28ec d073d4 ffd262 70a719 2c7c39 64d3b8
78b1cd 2c7ee7 586487 b86f70 d8c09f 715b1b 89a50e 85fc38
57e2fc 8a83be 7b11fd 79438d fdbfbc d43005 b7c80f 2c7f69
8f82ff 8429cb a95198 dec0cb a59293 f09236 b7ed9b 2c804e
88919b 2c80f1 e5cef6 912d81 b30244 fa0f32 f7b213 91c9b2
c1e2e9 55626e 2c81c4 8f8d99 ba700c 766345 dbcd05 5eb97b
2c83f5 7f87a0 49598a cbc3ff 8f4b51 cb360b b3a68e 56cb2a
7c2cd3 c895e4 a65ca8 c32000 fe6018 e9e13c 71eaac 2c856d
2c8de7 513aef c6beef a94475 ae9287 e48b19 406e0e 9beab7
97e4dd 85a0a5 2c95d8 592dfc 5e5e83 da0f50 d89947 dce732
5a616b 9b53cb c2a1b9 824a20 c1710e 9ecc01 63f49e 2c9672
2c96ae 545497 afb0ff f0cee2 b7671a 706755 adaa81 57e921
